FA_anion	mz	FA_C	FA_DB	FA_iso
1	185.15	11	0	0
2	199.17	12	0	0
3	213.18	13	0	0
4	227.20	14	0	0
5	225.19	14	1	7
6	241.22	15	0	0
7	255.23	16	0	0
8	253.22	16	1	9
9	251.20	16	2	9
10	249.19	16	3	7
11	269.25	17	0	0
12	283.26	18	0	0
13	281.25	18	1	9
14	279.23	18	2	9
15	277.22	18	3	6
16	277.22	18	3	9
17	275.20	18	4	8
18	297.28	19	0	0
19	311.29	20	0	0
20	309.28	20	1	11
21	307.26	20	2	11
22	305.25	20	3	5
23	305.25	20	3	11
24	303.23	20	4	5
25	303.23	20	4	8
26	301.22	20	5	5
27	325.31	21	0	0
28	339.32	22	0	0
29	337.31	22	1	13
30	335.29	22	2	13
31	333.28	22	3	13
32	331.26	22	4	7
33	331.26	22	4	10
34	329.25	22	5	4
35	329.25	22	5	7
36	327.23	22	6	4
37	367.36	24	0	0
38	365.34	24	1	15
39	363.32	24	2	15
40	361.30	24	3	15
41	359.30	24	4	9
42	357.26	24	4	12
43	357.28	24	5	6
44	357.28	24	5	9
45	355.26	24	6	6
46	383.29	26	6	8
47	411.32	28	6	10
48	439.35	30	6	12
49	467.39	32	6	14
50	495.42	34	6	16
