SimpleExp|
CE	A	B
20	266.2091953	-0.85820341
21	266.2091953	-0.85820341
22	266.2091953	-0.85820341
23	266.2091953	-0.85820341
24	266.2091953	-0.85820341
25	266.2091953	-0.85820341
26	266.2091953	-0.85820341
27	266.2091953	-0.85820341
28	266.2091953	-0.85820341
29	266.2091953	-0.85820341
30	266.2091953	-0.85820341
31	266.2091953	-0.85820341
32	266.2091953	-0.85820341
33	266.2091953	-0.85820341
34	266.2091953	-0.85820341
35	266.2091953	-0.85820341
36	266.2091953	-0.85820341
37	266.2091953	-0.85820341
38	266.2091953	-0.85820341
39	266.2091953	-0.85820341
40	266.2091953	-0.85820341
41	266.2091953	-0.85820341
42	266.2091953	-0.85820341
43	266.2091953	-0.85820341
44	266.2091953	-0.85820341
45	266.2091953	-0.85820341
$
ExpDecay|
CE	A	B
20	4.506004948088948	532.5095059180799
21	4.506004948088948	532.5095059180799
22	4.506004948088948	532.5095059180799
23	4.506004948088948	532.5095059180799
24	4.506004948088948	532.5095059180799
25	3.2901411340769178	672.7119993087863
26	3.2901411340769178	672.7119993087863
27	3.2901411340769178	672.7119993087863
28	3.2901411340769178	672.7119993087863
29	3.2901411340769178	672.7119993087863
30	3.0640985467160267	708.7065696019223
31	3.0640985467160267	708.7065696019223
32	3.0640985467160267	708.7065696019223
33	3.0640985467160267	708.7065696019223
34	3.0640985467160267	708.7065696019223
35	2.838432032790623	771.2140588925445
36	2.838432032790623	771.2140588925445
37	2.838432032790623	771.2140588925445
38	2.838432032790623	771.2140588925445
39	2.838432032790623	771.2140588925445
40	2.838432032790623	771.2140588925445
$
