Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	41.90647	41.945095	42.240547	[41.90647..42.240547]	Sum	[27.775108..27.775108]	[28.003841..28.003841]	[29.083502..29.083502]	[27.775108..29.083502]
					PC 16:1-17:0	[27.775108..27.775108]	[28.003841..28.003841]	[29.083502..29.083502]	[27.775108..29.083502]
PC 37:3:0	39.298935	39.229073	39.149208	[39.149208..39.298935]	Sum	[22.61019..22.61019]	[22.135368..22.135368]	[23.115911..23.115911]	[22.135368..23.115911]
					PC 17:0-20:3	[22.61019..22.61019]	[22.135368..22.135368]	[23.115911..23.115911]	[22.135368..23.115911]
PC 39:4:0	18.794588	18.825832	18.610243	[18.610243..18.825832]	Sum	[8.800065..8.800065]	[7.935521..7.935521]	[9.0452585..9.0452585]	[7.935521..9.0452585]
					PC 17:0-22:4	[8.800065..8.800065]	[7.935521..7.935521]	[9.0452585..9.0452585]	[7.935521..9.0452585]
PE 31:1:0	19.527752	19.496494	19.843466	[19.496494..19.843466]	Sum	[14.074068..14.074068]	[13.352526..13.352526]	[12.589845..12.589845]	[12.589845..14.074068]
					PE 14:1-17:0	[14.074068..14.074068]	[13.352526..13.352526]	[12.589845..12.589845]	[12.589845..14.074068]
PE 33:1:0	33.352	33.671127	33.559265	[33.352..33.671127]	Sum	[23.669352..23.669352]	[23.24912..23.24912]	[24.555696..24.555696]	[23.24912..24.555696]
					PE 16:1-17:0	[23.669352..23.669352]	[23.24912..23.24912]	[24.555696..24.555696]	[23.24912..24.555696]
PE 37:3:0	31.543219	31.492489	31.238565	[31.238565..31.543219]	Sum	[18.659744..18.659744]	[18.625124..18.625124]	[18.027937..18.027937]	[18.027937..18.659744]
					PE 17:0-20:3	[18.659744..18.659744]	[18.625124..18.625124]	[18.027937..18.027937]	[18.027937..18.659744]
PE 39:4:0	15.577024	15.339891	15.358702	[15.339891..15.577024]	Sum	[6.606633..6.606633]	[6.5917687..6.5917687]	[5.865258..5.865258]	[5.865258..6.606633]
					PE 17:0-22:4	[6.606633..6.606633]	[6.5917687..6.5917687]	[5.865258..5.865258]	[5.865258..6.606633]
PG 31:1:0	19.090601	19.026596	19.32741	[19.026596..19.32741]	Sum	[13.572695..13.572695]	[13.65237..13.65237]	[14.242755..14.242755]	[13.572695..14.242755]
					PG 14:1-17:0	[13.572695..13.572695]	[13.65237..13.65237]	[14.242755..14.242755]	[13.572695..14.242755]
PG 33:1:0	33.498386	33.38395	33.688484	[33.38395..33.688484]	Sum	[22.985783..22.985783]	[24.777117..24.777117]	[24.045982..24.045982]	[22.985783..24.777117]
					PG 16:1-17:0	[22.985783..22.985783]	[24.777117..24.777117]	[24.045982..24.045982]	[22.985783..24.777117]
PG 37:3:0	32.14126	32.23849	31.860432	[31.860432..32.23849]	Sum	[20.181261..20.181261]	[20.216476..20.216476]	[19.133272..19.133272]	[19.133272..20.216476]
					PG 17:0-20:3	[20.181261..20.181261]	[20.216476..20.216476]	[19.133272..19.133272]	[19.133272..20.216476]
PG 39:4:0	15.269758	15.35096	15.1236725	[15.1236725..15.35096]	Sum	[7.129934..7.129934]	[7.204958..7.204958]	[7.3519783..7.3519783]	[7.129934..7.3519783]
					PG 17:0-22:4	[7.129934..7.129934]	[7.204958..7.204958]	[7.3519783..7.3519783]	[7.129934..7.3519783]
PI 31:1:0	18.560959	18.479258	18.761202	[18.479258..18.761202]	Sum	[13.488272..13.488272]	[13.780834..13.780834]	[13.785714..13.785714]	[13.488272..13.785714]
					PI 14:1-17:0	[13.488272..13.488272]	[13.780834..13.780834]	[13.785714..13.785714]	[13.488272..13.785714]
PI 33:1:0	35.90512	35.939884	36.029846	[35.90512..36.029846]	Sum	[26.218084..26.218084]	[25.768372..25.768372]	[27.140787..27.140787]	[25.768372..27.140787]
					PI 16:1-17:0	[26.218084..26.218084]	[25.768372..25.768372]	[27.140787..27.140787]	[25.768372..27.140787]
PI 37:3:0	31.3496	31.293186	31.118086	[31.118086..31.3496]	Sum	[20.078749..20.078749]	[19.474548..19.474548]	[20.903683..20.903683]	[19.474548..20.903683]
					PI 17:0-20:3	[20.078749..20.078749]	[19.474548..19.474548]	[20.903683..20.903683]	[19.474548..20.903683]
PI 39:4:0	14.184314	14.287664	14.090872	[14.090872..14.287664]	Sum	[8.149035..8.149035]	[8.354229..8.354229]	[8.079625..8.079625]	[8.079625..8.354229]
					PI 17:0-22:4	[8.149035..8.149035]	[8.354229..8.354229]	[8.079625..8.079625]	[8.079625..8.354229]
PS 31:1:0	18.06512	17.900717	18.210884	[17.900717..18.210884]	Sum	[12.781127..12.781127]	[12.283701..12.283701]	[13.753282..13.753282]	[12.283701..13.753282]
					PS 14:1-17:0	[12.781127..12.781127]	[12.283701..12.283701]	[13.753282..13.753282]	[12.283701..13.753282]
PS 33:1:0	33.628307	34.036514	34.255447	[33.628307..34.255447]	Sum	[25.222466..25.222466]	[24.493399..24.493399]	[24.200962..24.200962]	[24.200962..25.222466]
					PS 16:1-17:0	[25.222466..25.222466]	[24.493399..24.493399]	[24.200962..24.200962]	[24.200962..25.222466]
PS 37:3:0	34.551994	34.26691	33.78211	[33.78211..34.551994]	Sum	[20.816505..20.816505]	[21.360058..21.360058]	[21.868526..21.868526]	[20.816505..21.868526]
					PS 17:0-20:3	[20.816505..20.816505]	[21.360058..21.360058]	[21.868526..21.868526]	[20.816505..21.868526]
PS 39:4:0	13.754575	13.7958555	13.751562	[13.751562..13.7958555]	Sum	[8.612563..8.612563]	[9.0084095..9.0084095]	[9.842686..9.842686]	[8.612563..9.842686]
					PS 17:0-22:4	[8.612563..8.612563]	[9.0084095..9.0084095]	[9.842686..9.842686]	[8.612563..9.842686]
