Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	41.90647	41.945095	42.240547	[41.90647..42.240547]	Sum	[24.675743..26.589441]	[23.999508..26.865742]	[23.524897..27.65183]	[23.524897..27.65183]	
					PC 17:0/16:1	[23.895565..25.71036]	[23.716185..26.576483]	[23.761242..27.409733]	[23.716185..27.409733]	
					PC 16:1/17:0	[0.0..0.6941797]	[0.0..0.0]	[0.0..0.0]	[0.0..0.6941797]	
PC 37:3:0	39.298935	39.229073	39.149208	[39.149208..39.298935]	Sum	[22.975082..29.979536]	[22.572115..28.917816]	[20.821474..29.867891]	[20.821474..29.979536]	
					PC 20:3 (5z-11z)/17:0	[0.0..1.336026]	[0.0..1.2881014]	[0.0..1.0487652]	[0.0..1.336026]	
					PC 17:0/20:3 (5z-11z)	[22.727482..29.044044]	[22.32909..28.002205]	[20.660822..29.13237]	[20.660822..29.13237]	
PC 39:4:0	18.794588	18.825832	18.610243	[18.610243..18.825832]	Sum	[11.190236..12.249577]	[10.227251..12.158489]	[11.532678..12.65271]	[10.227251..12.65271]	
					PC 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 17:0/22:4 (7z-10z)	[11.336799..12.109253]	[10.358989..12.014953]	[11.653628..12.555086]	[10.358989..12.555086]	
PE 31:1:0	19.527752	19.496494	19.843466	[19.496494..19.843466]	Sum	[13.318289..14.036419]	[12.424245..13.809605]	[12.258432..13.683611]	[12.258432..14.036419]	
					PE 17:0/14:1	[13.398632..14.24586]	[12.65494..13.217995]	[12.0868225..13.750248]	[12.0868225..14.24586]	
					PE 14:1/17:0	[0.0..0.19944206]	[0.0..0.25114188]	[0.0..0.12375222]	[0.0..0.25114188]	
