Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	26.23726	26.212708	26.458979	[26.212708..26.458979]	Sum	[24.69386..26.20886]	[23.742214..26.523909]	[24.010872..27.325285]	[23.742214..27.325285]
					PC 17:0/16:1	[23.995226..26.20886]	[23.742214..26.523909]	[24.019249..27.325285]	[23.742214..27.325285]
					PC 16:1/17:0	[0.0..0.7076392]	[0.0..0.0]	[0.0..0.0]	[0.0..0.7076392]
PC 35:1:0	37.390915	37.507095	37.36119	[37.36119..37.507095]	Sum	[35.396606..39.692368]	[38.085583..38.67781]	[34.931488..40.478176]	[34.931488..40.478176]
					PC 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 17:0/18:1	[35.396606..39.70965]	[38.085583..38.67781]	[34.931488..40.478176]	[34.931488..40.478176]
PC 37:3:0	24.604706	24.515387	24.5226	[24.515387..24.604706]	Sum	[23.40819..26.968094]	[23.689392..25.525385]	[20.734924..25.882032]	[20.734924..26.968094]
					PC 20:3 (8z)/17:0	[0.0..0.5393619]	[0.0..0.0]	[0.0..0.5176407]	[0.0..0.5393619]
					PC 17:0/20:3 (8z)	[23.309889..26.968094]	[23.689392..25.525385]	[20.666645..25.882032]	[20.666645..26.968094]
PC 39:4:0	11.767121	11.764809	11.657235	[11.657235..11.767121]	Sum	[11.655751..12.177834]	[10.8624115..12.054594]	[12.057184..12.620716]	[10.8624115..12.620716]
					PC 22:4 (7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 17:0/22:4 (7z)	[11.655751..12.186112]	[10.8624115..12.054594]	[12.057184..12.620716]	[10.8624115..12.620716]
PE 31:1:0	12.894289	12.887817	13.11259	[12.887817..13.11259]	Sum	[13.279879..14.090829]	[12.618603..13.631906]	[11.962525..13.695057]	[11.962525..14.090829]
					PE 17:0/14:1	[13.052927..14.090829]	[12.375946..13.631906]	[11.821763..13.695057]	[11.821763..14.090829]
					PE 14:1/17:0	[0.0..0.22545326]	[0.0..0.24537428]	[0.0..0.15064561]	[0.0..0.24537428]
PE 33:1:0	22.022522	22.25771	22.176012	[22.022522..22.25771]	Sum	[22.089823..22.715248]	[21.728634..23.065605]	[21.335707..23.34816]	[21.335707..23.34816]
					PE 17:0/16:1	[22.09357..22.715248]	[21.732565..23.065605]	[21.335825..23.34816]	[21.335825..23.34816]
					PE 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PE 35:1:0	33.96941	33.896748	33.91986	[33.896748..33.96941]	Sum	[32.695995..34.24039]	[33.626156..35.5546]	[31.632324..35.436584]	[31.632324..35.5546]
					PE 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PE 17:0/18:1	[32.695995..34.242645]	[33.626156..35.554935]	[31.632324..35.436584]	[31.632324..35.554935]
PE 37:3:0	20.82817	20.81756	20.642488	[20.642488..20.82817]	Sum	[20.037243..21.78217]	[19.10566..21.73386]	[20.84819..21.513552]	[19.10566..21.78217]
					PE 20:3 (8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PE 17:0/20:3 (8z)	[20.037243..21.785866]	[19.10566..21.73779]	[20.84819..21.51482]	[19.10566..21.785866]
PE 39:4:0	10.285601	10.140168	10.149052	[10.140168..10.285601]	Sum	[9.457994..9.866118]	[9.154226..10.039686]	[8.58272..10.148569]	[8.58272..10.148569]
					PE 17:0/22:4 (7z)	[9.409201..9.866118]	[9.154226..10.030609]	[8.58272..10.149167]	[8.58272..10.149167]
					PE 22:4 (7z)/17:0	[0.0..0.20718849]	[0.0..0.009973697]	[0.0..0.0]	[0.0..0.20718849]
PG 31:1:0	12.966932	12.941395	13.144821	[12.941395..13.144821]	Sum	[12.734866..13.436243]	[12.774822..13.492548]	[12.876675..14.086814]	[12.734866..14.086814]
					PG 17:0/14:1	[12.170164..12.992006]	[11.9622..13.373152]	[12.235279..13.767643]	[11.9622..13.767643]
					PG 14:1/17:0	[0.4209805..0.61802727]	[0.11514416..0.8771491]	[0.29653472..0.7186794]	[0.11514416..0.8771491]
PG 33:1:0	22.753149	22.706896	22.91197	[22.706896..22.91197]	Sum	[21.916426..23.378056]	[22.186281..23.959738]	[22.458939..23.81277]	[21.916426..23.959738]
					PG 17:0/16:1	[21.138264..23.375488]	[21.34502..23.959167]	[21.538418..23.647957]	[21.138264..23.959167]
					PG 16:1/17:0	[0.0..0.8181421]	[0.0..0.88648915]	[0.15705097..0.9525864]	[0.0..0.9525864]
PG 35:1:0	32.076874	31.982601	31.98871	[31.982601..32.076874]	Sum	[32.440643..33.16901]	[31.095787..33.35691]	[31.260326..33.296158]	[31.095787..33.35691]
					PG 18:1/17:0	[1.0170753..1.3826654]	[0.47027045..1.7479976]	[0.693707..1.7455657]	[0.47027045..1.7479976]
					PG 17:0/18:1	[31.430908..31.900066]	[29.689741..32.486374]	[29.860935..32.21063]	[29.689741..32.486374]
PG 37:3:0	21.831347	21.927784	21.668692	[21.668692..21.927784]	Sum	[21.253138..22.114166]	[21.095406..22.355225]	[20.658817..22.104336]	[20.658817..22.355225]
					PG 20:3 (8z)/17:0	[0.382506..0.68040514]	[0.23202223..0.77591777]	[0.20656283..0.7233613]	[0.20656283..0.77591777]
					PG 17:0/20:3 (8z)	[20.591576..21.553478]	[20.35468..21.92522]	[19.974627..21.70084]	[19.974627..21.92522]
PG 39:4:0	10.3716955	10.441323	10.285805	[10.285805..10.441323]	Sum	[9.398578..10.130685]	[9.498749..10.378853]	[9.597802..10.672761]	[9.398578..10.672761]
					PG 22:4 (7z)/17:0	[0.0760421..0.53237605]	[0.0..0.7204701]	[0.038824983..0.51860505]	[0.0..0.7204701]
					PG 17:0/22:4 (7z)	[9.001484..9.964473]	[8.906442..10.29243]	[9.230639..10.541441]	[8.906442..10.541441]
PI 31:1:0	12.920645	12.88698	13.052789	[12.88698..13.052789]	Sum	[13.418399..13.63191]	[13.157089..13.92487]	[12.509089..14.066742]	[12.509089..14.066742]
					PI 14:1_17:0	[13.418399..13.63191]	[13.157089..13.92487]	[12.509089..14.066742]	[12.509089..14.066742]
PI 33:1:0	24.994253	25.063593	25.067154	[24.994253..25.067154]	Sum	[23.700275..25.853174]	[24.003944..25.551]	[24.268995..26.728731]	[23.700275..26.728731]
					PI 16:1_17:0	[23.700275..25.853174]	[24.003944..25.551]	[24.268995..26.728731]	[23.700275..26.728731]
PI 35:1:0	30.388054	30.262459	30.42669	[30.262459..30.42669]	Sum	[29.335546..30.779484]	[29.837053..31.480658]	[28.793716..31.093445]	[28.793716..31.480658]
					PI 17:0_18:1	[29.335546..30.779484]	[29.837053..31.480658]	[28.793716..31.093445]	[28.793716..31.480658]
PI 37:3:0	21.823065	21.8231	21.649881	[21.649881..21.8231]	Sum	[20.328203..22.684023]	[19.82309..22.838459]	[19.899494..22.37775]	[19.82309..22.838459]
					PI 17:0_20:3 (8z)	[20.328203..22.684023]	[19.82309..22.838459]	[19.899494..22.37775]	[19.82309..22.838459]
PI 39:4:0	9.873978	9.963865	9.803486	[9.803486..9.963865]	Sum	[9.258913..10.64284]	[9.220387..9.525229]	[9.1983385..10.410518]	[9.1983385..10.64284]
					PI 17:0_22:4 (7z)	[9.258913..10.64284]	[9.220387..9.525229]	[9.1983385..10.410518]	[9.1983385..10.64284]
PS 31:1:0	12.380459	12.262649	12.499509	[12.262649..12.499509]	Sum	[12.418589..12.697692]	[12.114401..12.645832]	[11.918802..13.573107]	[11.918802..13.573107]
					PS 17:0/14:1	[12.418589..12.697692]	[12.114401..12.645832]	[11.918802..13.573107]	[11.918802..13.573107]
					PS 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 33:1:0	23.046284	23.316261	23.512108	[23.046284..23.512108]	Sum	[22.978558..24.724314]	[21.45821..23.977764]	[22.527044..24.189867]	[21.45821..24.724314]
					PS 17:0/16:1	[22.978558..24.7263]	[21.45821..23.977764]	[22.527044..24.189867]	[21.45821..24.7263]
					PS 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 35:1:0	31.467606	31.496338	31.362423	[31.362423..31.496338]	Sum	[31.323957..32.145958]	[30.170008..32.864536]	[29.626444..32.86247]	[29.626444..32.864536]
					PS 18:1/17:0	[0.0..1.4740112]	[0.0..0.0]	[0.0..0.0]	[0.0..1.4740112]
