Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	135.09229	134.54778	136.34225	[134.54778..136.34225]	Sum	[119.77331..140.34126]	[118.17821..134.0316]	[119.47826..150.60025]	[118.17821..150.60025]
					PC 17:0/16:1	[116.33407..140.34126]	[118.17821..134.0316]	[119.47826..150.60025]	[116.33407..150.60025]
					PC 16:1/17:0	[0.0..3.7892141]	[0.0..0.0]	[0.0..0.0]	[0.0..3.7892141]
PC 35:1:0	192.521	192.521	192.521	[192.521..192.521]	Sum	[192.521..192.521]	[192.52098..192.521]	[192.521..192.521]	[192.52098..192.521]
					PC 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 17:0/18:1	[192.521..192.521]	[192.52098..192.521]	[192.521..192.521]	[192.52098..192.521]
PC 37:3:0	126.686455	125.835556	126.36416	[125.835556..126.686455]	Sum	[115.31775..146.67859]	[119.57131..127.05404]	[100.300026..140.47433]	[100.300026..146.67859]
					PC 20:3 (8z)/17:0	[0.0..2.9335716]	[0.0..0.0]	[0.0..2.8094862]	[0.0..2.9335716]
					PC 17:0/20:3 (8z)	[113.0114..146.67859]	[119.57131..127.05404]	[98.29403..140.47432]	[98.29403..146.67859]
PC 39:4:0	60.587387	60.387844	60.06935	[60.06935..60.587387]	Sum	[57.42072..64.35591]	[54.890343..60.00242]	[60.026245..67.54322]	[54.890343..67.54322]
					PC 22:4 (7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 17:0/22:4 (7z)	[57.42072..64.35591]	[54.890343..60.00242]	[60.026245..67.54322]	[54.890343..67.54322]
PE 31:1:0	38.62508	38.688454	39.336384	[38.62508..39.336384]	Sum	[40.048958..43.853268]	[37.393726..40.529797]	[34.7229..44.05475]	[34.7229..44.05475]
					PE 17:0/14:1	[39.38273..43.853268]	[36.71797..40.529797]	[34.310703..44.05475]	[34.310703..44.05475]
					PE 14:1/17:0	[0.0..0.7016523]	[0.0..0.7295363]	[0.0..0.48460224]	[0.0..0.7295363]
PE 33:1:0	65.968864	66.81631	66.52569	[65.968864..66.81631]	Sum	[65.91776..69.48225]	[62.961105..67.07324]	[62.146206..74.70471]	[62.146206..74.70471]
					PE 17:0/16:1	[65.91776..69.48225]	[62.961105..67.07324]	[62.146206..74.70471]	[62.146206..74.70471]
					PE 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PE 35:1:0	101.756	101.756	101.75599	[101.75599..101.756]	Sum	[101.75599..101.756]	[101.756..101.756]	[101.756..101.756]	[101.75599..101.756]
					PE 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PE 17:0/18:1	[101.75599..101.756]	[101.756..101.756]	[101.756..101.756]	[101.75599..101.756]
PE 37:3:0	62.39117	62.49306	61.925285	[61.925285..62.49306]	Sum	[60.058727..66.691956]	[55.06449..64.74433]	[59.977947..68.741005]	[55.06449..68.741005]
					PE 20:3 (8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PE 17:0/20:3 (8z)	[60.058727..66.691956]	[55.06449..64.74433]	[59.977947..68.741005]	[55.06449..68.741005]
PE 39:4:0	30.810703	30.440172	30.446083	[30.440172..30.810703]	Sum	[28.480675..29.64429]	[26.619883..29.076746]	[25.305706..32.42713]	[25.305706..32.42713]
					PE 17:0/22:4 (7z)	[27.976875..29.64429]	[26.593262..29.076746]	[25.305706..32.42713]	[25.305706..32.42713]
					PE 22:4 (7z)/17:0	[0.0..0.62253004]	[0.0..0.029076748]	[0.0..0.0]	[0.0..0.62253004]
PG 31:1:0	38.3629	38.400204	38.99637	[38.3629..38.99637]	Sum	[36.65386..39.245853]	[36.42417..41.177376]	[36.74968..41.650642]	[36.42417..41.650642]
