Species	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	FAI.FC_Group-1
PC 24:0:0	2.665535	2.5573814	2.5941615	[2.5573814..2.665535]	Sum	[2.5182045..2.700785]	[2.38433..2.5335164]	[2.5097606..2.5716026]	[2.38433..2.700785]
					PC 12:0/12:0	[2.5349467..2.683853]	[2.3996038..2.5178401]	[2.513903..2.5652962]	[2.3996038..2.683853]
PC 28:0:0	4.1467643	4.1151175	4.090896	[4.090896..4.1467643]	Sum	[4.000428..4.1756425]	[4.0083027..4.2248516]	[3.9404743..4.1364355]	[3.9404743..4.2248516]
					PC 14:0/14:0	[4.026778..4.1486073]	[4.030079..4.1987104]	[3.9469774..4.1262918]	[3.9469774..4.1987104]
PC 31:1:0	5.314717	5.301975	5.297443	[5.297443..5.314717]	Sum	[4.804624..5.166132]	[4.868125..5.0531173]	[4.7622094..5.0640864]	[4.7622094..5.166132]
					PC 17:0/14:1	[4.7740993..5.1326847]	[4.8993096..5.0748386]	[4.756655..5.074306]	[4.756655..5.1326847]
					PC 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PC 32:0:0	5.4769015	5.4944496	5.520337	[5.4769015..5.520337]	Sum	[5.383143..5.8952794]	[5.2960176..5.914156]	[5.4185576..5.838572]	[5.2960176..5.914156]
					PC 18:0/14:0	[2.6801317..2.9729943]	[2.6958199..2.9775476]	[2.6777613..3.0102694]	[2.6777613..3.0102694]
					PC 14:0/18:0	[2.6368163..2.9266317]	[2.6152675..2.8904848]	[2.6017194..2.9293795]	[2.6017194..2.9293795]
					PC 16:0/16:0	[0.014640196..0.021266863]	[0.014416235..0.025021326]	[0.0149884075..0.022345759]	[0.014416235..0.025021326]
PC 34:0:0	6.554972	6.5540953	6.533952	[6.533952..6.554972]	Sum	[6.1130347..6.5164475]	[6.557859..6.75701]	[6.238546..6.6003246]	[6.1130347..6.75701]
					PC 18:0/16:0	[0.0..0.08158639]	[0.0..0.119844675]	[0.0..0.02344406]	[0.0..0.119844675]
					PC 16:0/18:0	[3.0788155..3.2634556]	[3.2472332..3.4241333]	[3.165567..3.3491514]	[3.0788155..3.4241333]
					PC 17:0/17:0	[2.9804442..3.1937923]	[3.2435746..3.3047204]	[3.0507703..3.2356284]	[2.9804442..3.3047204]
PC 36:0:0	6.9282613	6.9397874	6.9708614	[6.9282613..6.9708614]	Sum	[6.5371065..6.92659]	[6.3961573..6.887069]	[6.4899964..6.964095]	[6.3961573..6.964095]
					PC 18:0/18:0	[6.580165..6.8831654]	[6.4309053..6.8444557]	[6.5007076..6.9470167]	[6.4309053..6.9470167]
PC 36:2:0	4.683372	4.715823	4.6978717	[4.683372..4.715823]	Sum	[4.2273808..4.4656267]	[4.222602..4.685622]	[4.2249413..4.7136774]	[4.222602..4.7136774]
					PC 18:0/18:2	[4.200524..4.495161]	[4.175999..4.7164807]	[4.2145805..4.721457]	[4.175999..4.721457]
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.028298885]	[0.0..0.0]	[0.0..0.028298885]
PC 36:4:0	9.597436	9.658067	9.5787	[9.5787..9.658067]	Sum	[8.553859..10.217008]	[8.43933..10.207362]	[9.040026..9.786643]	[8.43933..10.217008]
					PC 20:4 (5z-8z)/16:0	[1.546198..2.3668725]	[1.6342753..2.42985]	[1.7913302..2.128565]	[1.546198..2.42985]
