Species	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	FAI.FC_Group-1
PC 24:0:0	38.46805	38.64791	38.73718	[38.46805..38.73718]	Sum	[37.867588..40.04468]	[37.367588..39.839474]	[39.122196..39.50735]	[37.367588..40.04468]
					PC 12:0/12:0	[37.867588..40.04468]	[37.367588..39.839474]	[39.122196..39.50735]	[37.367588..40.04468]
PC 28:0:0	59.84462	62.18888	61.087097	[59.84462..62.18888]	Sum	[59.505962..62.53943]	[61.549835..66.43568]	[61.424187..63.54777]	[59.505962..66.43568]
					PC 14:0/14:0	[59.505962..62.53943]	[61.549835..66.43568]	[61.424187..63.54777]	[59.505962..66.43568]
PC 31:1:0	76.70009	80.12502	79.1038	[76.70009..80.12502]	Sum	[70.49231..77.37419]	[74.72809..80.95048]	[73.85515..78.73031]	[70.49231..80.95048]
					PC 17:0/14:1	[70.49231..77.37419]	[74.72809..80.95048]	[73.85515..78.73031]	[70.49231..80.95048]
					PC 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PC 32:0:0	79.04069	83.03376	82.43215	[79.04069..83.03376]	Sum	[80.0737..87.409615]	[81.32345..92.99994]	[84.46458..89.98818]	[80.0737..92.99994]
					PC 18:0/14:0	[39.573673..44.716263]	[40.76951..47.495876]	[41.57679..46.705784]	[39.573673..47.495876]
					PC 14:0/18:0	[38.9341..44.018932]	[39.5513..46.107105]	[40.396107..45.450737]	[38.9341..46.107105]
					PC 16:0/16:0	[0.2202005..0.3205937]	[0.22017358..0.39590937]	[0.23325461..0.34414026]	[0.22017358..0.39590937]
PC 34:0:0	94.599014	99.04744	97.5679	[94.599014..99.04744]	Sum	[90.93076..96.7643]	[101.53788..105.71]	[97.24657..101.72885]	[90.93076..105.71]
					PC 18:0/16:0	[0.0..1.22845]	[0.0..1.8970244]	[0.0..0.36374593]	[0.0..1.8970244]
					PC 16:0/18:0	[45.46047..49.137997]	[49.904327..54.2007]	[49.1508..51.9637]	[45.46047..54.2007]
					PC 17:0/17:0	[44.0437..47.846924]	[49.53786..52.0895]	[47.477108..49.897797]	[44.0437..52.0895]
PC 36:0:0	99.9862	104.87614	104.092026	[99.9862..104.87614]	Sum	[97.2388..102.70092]	[98.216736..108.29898]	[101.16619..106.98891]	[97.2388..108.29898]
					PC 18:0/18:0	[97.2388..102.70092]	[98.216736..108.29898]	[101.16619..106.98891]	[97.2388..108.29898]
PC 36:2:0	67.58875	71.26692	70.15073	[67.58875..71.26692]	Sum	[62.023132..67.89672]	[63.566124..75.23419]	[64.90748..73.4769]	[62.023132..75.23419]
					PC 18:0/18:2	[62.023132..67.89672]	[63.154602..75.23419]	[64.90748..73.4769]	[62.023132..75.23419]
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.45140514]	[0.0..0.0]	[0.0..0.45140514]
PC 36:4:0	138.50677	145.95558	143.03343	[138.50677..145.95558]	Sum	[126.82852..154.56569]	[127.04383..163.8934]	[138.88129..152.55438]	[126.82852..163.8934]
					PC 20:4 (5z-8z)/16:0	[23.070194..35.50557]	[24.715527..38.759365]	[27.679493..33.125443]	[23.070194..38.759365]
					PC 16:0/20:4 (5z-8z)	[67.6057..83.86284]	[67.05605..86.69255]	[75.82242..83.14933]	[67.05605..86.69255]
					PC 18:2/18:2	[34.386875..36.15263]	[34.96159..38.567287]	[35.048023..37.22263]	[34.386875..38.567287]
PC 36:6:0	72.0312	75.16327	73.26471	[72.0312..75.16327]	Sum	[78.18214..93.98838]	[79.85325..100.48537]	[79.02667..99.010086]	[78.18214..100.48537]
