PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PG_FTMSMS-_1.mzXML,PRI:240116_PG_FTMSMS-_2.mzXML,PRI:240116_PG_FTMSMS-_3.mzXML,PRI:240116_PG_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PG_FTMSMS-_1.mzXML,FA1I:240116_PG_FTMSMS-_2.mzXML,FA1I:240116_PG_FTMSMS-_3.mzXML,FA1I:240116_PG_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PG_FTMSMS-_1.mzXML,FA2I:240116_PG_FTMSMS-_2.mzXML,FA2I:240116_PG_FTMSMS-_3.mzXML,FA2I:240116_PG_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PG_FTMSMS-_1.mzXML,FACO2I:240116_PG_FTMSMS-_2.mzXML,FACO2I:240116_PG_FTMSMS-_3.mzXML,FACO2I:240116_PG_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691.456303861,H68 C36 O10 P1 ,PG,30,1,0,PG 30:1:0,1.08,27346.8,0.0,0.0,26468.6,199.169788361,12,0,-2.84,517.9,678.6,805.0,591.6,281.248748779,18,1,0.51,2506.3,3128.1,2830.9,3027.8,None, None, None, None, None
691.456303861,H68 C36 O10 P1 ,PG,30,1,0,PG 30:1:0,1.08,27346.8,0.0,0.0,26468.6,225.185722351,14,1,-1.26,6651.4,7165.8,7196.2,7816.5,255.233013153,16,0,0.23,5951.2,6714.0,7652.2,5525.1,None, None, None, None, None
691.456303861,H68 C36 O10 P1 ,PG,30,1,0,PG 30:1:0,1.08,27346.8,0.0,0.0,26468.6,227.201396942,14,0,-1.14,4846.7,4896.5,5210.6,4723.9,253.217338562,16,1,0.13,9769.7,10261.3,10285.0,10630.5,None, None, None, None, None
693.471913603,H70 C36 O10 P1 ,PG,30,0,0,PG 30:0:0,1.01,44577.0,64318.8,55220.0,62906.5,227.201370239,14,0,-1.25,36213.1,37243.7,37358.6,37682.4,255.233005524,16,0,0.20,35006.4,35751.9,36663.1,35864.6,None, None, None, None, None
693.471913603,H70 C36 O10 P1 ,PG,30,0,0,PG 30:0:0,1.01,44577.0,64318.8,55220.0,62906.5,241.217193604,15,0,-0.46,925.6,779.9,816.5,601.6,241.217193604,15,0,-0.46,925.6,779.9,816.5,601.6,None, None, None, None, None
707.487279203,H72 C37 O10 P1 ,PG,31,0,0,PG 31:0:0,0.59,26375.1,0.0,0.0,32973.8,227.20136261,14,0,-1.29,540.8,718.6,533.1,694.5,269.248840332,17,0,0.87,513.3,487.6,481.2,566.5,None, None, None, None, None
707.487279203,H72 C37 O10 P1 ,PG,31,0,0,PG 31:0:0,0.59,26375.1,0.0,0.0,32973.8,241.217205048,15,0,-0.42,15212.3,15804.9,15576.8,15456.9,255.23299408,16,0,0.15,87486.2,95807.7,93280.3,93515.5,None, None, None, None, None
717.471989896,H70 C38 O10 P1 ,PG,32,2,0,PG 32:2:0,1.09,241561.8,252364.9,229582.1,236436.6,225.185707092,14,1,-1.32,2089.2,2115.9,1933.0,1822.9,281.248710632,18,1,0.37,6519.4,6239.1,7293.2,7412.5,None, None, None, None, None
717.471989896,H70 C38 O10 P1 ,PG,32,2,0,PG 32:2:0,1.09,241561.8,252364.9,229582.1,236436.6,227.201370239,14,0,-1.25,51451.6,53212.0,52320.9,53621.2,279.233032227,18,2,0.28,161071.9,164110.7,167654.1,170717.8,None, None, None, None, None
717.471989896,H70 C38 O10 P1 ,PG,32,2,0,PG 32:2:0,1.09,241561.8,252364.9,229582.1,236436.6,251.201686859,16,2,0.13,22111.9,22296.0,23756.4,23847.6,255.233013153,16,0,0.23,11065.8,12552.0,13761.9,11125.5,None, None, None, None, None
717.471989896,H70 C38 O10 P1 ,PG,32,2,0,PG 32:2:0,1.09,241561.8,252364.9,229582.1,236436.6,253.217338562,16,1,0.13,61745.0,64130.1,63630.3,64358.0,253.217338562,16,1,0.13,61745.0,64130.1,63630.3,64358.0,None, None, None, None, None
719.48782852,H72 C38 O10 P1 ,PG,32,1,0,PG 32:1:0,1.35,2919417.0,3173809.0,3204920.3,3137816.9,227.201366425,14,0,-1.27,151603.1,176019.3,138945.8,157815.2,281.248733521,18,1,0.46,473480.8,543235.3,491532.2,494079.4,None, None, None, None, None
719.48782852,H72 C38 O10 P1 ,PG,32,1,0,PG 32:1:0,1.35,2919417.0,3173809.0,3204920.3,3137816.9,253.217338562,16,1,0.13,2157706.4,2286823.5,2159461.1,2259949.7,255.23299408,16,0,0.15,859057.2,908222.7,829416.2,871587.9,None, None, None, None, None
721.503407743,H74 C38 O10 P1 ,PG,32,0,0,PG 32:0:0,1.24,1609259.2,1689152.7,1799422.5,1680431.8,227.201358795,14,0,-1.30,3291.9,2941.3,8840.6,2883.2,283.264450073,18,0,0.69,6627.4,0.0,9734.2,0.0,None, None, None, None, None
721.503407743,H74 C38 O10 P1 ,PG,32,0,0,PG 32:0:0,1.24,1609259.2,1689152.7,1799422.5,1680431.8,255.232975006,16,0,0.08,1970061.9,1937049.2,2050042.8,2004951.1,255.232975006,16,0,0.08,1970061.9,1937049.2,2050042.8,2004951.1,None, None, None, None, None
