Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 30:0:0	0.025810374	0.034785114	0.029521612	0.034116093	[0.025810374..0.034785114]	Sum	[0.034709536..0.03540072]	[0.032085594..0.034835316]	[0.033384223..0.036371015]	[0.032353636..0.035034172]	[0.032085594..0.036371015]
						PG 16:0/14:0	[0.01772146..0.018813688]	[0.015091343..0.018205794]	[0.01509551..0.018392913]	[0.016057096..0.018530156]	[0.015091343..0.018813688]
						PG 14:0/16:0	[0.015790718..0.016869837]	[0.014932485..0.01803404]	[0.016088635..0.019466428]	[0.014868872..0.017253404]	[0.014868872..0.019466428]
						PG 15:0/15:0	[4.554743E-4..4.8651092E-4]	[3.450509E-4..4.3284823E-4]	[3.8457237E-4..5.2579405E-4]	[2.6699775E-4..4.677428E-4]	[2.6699775E-4..5.2579405E-4]
PG 30:1:0	0.015833978	0.0	0.0	0.014354721	[0.0..0.015833978]	Sum	[0.014422495..0.015316554]	[0.014208898..0.016103888]	[0.014564656..0.017450383]	[0.0140233645..0.015199001]	[0.0140233645..0.017450383]
						PG 18:1/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 12:0/18:1	[0.0014074872..0.0015337903]	[0.0015857985..0.0017023793]	[0.0015993535..0.0018965234]	[0.0013866366..0.0015705429]	[0.0013866366..0.0018965234]
						PG 16:0/14:1	[0.0028840879..0.0039383206]	[0.002636446..0.0037861897]	[0.0020458773..0.003723006]	[0.0031206852..0.00441425]	[0.0020458773..0.00441425]
						PG 14:1/16:0	[0.0024144452..0.0034254845]	[0.0028571442..0.0040550744]	[0.003697288..0.0057802377]	[0.0018414337..0.0029645038]	[0.0018414337..0.0057802377]
						PG 16:1/14:0	[7.064576E-4..9.371619E-4]	[5.554802E-4..7.5058575E-4]	[6.507557E-4..8.390258E-4]	[3.3338435E-4..7.715087E-4]	[3.3338435E-4..9.371619E-4]
						PG 14:0/16:1	[0.006025668..0.006473627]	[0.0059965095..0.0066181454]	[0.0056462623..0.006551697]	[0.0060621523..0.0067312373]	[0.0056462623..0.0067312373]
PG 31:0:0	0.015271356	0.0	0.0	0.017882688	[0.0..0.017882688]	Sum	[0.049396086..0.056809887]	[0.048273396..0.057611138]	[0.050066058..0.05820222]	[0.04732185..0.056757532]	[0.04732185..0.05820222]
