Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PS 34:0:0	255.23	240116_PS_FTMSMS-_1.mzXML	25.0	7629.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[7629.4..7629.4]	[0.286..0.288]	[1.0..1.0]	[1.0..1.0]	[7629.4..7629.4]	[0.288..0.288]	[1.0..1.0]	0.89466476	[6825.7554..6825.7554]
Group-1	PS 34:0:0	255.23	240116_PS_FTMSMS-_1.mzXML	30.0	10726.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[10726.5..10726.5]	[0.209..0.211]	[1.0..1.0]	[1.0..1.0]	[10726.5..10726.5]	[0.211..0.211]	[1.0..1.0]	0.89466476	[9596.622..9596.622]
Group-1	PS 34:0:0	255.23	240116_PS_FTMSMS-_1.mzXML	35.0	15090.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[15090.5..15090.5]	[0.215..0.215]	[1.0..1.0]	[1.0..1.0]	[15090.5..15090.5]	[0.215..0.215]	[1.0..1.0]	0.89466476	[13500.938..13500.938]
Group-1	PS 34:0:0	283.26	240116_PS_FTMSMS-_1.mzXML	25.0	19126.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..0.998]	[18858.63..19088.148]	[0.712..0.714]	[0.0..0.0]	[0.986..0.986]	[18858.63..18858.63]	[0.712..0.712]	[0.0..0.0]	0.89466476	[16872.152..17077.494]
Group-1	PS 34:0:0	283.26	240116_PS_FTMSMS-_1.mzXML	30.0	41514.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.975]	[40185.55..40476.152]	[0.789..0.791]	[0.0..0.0]	[0.968..0.968]	[40185.55..40185.55]	[0.789..0.789]	[0.0..0.0]	0.89466476	[35952.598..36212.586]
Group-1	PS 34:0:0	283.26	240116_PS_FTMSMS-_1.mzXML	35.0	57211.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.961..0.962]	[54979.965..55037.176]	[0.785..0.785]	[0.0..0.0]	[0.961..0.961]	[54979.965..54979.965]	[0.785..0.785]	[0.0..0.0]	0.89466476	[49188.637..49239.82]
Group-1	PS 34:1:0	253.22	240116_PS_FTMSMS-_1.mzXML	25.0	83452.1	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.867..0.927]	[72352.97..77360.09]	[0.269..0.28]	[1.0..1.0]	[0.927..0.927]	[77360.09..77360.09]	[0.282..0.282]	[1.0..1.0]	0.8967037	[64879.18..69369.086]
Group-1	PS 34:1:0	253.22	240116_PS_FTMSMS-_1.mzXML	30.0	145623.3	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.913..0.929]	[132954.06..135284.05]	[0.238..0.24]	[1.0..1.0]	[0.929..0.929]	[135284.05..135284.05]	[0.242..0.242]	[1.0..1.0]	0.8967037	[119220.41..121309.71]
Group-1	PS 34:1:0	253.22	240116_PS_FTMSMS-_1.mzXML	35.0	161077.8	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.93..0.939]	[149802.36..151252.05]	[0.236..0.238]	[1.0..1.0]	[0.939..0.939]	[151252.05..151252.05]	[0.238..0.238]	[1.0..1.0]	0.8967037	[134328.33..135628.28]
Group-1	PS 34:1:0	255.23	240116_PS_FTMSMS-_1.mzXML	25.0	565574.4	0.0	0.0	[0.0..0.0]	[1.0..1.0]	[1.0..1.0]	[565574.4..565574.4]	[0.67..0.67]	[0.0..0.1]	[1.0..1.0]	[565574.4..565574.4]	[0.67..0.67]	[0.0..0.096]	0.8967037	[507152.66..507152.66]
