Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 34:0:0	0.10413561	0.074537784	0.07790758	0.07344894	[0.07344894..0.10413561]	Sum	[0.04647417..0.04647417]	[0.046994757..0.046994757]	[0.045019716..0.045019716]	[0.051427644..0.051427644]	[0.045019716..0.051427644]
						PS 16:0-18:0	[0.046474162..0.046474162]	[0.046994746..0.046994746]	[0.0450197..0.0450197]	[0.051427655..0.051427655]	[0.0450197..0.051427655]
PS 34:1:0	5.2875476	5.319586	5.2640204	5.213652	[5.213652..5.319586]	Sum	[1.8353367..1.8353367]	[1.9740192..1.9740192]	[1.8223561..1.8223561]	[1.8220607..1.8220607]	[1.8220607..1.9740192]
						PS 16:1-18:0	[0.42814073..0.42814073]	[0.4685462..0.4685462]	[0.422623..0.422623]	[0.42180008..0.42180008]	[0.42180008..0.4685462]
						PS 16:0-18:1	[1.4071957..1.4071957]	[1.5054727..1.5054727]	[1.3997326..1.3997326]	[1.4002612..1.4002612]	[1.3997326..1.5054727]
PS 34:2:0	0.22859508	0.25619704	0.25666222	0.18807828	[0.18807828..0.25666222]	Sum	[0.101083085..0.101083085]	[0.112985425..0.112985425]	[0.10090737..0.10090737]	[0.11587857..0.11587857]	[0.10090737..0.11587857]
						PS 16:2-18:0	[0.013448026..0.013448026]	[0.019328024..0.019328024]	[0.017129552..0.017129552]	[0.027734032..0.027734032]	[0.013448026..0.027734032]
						PS 16:1-18:1	[0.06373321..0.06373321]	[0.06872954..0.06872954]	[0.061185855..0.061185855]	[0.06379313..0.06379313]	[0.061185855..0.06872954]
						PS 16:0-18:2	[0.023901826..0.023901826]	[0.024927821..0.024927821]	[0.022591937..0.022591937]	[0.024351444..0.024351444]	[0.022591937..0.024927821]
PS 35:0:0	0.15071538	0.12606089	0.10103468	0.13704002	[0.10103468..0.15071538]	Sum	[0.019051662..0.019051662]	[0.01737944..0.01737944]	[0.011806554..0.011806554]	[0.012448528..0.012448528]	[0.011806554..0.019051662]
						PS 17:0-18:0	[0.019051658..0.019051658]	[0.017379437..0.017379437]	[0.011806551..0.011806551]	[0.012448532..0.012448532]	[0.011806551..0.019051658]
PS 35:1:0	1.5061696	1.537453	1.5825868	1.5602684	[1.5061696..1.5825868]	Sum	[0.57416654..0.57416654]	[0.60318005..0.60318005]	[0.5600053..0.5600053]	[0.5762649..0.5762649]	[0.5600053..0.60318005]
						PS 17:1-18:0	[0.17216107..0.17216107]	[0.1850809..0.1850809]	[0.16837716..0.16837716]	[0.17311221..0.17311221]	[0.16837716..0.1850809]
						PS 17:0-18:1	[0.40200534..0.40200534]	[0.41809908..0.41809908]	[0.391628..0.391628]	[0.40315288..0.40315288]	[0.391628..0.41809908]
PS 36:2:0	20.679958	20.762033	20.462135	20.231565	[20.231565..20.762033]	Sum	[7.9936104..7.9936104]	[7.85914..7.85914]	[7.460275..7.460275]	[7.234752..7.234752]	[7.234752..7.9936104]
						PS 18:0-18:2	[0.6653306..0.6653306]	[0.5831043..0.5831043]	[0.61346036..0.61346036]	[0.5425039..0.5425039]	[0.5425039..0.6653306]
						PS 18:1/18:1	[7.3282776..7.3282776]	[7.2760334..7.2760334]	[6.846813..6.846813]	[6.6922503..6.6922503]	[6.6922503..7.3282776]
PS 36:3:0	0.3983357	0.43550512	0.42897704	0.40364474	[0.3983357..0.43550512]	Sum	[0.17643057..0.17643057]	[0.1869972..0.1869972]	[0.17203276..0.17203276]	[0.17895116..0.17895116]	[0.17203276..0.1869972]
						PS 16:1-20:2	[0.0015119052..0.0015119052]	[0.0016644772..0.0016644772]	[0.0015416974..0.0015416974]	[0.0015615438..0.0015615438]	[0.0015119052..0.0016644772]
						PS 16:0-20:3 (0z-11z)	[0.017432326..0.017432326]	[0.01866145..0.01866145]	[0.01779458..0.01779458]	[0.01895985..0.01895985]	[0.017432326..0.01895985]
						PS 18:0-18:3 (0z-9z)	[0.016202705..0.016202705]	[0.017224904..0.017224904]	[0.015195728..0.015195728]	[0.015707957..0.015707957]	[0.015195728..0.017224904]
						PS 18:1-18:2	[0.14128362..0.14128362]	[0.14944634..0.14944634]	[0.1375007..0.1375007]	[0.14272186..0.14272186]	[0.1375007..0.14944634]
PS 36:4:0	0.28923935	0.26739776	0.3042168	0.33082917	[0.26739776..0.33082917]	Sum	[0.11956692..0.11956692]	[0.13075617..0.13075617]	[0.12709711..0.12709711]	[0.13214177..0.13214177]	[0.11956692..0.13214177]
						PS 16:1-20:3 (0z-11z)	[0.0076012095..0.0076012095]	[0.007772654..0.007772654]	[0.0078817345..0.0078817345]	[0.008469005..0.008469005]	[0.0076012095..0.008469005]
						PS 16:0-20:4 (0z-8z)	[0.11057424..0.11057424]	[0.121498644..0.121498644]	[0.11788339..0.11788339]	[0.122216925..0.122216925]	[0.11057424..0.122216925]
						PS 18:2/18:2	[0.0013914511..0.0013914511]	[0.0014848324..0.0014848324]	[0.001331963..0.001331963]	[0.0014558777..0.0014558777]	[0.001331963..0.0014848324]
PS 37:0:0	0.25267136	0.22922878	0.2429866	0.21837106	[0.21837106..0.25267136]	Sum	[0.051394764..0.051394764]	[0.054273486..0.054273486]	[0.045849215..0.045849215]	[0.046529375..0.046529375]	[0.045849215..0.054273486]
						PS 18:0-19:0	[0.051394757..0.051394757]	[0.054273475..0.054273475]	[0.045849204..0.045849204]	[0.046529386..0.046529386]	[0.045849204..0.054273475]
PS 37:1:0	1.4138119	1.4404149	1.3815125	1.4314343	[1.3815125..1.4404149]	Sum	[0.5045681..0.5045681]	[0.5440343..0.5440343]	[0.49965835..0.49965835]	[0.5247602..0.5247602]	[0.49965835..0.5440343]
						PS 17:0-20:1	[0.033228453..0.033228453]	[0.038930316..0.038930316]	[0.036311302..0.036311302]	[0.03617788..0.03617788]	[0.033228453..0.038930316]
						PS 18:1-19:0	[0.20417398..0.20417398]	[0.2135114..0.2135114]	[0.19668671..0.19668671]	[0.20768547..0.20768547]	[0.19668671..0.2135114]
						PS 18:0-19:1	[0.26716563..0.26716563]	[0.29159245..0.29159245]	[0.26666018..0.26666018]	[0.28089696..0.28089696]	[0.26666018..0.29159245]
PS 37:2:0	0.43847752	0.39895576	0.41287336	0.43253607	[0.39895576..0.43847752]	Sum	[0.1698159..0.1698159]	[0.17928675..0.17928675]	[0.16563645..0.16563645]	[0.17031002..0.17031002]	[0.16563645..0.17928675]
						PS 17:1-20:1	[0.004887985..0.004887985]	[0.005191928..0.005191928]	[0.0048276777..0.0048276777]	[0.004803466..0.004803466]	[0.004803466..0.005191928]
						PS 17:0-20:2	[0.007890613..0.007890613]	[0.008696732..0.008696732]	[0.0077799493..0.0077799493]	[0.007505631..0.007505631]	[0.007505631..0.008696732]
						PS 18:2-19:0	[0.0018473201..0.0018473201]	[0.0020846904..0.0020846904]	[0.001881239..0.001881239]	[0.0019295422..0.0019295422]	[0.0018473201..0.0020846904]
						PS 18:1-19:1	[0.13597918..0.13597918]	[0.14336829..0.14336829]	[0.1337702..0.1337702]	[0.13874614..0.13874614]	[0.1337702..0.14336829]
						PS 18:0-19:2	[0.019210774..0.019210774]	[0.01994506..0.01994506]	[0.017377334..0.017377334]	[0.017325282..0.017325282]	[0.017325282..0.01994506]
PS 37:3:0	0.0	0.0	0.05224765	0.055679325	[0.0..0.055679325]	Sum	[0.050021317..0.050021317]	[0.053650606..0.053650606]	[0.051873967..0.051873967]	[0.054041523..0.054041523]	[0.050021317..0.054041523]
						PS 17:0-20:3 (0z-11z)	[0.007095355..0.007095355]	[0.0077337534..0.0077337534]	[0.007268252..0.007268252]	[0.007720135..0.007720135]	[0.007095355..0.0077337534]
						PS 18:2-19:1	[0.0014451063..0.0014451063]	[0.0015491352..0.0015491352]	[0.0011385591..0.0011385591]	[0.001272825..0.001272825]	[0.0011385591..0.0015491352]
						PS 18:1-19:2	[0.021163488..0.021163488]	[0.021930268..0.021930268]	[0.022472465..0.022472465]	[0.023060123..0.023060123]	[0.021163488..0.023060123]
						PS 18:0-19:3 (0z-9z)	[0.020317366..0.020317366]	[0.022437437..0.022437437]	[0.02099468..0.02099468]	[0.021988455..0.021988455]	[0.020317366..0.022437437]
PS 37:4:0	0.098109595	0.08296429	0.088518165	0.09628942	[0.08296429..0.098109595]	Sum	[0.036978945..0.036978945]	[0.038542006..0.038542006]	[0.038237896..0.038237896]	[0.039714158..0.039714158]	[0.036978945..0.039714158]
						PS 17:1-20:3 (0z-11z)	[0.0032631157..0.0032631157]	[0.0033378946..0.0033378946]	[0.0035627654..0.0035627654]	[0.003415859..0.003415859]	[0.0032631157..0.0035627654]
						PS 17:0-20:4 (0z-8z)	[0.033715826..0.033715826]	[0.035204105..0.035204105]	[0.03467512..0.03467512]	[0.03629831..0.03629831]	[0.033715826..0.03629831]
PS 38:3:0	4.4565625	4.5196123	4.32223	4.513232	[4.32223..4.5196123]	Sum	[1.5137776..1.5137776]	[1.6715994..1.6715994]	[1.5698012..1.5698012]	[1.660787..1.660787]	[1.5137776..1.6715994]
						PS 18:1-20:2	[0.29824886..0.29824886]	[0.34726447..0.34726447]	[0.32562938..0.32562938]	[0.34235322..0.34235322]	[0.29824886..0.34726447]
						PS 18:0-20:3 (0z-11z)	[1.2155285..1.2155285]	[1.3243344..1.3243344]	[1.2441714..1.2441714]	[1.3184342..1.3184342]	[1.2155285..1.3243344]
PS 38:4:0	14.593055	14.760044	15.4691105	15.420558	[14.593055..15.4691105]	Sum	[6.5461144..6.5461144]	[6.6136384..6.6136384]	[6.8077774..6.8077774]	[6.4596057..6.4596057]	[6.4596057..6.8077774]
						PS 18:1-20:3 (0z-11z)	[1.1255378..1.1255378]	[1.1674739..1.1674739]	[1.1822687..1.1822687]	[1.0913376..1.0913376]	[1.0913376..1.1822687]
						PS 18:0-20:4 (0z-8z)	[5.4205756..5.4205756]	[5.4461627..5.4461627]	[5.625507..5.625507]	[5.36827..5.36827]	[5.36827..5.625507]
PS 38:5:0	1.601227	1.5502	1.6496673	1.780366	[1.5502..1.780366]	Sum	[0.8213884..0.8213884]	[0.8539067..0.8539067]	[0.8675272..0.8675272]	[0.84111655..0.84111655]	[0.8213884..0.8675272]
						PS 16:0-22:5 (0z-7z)	[0.11811638..0.11811638]	[0.12325636..0.12325636]	[0.117816545..0.117816545]	[0.11789111..0.11789111]	[0.117816545..0.12325636]
						PS 18:1-20:4 (0z-8z)	[0.7032719..0.7032719]	[0.73065..0.73065]	[0.74971044..0.74971044]	[0.7232256..0.7232256]	[0.7032719..0.74971044]
PS 38:6:0	0.38607305	0.41635773	0.41233632	0.4620034	[0.38607305..0.4620034]	Sum	[0.12733008..0.12733008]	[0.13679323..0.13679323]	[0.12886283..0.12886283]	[0.13579537..0.13579537]	[0.12733008..0.13679323]
						PS 16:0-22:6	[0.12035564..0.12035564]	[0.12924898..0.12924898]	[0.12103025..0.12103025]	[0.12799409..0.12799409]	[0.12035564..0.12924898]
						PS 18:2-20:4 (0z-8z)	[0.0069744294..0.0069744294]	[0.0075442344..0.0075442344]	[0.007832541..0.007832541]	[0.0078013157..0.0078013157]	[0.0069744294..0.007832541]
PS 39:1:0	0.46536887	0.50551116	0.50131696	0.49937838	[0.46536887..0.50551116]	Sum	[0.2713129..0.2713129]	[0.29764876..0.29764876]	[0.27154088..0.27154088]	[0.29436216..0.29436216]	[0.2713129..0.29764876]
						PS 16:1-23:0	[0.0011305843..0.0011305843]	[0.0019391264..0.0019391264]	[9.351496E-4..9.351496E-4]	[0.0012456729..0.0012456729]	[9.351496E-4..0.0019391264]
						PS 17:1-22:0	[0.0019993684..0.0019993684]	[0.0035207944..0.0035207944]	[0.0016448912..0.0016448912]	[0.0038478738..0.0038478738]	[0.0016448912..0.0038478738]
						PS 18:1-21:0	[0.15695164..0.15695164]	[0.16675155..0.16675155]	[0.15019678..0.15019678]	[0.15537134..0.15537134]	[0.15019678..0.16675155]
						PS 18:0-21:1	[0.093672864..0.093672864]	[0.10447935..0.10447935]	[0.09967327..0.09967327]	[0.11557891..0.11557891]	[0.093672864..0.11557891]
						PS 19:1-20:0	[0.0019223753..0.0019223753]	[0.002049774..0.002049774]	[0.0018674735..0.0018674735]	[0.0011798529..0.0011798529]	[0.0011798529..0.002049774]
						PS 19:0-20:1	[0.015636025..0.015636025]	[0.018908089..0.018908089]	[0.017223258..0.017223258]	[0.017138561..0.017138561]	[0.015636025..0.018908089]
PS 39:3:0	0.31039995	0.29265922	0.28926215	0.304269	[0.28926215..0.31039995]	Sum	[1.3795187..1.3795187]	[1.4058381..1.4058381]	[1.5056252..1.5056252]	[1.4523765..1.4523765]	[1.3795187..1.5056252]
						PS 18:0-21:3 (0z-11z)	[1.3795186..1.3795186]	[1.4058378..1.4058378]	[1.5056249..1.5056249]	[1.4523768..1.4523768]	[1.3795186..1.5056249]
PS 39:4:0	0.19636726	0.2307357	0.21162844	0.20993356	[0.19636726..0.2307357]	Sum	[0.32608098..0.32608098]	[0.3267717..0.3267717]	[0.3550798..0.3550798]	[0.33868933..0.33868933]	[0.32608098..0.3550798]
						PS 17:0-22:4 (0z-10z)	[0.027074004..0.027074004]	[0.030233141..0.030233141]	[0.028693773..0.028693773]	[0.027469857..0.027469857]	[0.027074004..0.030233141]
						PS 18:1-21:3 (0z-11z)	[0.23302846..0.23302846]	[0.2292597..0.2292597]	[0.258625..0.258625]	[0.2418224..0.2418224]	[0.2292597..0.258625]
						PS 18:0-21:4 (0z-8z)	[0.051193915..0.051193915]	[0.051567245..0.051567245]	[0.051522046..0.051522046]	[0.052656397..0.052656397]	[0.051193915..0.052656397]
						PS 19:0-20:4 (0z-8z)	[0.0147845335..0.0147845335]	[0.015711555..0.015711555]	[0.016238911..0.016238911]	[0.016740734..0.016740734]	[0.0147845335..0.016740734]
PS 39:5:0	0.06634558	0.0	0.06911427	0.07764622	[0.0..0.07764622]	Sum	[0.022857785..0.022857785]	[0.02455415..0.02455415]	[0.02327917..0.02327917]	[0.024663776..0.024663776]	[0.022857785..0.024663776]
						PS 17:1-22:4 (0z-10z)	[0.0011132818..0.0011132818]	[0.0013176807..0.0013176807]	[0.0011399743..0.0011399743]	[0.0012307592..0.0012307592]	[0.0011132818..0.0013176807]
						PS 17:0-22:5 (0z-7z)	[0.014287386..0.014287386]	[0.015413141..0.015413141]	[0.014231748..0.014231748]	[0.015484713..0.015484713]	[0.014231748..0.015484713]
						PS 19:1-20:4 (0z-8z)	[0.007457114..0.007457114]	[0.007823324..0.007823324]	[0.007907443..0.007907443]	[0.007948309..0.007948309]	[0.007457114..0.007948309]
PS 39:6:0	0.08219381	0.07273784	0.0	0.0	[0.0..0.08219381]	Sum	[0.019095726..0.019095726]	[0.02001846..0.02001846]	[0.018788163..0.018788163]	[0.01893549..0.01893549]	[0.018788163..0.02001846]
						PS 17:0-22:6	[0.019095723..0.019095723]	[0.020018457..0.020018457]	[0.018788159..0.018788159]	[0.018935494..0.018935494]	[0.018788159..0.020018457]
PS 40:6:0	40.05753	39.697563	39.371918	39.368282	[39.368282..40.05753]	Sum	[12.825732..12.825732]	[13.459357..13.459357]	[12.246708..12.246708]	[12.606427..12.606427]	[12.246708..13.459357]
						PS 18:0-22:6	[12.825732..12.825732]	[13.459354..13.459354]	[12.246705..12.246705]	[12.60643..12.60643]	[12.246705..13.459354]
