Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 34:0:0	0.040647857	0.029111437	0.030533012	0.029092224	[0.029092224..0.040647857]	Sum	[0.04312066..0.046196096]	[0.04461653..0.04659852]	[0.036859404..0.04758289]	[0.04014024..0.0513372]	[0.036859404..0.0513372]
						PS 18:0/16:0	[0.043127026..0.046190307]	[0.044620097..0.046597924]	[0.03383598..0.04691059]	[0.037355673..0.05101002]	[0.03383598..0.05101002]
						PS 16:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0038466689]	[0.0..0.003927772]	[0.0..0.003927772]
PS 34:1:0	2.0639193	2.0776145	2.063039	2.0650637	[2.063039..2.0776145]	Sum	[1.8134404..2.0472684]	[1.7221274..2.0316894]	[1.7485026..1.8967295]	[1.803104..2.057638]	[1.7221274..2.057638]
						PS 18:0/16:1	[0.41711894..0.4759637]	[0.37559646..0.46701318]	[0.41167337..0.4366195]	[0.41141802..0.4786957]	[0.37559646..0.4786957]
						PS 16:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 16:0/18:1	[1.2635977..1.5629882]	[1.2468077..1.5567384]	[1.2714741..1.4527761]	[1.2950526..1.571143]	[1.2468077..1.571143]
						PS 18:1/16:0	[0.0..0.15004687]	[0.0..0.1338795]	[0.0..0.07990268]	[0.0..0.12412032]	[0.0..0.15004687]
PS 34:2:0	0.08922884	0.100060165	0.10058932	0.074495494	[0.074495494..0.10058932]	Sum	[0.09804878..0.110213876]	[0.10925426..0.11639506]	[0.097826295..0.11718186]	[0.11267187..0.14127976]	[0.097826295..0.14127976]
						PS 18:0/16:2	[0.013187193..0.022009717]	[0.01888637..0.029734265]	[0.016778124..0.029697377]	[0.027212242..0.055902235]	[0.013187193..0.055902235]
						PS 16:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 16:1/18:1	[0.0017707944..0.008350397]	[0.0021055199..0.007823091]	[0.0014510907..0.0073984084]	[0.0021867286..0.007053961]	[0.0014510907..0.008350397]
						PS 18:1/16:1	[0.053062774..0.06189493]	[0.05449581..0.06297588]	[0.051078394..0.06011207]	[0.05393931..0.06071445]	[0.051078394..0.06297588]
						PS 16:0/18:2	[0.024069622..0.02503804]	[0.024355546..0.025358083]	[0.021936487..0.023949983]	[0.024263298..0.025396133]	[0.021936487..0.025396133]
						PS 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0011495992]	[0.0..0.0]	[0.0..0.0011495992]
PS 35:0:0	0.058829606	0.049234275	0.039596826	0.054279868	[0.039596826..0.058829606]	Sum	[0.017344601..0.022634706]	[0.014842765..0.018010978]	[0.010471635..0.011976213]	[0.010786836..0.012316766]	[0.010471635..0.022634706]
						PS 18:0/17:0	[0.017342022..0.022632219]	[0.014842257..0.01801224]	[0.010470735..0.011975571]	[0.010786239..0.012316231]	[0.010470735..0.022632219]
						PS 17:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 35:1:0	0.58791184	0.60046685	0.6202367	0.6180032	[0.58791184..0.6202367]	Sum	[0.5635761..0.62041396]	[0.5359783..0.62909096]	[0.5258282..0.55868804]	[0.55543774..0.62101656]	[0.5258282..0.62909096]
						PS 18:0/17:1	[0.16764934..0.18482243]	[0.15660863..0.18963955]	[0.15526614..0.16381766]	[0.16877496..0.18378776]	[0.15526614..0.18963955]
						PS 17:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0021296297]	[0.0..0.0]	[0.0..0.0021296297]
						PS 17:0/18:1	[0.3716433..0.4332262]	[0.37074524..0.43718383]	[0.35661265..0.39367214]	[0.3747734..0.43502697]	[0.35661265..0.43718383]
						PS 18:1/17:0	[0.0..0.023827441]	[0.0..0.01486425]	[0.0..0.02007728]	[0.0..0.017836107]	[0.0..0.023827441]
