Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PC 24:0:0	199.17	20180509_PC_brain_01.mzXML	25.0	841441.3	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.101..1.101]	[926426.9..926426.9]	[0.5..0.5]	[0.5..0.5]	[1.101..1.101]	[926426.9..926426.9]	[0.5..0.5]	[0.5..0.5]	1.004296	[930406.75..930406.75]
Group-1	PC 24:0:0	199.17	20180509_PC_brain_01.mzXML	30.0	915957.4	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.156..1.156]	[1058846.8..1058846.8]	[0.5..0.5]	[0.5..0.5]	[1.156..1.156]	[1058846.8..1058846.8]	[0.5..0.5]	[0.5..0.5]	1.004296	[1063395.5..1063395.5]
Group-1	PC 24:0:0	199.17	20180509_PC_brain_01.mzXML	35.0	803916.8	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.179..1.179]	[947817.94..947817.94]	[0.5..0.5]	[0.5..0.5]	[1.179..1.179]	[947817.94..947817.94]	[0.5..0.5]	[0.5..0.5]	1.004296	[951889.7..951889.7]
Group-1	PC 25:0:0	199.17	20180509_PC_brain_01.mzXML	25.0	239160.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.088..1.096]	[260206.86..262120.12]	[0.271..0.271]	[0.0..0.0]	[1.088..1.088]	[260206.86..260206.86]	[0.269..0.269]	[0.0..0.0]	0.98652405	[256700.31..258587.8]
Group-1	PC 25:0:0	199.17	20180509_PC_brain_01.mzXML	30.0	273912.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.149..1.152]	[314725.47..315547.2]	[0.287..0.288]	[0.0..0.0]	[1.149..1.149]	[314725.47..314725.47]	[0.287..0.287]	[0.0..0.0]	0.98652405	[310484.25..311294.9]
Group-1	PC 25:0:0	199.17	20180509_PC_brain_01.mzXML	35.0	256409.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.172..1.175]	[300512.2..301281.38]	[0.303..0.303]	[0.0..0.0]	[1.172..1.172]	[300512.2..300512.2]	[0.302..0.302]	[0.0..0.0]	0.98652405	[296462.5..297221.34]
Group-1	PC 25:0:0	213.18	20180509_PC_brain_01.mzXML	25.0	661672.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.058..1.068]	[700049.7..706666.4]	[0.729..0.729]	[1.0..1.0]	[1.068..1.068]	[706666.4..706666.4]	[0.731..0.731]	[1.0..1.0]	0.98652405	[690615.8..697143.4]
Group-1	PC 25:0:0	213.18	20180509_PC_brain_01.mzXML	30.0	706245.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.102..1.108]	[778282.9..782520.4]	[0.712..0.713]	[1.0..1.0]	[1.108..1.108]	[782520.4..782520.4]	[0.713..0.713]	[1.0..1.0]	0.98652405	[767794.8..771975.2]
Group-1	PC 25:0:0	213.18	20180509_PC_brain_01.mzXML	35.0	617208.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.12..1.124]	[691273.7..693742.44]	[0.697..0.697]	[1.0..1.0]	[1.124..1.124]	[693742.44..693742.44]	[0.698..0.698]	[1.0..1.0]	0.98652405	[681958.06..684393.6]
Group-1	PC 30:0:0	227.2	20180509_PC_brain_01.mzXML	25.0	8756.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.033..1.042]	[9045.671..9124.482]	[0.47..0.472]	[0.38..0.43]	[1.036..1.037]	[9071.941..9080.697]	[0.471..0.471]	[0.381..0.43]	0.9069271	[8203.765..8275.24]
Group-1	PC 30:0:0	227.2	20180509_PC_brain_01.mzXML	30.0	9668.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.062..1.068]	[10267.947..10325.958]	[0.454..0.455]	[0.38..0.43]	[1.064..1.065]	[10287.284..10296.953]	[0.454..0.455]	[0.381..0.43]	0.9069271	[9312.28..9364.892]
Group-1	PC 30:0:0	227.2	20180509_PC_brain_01.mzXML	35.0	8977.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.074..1.078]	[9641.729..9677.637]	[0.467..0.468]	[0.38..0.43]	[1.076..1.076]	[9659.683..9659.683]	[0.468..0.468]	[0.381..0.43]	0.9069271	[8744.345..8776.911]
Group-1	PC 30:0:0	255.23	20180509_PC_brain_01.mzXML	25.0	10187.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[10187.4..10187.4]	[0.528..0.53]	[0.57..0.62]	[1.0..1.0]	[10187.4..10187.4]	[0.529..0.529]	[0.57..0.619]	0.9069271	[9239.2295..9239.2295]
Group-1	PC 30:0:0	255.23	20180509_PC_brain_01.mzXML	30.0	12358.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[12358.6..12358.6]	[0.545..0.546]	[0.57..0.62]	[1.0..1.0]	[12358.6..12358.6]	[0.545..0.546]	[0.57..0.619]	0.9069271	[11208.349..11208.349]
Group-1	PC 30:0:0	255.23	20180509_PC_brain_01.mzXML	35.0	10992.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[10992.3..10992.3]	[0.532..0.533]	[0.57..0.62]	[1.0..1.0]	[10992.3..10992.3]	[0.532..0.532]	[0.57..0.619]	0.9069271	[9969.215..9969.215]
Group-1	PC 32:0:0	227.2	20180509_PC_brain_01.mzXML	25.0	1609.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.033..1.042]	[1662.304..1676.787]	[0.809..0.811]	[1.0..1.0]	[1.042..1.042]	[1676.7865..1676.7865]	[0.813..0.813]	[1.0..1.0]	0.87883294	[1460.8871..1473.6151]
Group-1	PC 32:0:0	227.2	20180509_PC_brain_01.mzXML	30.0	1625.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.062..1.068]	[1726.069..1735.82]	[0.789..0.791]	[1.0..1.0]	[1.068..1.068]	[1735.8204..1735.8204]	[0.792..0.792]	[1.0..1.0]	0.87883294	[1516.926..1525.4961]
Group-1	PC 32:0:0	227.2	20180509_PC_brain_01.mzXML	35.0	1701.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.074..1.078]	[1827.626..1834.433]	[0.746..0.747]	[1.0..1.0]	[1.078..1.078]	[1834.4325..1834.4325]	[0.747..0.747]	[1.0..1.0]	0.87883294	[1606.1777..1612.1597]
Group-1	PC 32:0:0	255.23	20180509_PC_brain_01.mzXML	25.0	195936.0	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[195936.0..195936.0]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[195936.0..195936.0]	[0.5..0.5]	[0.5..0.5]	0.87883294	[172195.02..172195.02]
Group-1	PC 32:0:0	255.23	20180509_PC_brain_01.mzXML	30.0	236234.4	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[236234.4..236234.4]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[236234.4..236234.4]	[0.5..0.5]	[0.5..0.5]	0.87883294	[207610.58..207610.58]
Group-1	PC 32:0:0	255.23	20180509_PC_brain_01.mzXML	35.0	206866.2	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[206866.2..206866.2]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[206866.2..206866.2]	[0.5..0.5]	[0.5..0.5]	0.87883294	[181800.83..181800.83]
