Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
PC 30:0:0	0.29173806	0.30433497	0.31279024	[0.29173806..0.31279024]	Sum	[0.20200358..0.21166818]	[0.19771443..0.22063462]	[0.20866087..0.23605034]	[0.19771443..0.23605034]
					PC 16:0/14:0	[0.07823899..0.08964447]	[0.07661485..0.097860895]	[0.07559372..0.094369866]	[0.07559372..0.097860895]
					PC 14:0/16:0	[0.11705046..0.12904635]	[0.11059886..0.13461308]	[0.12634346..0.15005974]	[0.11059886..0.15005974]
PC 32:0:0	2.8716016	2.837892	2.8820338	[2.837892..2.8820338]	Sum	[2.010138..2.1588898]	[1.9576977..2.210305]	[1.9426088..2.178574]	[1.9426088..2.210305]
					PC 18:0/14:0	[0.019582478..0.023907311]	[0.020359574..0.028477615]	[0.02121292..0.022208268]	[0.019582478..0.028477615]
					PC 14:0/18:0	[0.0..0.0]	[0.0..1.1354939E-4]	[0.0..0.0]	[0.0..1.1354939E-4]
					PC 16:0/16:0	[1.9934572..2.135548]	[1.9438852..2.1747608]	[1.9255966..2.1520925]	[1.9255966..2.1747608]
PC 32:1:0	3.7336473	3.8170297	3.7221081	[3.7221081..3.8170297]	Sum	[2.1653526..2.3255334]	[2.2387295..2.438409]	[2.301822..2.3855913]	[2.1653526..2.438409]
					PC 18:1/14:0	[0.044166386..0.057683058]	[0.048411097..0.056130625]	[0.04849686..0.054209165]	[0.044166386..0.057683058]
					PC 14:0/18:1	[0.066609636..0.081922896]	[0.072871454..0.08131073]	[0.07725962..0.084355414]	[0.066609636..0.084355414]
					PC 16:0/16:1	[1.2601471..1.52942]	[1.2785665..1.6474423]	[1.3471426..1.5867257]	[1.2601471..1.6474423]
					PC 16:1/16:0	[0.6270001..0.8484535]	[0.61513954..0.9111032]	[0.6413943..0.84202856]	[0.61513954..0.9111032]
PC 32:2:0	0.1269983	0.11779177	0.12488926	[0.11779177..0.1269983]	Sum	[0.032452118..0.043096583]	[0.034816787..0.036798585]	[0.03453455..0.043431725]	[0.032452118..0.043431725]
					PC 16:1/16:1	[0.032532446..0.0430164]	[0.03493322..0.036682848]	[0.034635033..0.043332275]	[0.032532446..0.043332275]
PC 34:1:0	47.353127	47.33306	46.992496	[46.992496..47.353127]	Sum	[30.015308..31.643864]	[29.54063..31.239086]	[29.109955..31.065317]	[29.109955..31.643864]
					PC 18:0/16:1	[0.42687598..0.5442488]	[0.43933025..0.5554249]	[0.44105738..0.52889687]	[0.42687598..0.5554249]
					PC 16:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/16:0	[4.9860845..6.3248286]	[4.986166..6.0667524]	[4.9866586..7.1158185]	[4.9860845..7.1158185]
					PC 16:0/18:1	[23.849106..25.606342]	[23.573648..25.081947]	[22.279573..24.995821]	[22.279573..25.606342]
PC 34:2:0	2.1665075	2.1899261	2.1535096	[2.1535096..2.1899261]	Sum	[1.338575..1.3800114]	[1.3146257..1.3841126]	[1.3478941..1.4360194]	[1.3146257..1.4360194]
					PC 18:1/16:1	[0.23695554..0.26609597]	[0.23136558..0.24145035]	[0.22579262..0.26006317]	[0.22579262..0.26609597]
					PC 16:1/18:1	[0.27717277..0.3062819]	[0.30542418..0.31871626]	[0.30515537..0.34140453]	[0.27717277..0.34140453]
