Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
PC 30:0:0	0.68532157	0.6920124	0.7823212	[0.68532157..0.7823212]	Sum	[0.8573826..0.8573826]	[0.89419776..0.89419776]	[0.9065695..0.9065695]	[0.8573826..0.9065695]
					PC 14:0-16:0	[0.8573826..0.8573826]	[0.89419776..0.89419776]	[0.9065695..0.9065695]	[0.8573826..0.9065695]
PC 32:0:0	6.7456756	6.4529443	7.2082686	[6.4529443..7.2082686]	Sum	[8.704836..8.704836]	[9.259471..9.259471]	[8.305945..8.305945]	[8.305945..9.259471]
					PC 14:0-18:0	[0.09833566..0.09833566]	[0.11655996..0.11655996]	[0.082505174..0.082505174]	[0.082505174..0.11655996]
					PC 16:0/16:0	[8.606501..8.606501]	[9.142911..9.142911]	[8.22344..8.22344]	[8.22344..9.142911]
PC 32:1:0	8.770706	8.679358	9.309383	[8.679358..9.309383]	Sum	[9.571548..9.571548]	[9.990345..9.990345]	[9.569834..9.569834]	[9.569834..9.990345]
					PC 14:0-18:1	[0.51896405..0.51896405]	[0.5671306..0.5671306]	[0.5531203..0.5531203]	[0.51896405..0.5671306]
					PC 16:0-16:1	[9.052585..9.052585]	[9.423215..9.423215]	[9.016714..9.016714]	[9.016714..9.423215]
PC 32:2:0	0.29833156	0.26784095	0.31236115	[0.26784095..0.31236115]	Sum	[0.1537952..0.1537952]	[0.1692847..0.1692847]	[0.1528575..0.1528575]	[0.1528575..0.1692847]
					PC 16:1/16:1	[0.1537952..0.1537952]	[0.1692847..0.1692847]	[0.1528575..0.1528575]	[0.1528575..0.1692847]
PC 34:1:0	111.23717	107.62834	117.53316	[107.62834..117.53316]	Sum	[142.38013..142.38013]	[133.51326..133.51326]	[130.21954..130.21954]	[130.21954..142.38013]
					PC 16:1-18:0	[2.4400556..2.4400556]	[2.244247..2.244247]	[2.0759966..2.0759966]	[2.0759966..2.4400556]
					PC 16:0-18:1	[139.94006..139.94006]	[131.26901..131.26901]	[128.14355..128.14355]	[128.14355..139.94006]
