Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
PC 24:0:0	43.74754	43.30177	43.18776	[43.18776..43.74754]	Sum	[39.56449..40.236835]	[40.37909..43.068394]	[38.8249..42.412975]	[38.8249..43.068394]
					PC 12:0/12:0	[39.56449..40.236835]	[40.37909..43.068394]	[38.8249..42.412975]	[38.8249..43.068394]
PC 25:0:0	40.8	40.8	40.8	[40.8..40.8]	Sum	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]
					PC 13:0/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 12:0/13:0	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]
PC 30:0:0	0.68532157	0.6920124	0.7823212	[0.68532157..0.7823212]	Sum	[0.7465271..0.7809367]	[0.7397413..0.8146876]	[0.77318734..0.82476306]	[0.7397413..0.82476306]
					PC 16:0/14:0	[0.2862274..0.33504176]	[0.28361607..0.3657637]	[0.27698538..0.33317816]	[0.27698538..0.3657637]
					PC 14:0/16:0	[0.42821425..0.4823043]	[0.40941954..0.5031283]	[0.46293905..0.5297944]	[0.40941954..0.5297944]
PC 32:0:0	6.7456756	6.4529443	7.2082686	[6.4529443..7.2082686]	Sum	[7.428692..7.928172]	[7.3246546..8.161493]	[7.198286..7.9464593]	[7.198286..8.161493]
					PC 18:0/14:0	[0.072588116..0.089856125]	[0.07540781..0.1061002]	[0.07533204..0.081553966]	[0.072588116..0.1061002]
					PC 14:0/18:0	[0.0..0.0]	[0.0..4.2440085E-4]	[0.0..0.0]	[0.0..4.2440085E-4]
					PC 16:0/16:0	[7.350975..7.8555837]	[7.2487335..8.056706]	[7.116732..7.868471]	[7.116732..8.056706]
PC 32:1:0	8.770706	8.679358	9.309383	[8.679358..9.309383]	Sum	[8.192008..8.587227]	[8.445445..9.051781]	[8.187087..8.75632]	[8.187087..9.051781]
					PC 18:1/14:0	[0.16572295..0.21439728]	[0.18128504..0.20979315]	[0.1776989..0.19795728]	[0.16572295..0.21439728]
					PC 14:0/18:1	[0.24993542..0.30449232]	[0.27288172..0.30390596]	[0.28308946..0.30804324]	[0.24993542..0.30804324]
					PC 16:0/16:1	[4.7093806..5.684572]	[4.7878475..6.1433005]	[4.808291..5.852606]	[4.7093806..6.1433005]
					PC 16:1/16:0	[2.343204..3.1535451]	[2.3035128..3.3974972]	[2.2892976..3.1058054]	[2.2892976..3.3974972]
PC 32:2:0	0.29833156	0.26784095	0.31236115	[0.26784095..0.31236115]	Sum	[0.12301254..0.15737005]	[0.13026573..0.1368667]	[0.12228094..0.15877517]	[0.12228094..0.15877517]
					PC 16:1/16:1	[0.12301254..0.15737005]	[0.13026573..0.1368667]	[0.12228094..0.15877517]	[0.12228094..0.15877517]
PC 34:1:0	111.23717	107.62834	117.53316	[107.62834..117.53316]	Sum	[111.44068..118.48662]	[110.822784..116.63422]	[107.866165..110.95309]	[107.866165..118.48662]
					PC 18:0/16:1	[1.5616717..2.0579278]	[1.6263312..2.0995662]	[1.6125921..1.9547279]	[1.5616717..2.0995662]
					PC 16:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/16:0	[18.341246..23.915607]	[18.469376..22.932983]	[18.262877..25.685204]	[18.262877..25.685204]
					PC 16:0/18:1	[87.72861..96.82338]	[87.31971..94.81248]	[81.59554..90.22472]	[81.59554..96.82338]
PC 34:2:0	5.0893397	4.9795666	5.386153	[4.9795666..5.386153]	Sum	[4.9872336..5.0905495]	[4.9318676..5.108936]	[4.928984..5.2497163]	[4.928984..5.2497163]
					PC 18:1/16:1	[0.8691952..1.0015717]	[0.8570068..0.90036666]	[0.8122132..0.96115655]	[0.8122132..1.0015717]
					PC 16:1/18:1	[1.0167192..1.1528294]	[1.131329..1.1839304]	[1.097694..1.2617828]	[1.0167192..1.2617828]
					PC 18:2/16:0	[1.0177922..1.0294286]	[0.9072586..1.1257863]	[0.9977858..1.120362]	[0.9072586..1.1257863]
					PC 16:0/18:2	[1.9964386..2.0222008]	[1.8380824..2.0719256]	[1.8693811..2.0370219]	[1.8380824..2.0719256]
PC 34:3:0	0.22669102	0.21750757	0.2407853	[0.21750757..0.2407853]	Sum	[0.17719996..0.2561825]	[0.15588325..0.2603314]	[0.16476266..0.2569796]	[0.15588325..0.2603314]
					PC 18:2/16:1	[0.03341737..0.055985123]	[0.01786793..0.06200069]	[0.03206306..0.04643895]	[0.01786793..0.06200069]
					PC 16:1/18:2	[0.019281758..0.038728345]	[0.0..0.030318335]	[0.016754756..0.030101702]	[0.0..0.038728345]
					PC 18:3 (6z-9z)/16:0	[0.018784458..0.052209612]	[0.013577322..0.050059397]	[0.027090345..0.068772845]	[0.013577322..0.068772845]
					PC 16:0/18:3 (6z-9z)	[0.08633131..0.13552283]	[0.085549146..0.154176]	[0.07305406..0.1258974]	[0.07305406..0.154176]
