Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PS 34:0:0	255.23	240116_PS_FTMSMS-_4.mzXML	25.0	11343.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[11343.8..11343.8]	[0.321..0.325]	[0.9..1.0]	[1.0..1.0]	[11343.8..11343.8]	[0.325..0.325]	[0.898..1.0]	0.89466476	[10148.898..10148.898]
Group-1	PS 34:0:0	255.23	240116_PS_FTMSMS-_4.mzXML	30.0	14958.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[14958.2..14958.2]	[0.214..0.215]	[0.9..1.0]	[1.0..1.0]	[14958.2..14958.2]	[0.215..0.215]	[0.898..1.0]	0.89466476	[13382.574..13382.574]
Group-1	PS 34:0:0	255.23	240116_PS_FTMSMS-_4.mzXML	35.0	30963.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[30963.7..30963.7]	[0.292..0.292]	[0.9..1.0]	[1.0..1.0]	[30963.7..30963.7]	[0.292..0.292]	[0.898..1.0]	0.89466476	[27702.13..27702.13]
Group-1	PS 34:0:0	283.26	240116_PS_FTMSMS-_4.mzXML	25.0	23890.1	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..1.005]	[23555.639..24009.55]	[0.675..0.679]	[0.0..0.1]	[0.986..0.988]	[23555.639..23603.418]	[0.675..0.675]	[0.0..0.102]	0.89466476	[21074.4..21480.498]
Group-1	PS 34:0:0	283.26	240116_PS_FTMSMS-_4.mzXML	30.0	56335.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.978]	[54532.57..55095.92]	[0.785..0.786]	[0.0..0.1]	[0.968..0.969]	[54532.57..54588.906]	[0.785..0.785]	[0.0..0.102]	0.89466476	[48788.367..49292.38]
Group-1	PS 34:0:0	283.26	240116_PS_FTMSMS-_4.mzXML	35.0	78017.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.961..0.963]	[74975.2..75131.234]	[0.708..0.708]	[0.0..0.1]	[0.961..0.961]	[74975.2..74975.2]	[0.708..0.708]	[0.0..0.102]	0.89466476	[67077.67..67217.27]
Group-1	PS 34:1:0	253.22	240116_PS_FTMSMS-_4.mzXML	25.0	99730.6	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.92..0.938]	[91752.16..93547.305]	[0.253..0.253]	[1.0..1.0]	[0.938..0.938]	[93547.305..93547.305]	[0.256..0.256]	[1.0..1.0]	0.8967037	[82274.5..83884.22]
Group-1	PS 34:1:0	253.22	240116_PS_FTMSMS-_4.mzXML	30.0	199654.6	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.953..0.972]	[190270.83..194064.27]	[0.239..0.241]	[1.0..1.0]	[0.972..0.972]	[194064.27..194064.27]	[0.243..0.243]	[1.0..1.0]	0.8967037	[170616.56..174018.14]
Group-1	PS 34:1:0	253.22	240116_PS_FTMSMS-_4.mzXML	35.0	208565.2	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.96..1.004]	[200222.6..209399.45]	[0.234..0.241]	[1.0..1.0]	[1.004..1.004]	[209399.45..209399.45]	[0.242..0.242]	[1.0..1.0]	0.8967037	[179540.34..187769.27]
Group-1	PS 34:1:0	255.23	240116_PS_FTMSMS-_4.mzXML	25.0	818640.7	0.0	0.0	[0.0..0.0]	[0.8..0.8]	[1.0..1.0]	[818640.7..818640.7]	[0.674..0.674]	[0.0..0.11]	[1.0..1.0]	[818640.7..818640.7]	[0.674..0.674]	[0.0..0.113]	0.8967037	[734078.1..734078.1]
Group-1	PS 34:1:0	255.23	240116_PS_FTMSMS-_4.mzXML	30.0	1833065.5	0.0	0.0	[0.0..0.0]	[1.0..1.0]	[1.0..1.0]	[1833065.5..1833065.5]	[0.702..0.702]	[0.0..0.11]	[1.0..1.0]	[1833065.5..1833065.5]	[0.702..0.702]	[0.0..0.113]	0.8967037	[1643716.6..1643716.6]
Group-1	PS 34:1:0	255.23	240116_PS_FTMSMS-_4.mzXML	35.0	2093893.4	0.0	0.0	[0.0..0.0]	[0.8..1.0]	[1.0..1.0]	[2093893.4..2093893.4]	[0.722..0.723]	[0.0..0.11]	[1.0..1.0]	[2093893.4..2093893.4]	[0.722..0.722]	[0.0..0.113]	0.8967037	[1877602.0..1877602.0]
Group-1	PS 34:1:0	281.25	240116_PS_FTMSMS-_4.mzXML	25.0	440460.6	0.0	0.0	[9.0..9.0]	[0.2..0.2]	[0.9..0.9]	[396414.53..396414.53]	[0.326..0.326]	[0.89..1.0]	[0.9..0.9]	[396414.53..396414.53]	[0.326..0.326]	[0.887..1.0]	0.8967037	[355466.38..355466.38]
Group-1	PS 34:1:0	281.25	240116_PS_FTMSMS-_4.mzXML	30.0	846596.8	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.919..0.919]	[778022.5..778022.5]	[0.298..0.298]	[0.89..1.0]	[0.919..0.919]	[778022.5..778022.5]	[0.298..0.298]	[0.887..1.0]	0.8967037	[697655.6..697655.6]
Group-1	PS 34:1:0	281.25	240116_PS_FTMSMS-_4.mzXML	35.0	866687.0	0.0	0.0	[9.0..9.0]	[0.0..0.2]	[0.926..0.932]	[802552.2..807752.25]	[0.277..0.278]	[0.89..1.0]	[0.931..0.932]	[806885.56..807752.25]	[0.278..0.278]	[0.887..1.0]	0.8967037	[719651.5..724314.44]
Group-1	PS 34:1:0	283.26	240116_PS_FTMSMS-_4.mzXML	25.0	275301.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..1.005]	[271446.78..276677.5]	[0.747..0.747]	[0.0..0.0]	[0.986..0.986]	[271446.78..271446.78]	[0.744..0.744]	[0.0..0.0]	0.8967037	[243407.34..248097.75]
Group-1	PS 34:1:0	283.26	240116_PS_FTMSMS-_4.mzXML	30.0	625709.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.978]	[605686.94..611944.0]	[0.759..0.761]	[0.0..0.0]	[0.968..0.968]	[605686.94..605686.94]	[0.757..0.757]	[0.0..0.0]	0.8967037	[543121.7..548732.44]
Group-1	PS 34:1:0	283.26	240116_PS_FTMSMS-_4.mzXML	35.0	683249.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.961..0.963]	[656602.5..657968.94]	[0.759..0.766]	[0.0..0.0]	[0.961..0.961]	[656602.5..656602.5]	[0.758..0.758]	[0.0..0.0]	0.8967037	[588777.9..590003.2]
Group-1	PS 34:2:0	251.2	240116_PS_FTMSMS-_4.mzXML	25.0	879.8	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.903..0.923]	[794.459..812.055]	[0.017..0.017]	[1.0..1.0]	[0.923..0.923]	[812.05536..812.05536]	[0.017..0.017]	[1.0..1.0]	0.8987426	[714.0145..729.8288]
Group-1	PS 34:2:0	251.2	240116_PS_FTMSMS-_4.mzXML	30.0	1484.2	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.962..0.975]	[1427.8..1447.095]	[0.027..0.027]	[1.0..1.0]	[0.975..0.975]	[1447.095..1447.095]	[0.027..0.027]	[1.0..1.0]	0.8987426	[1283.225..1300.5659]
Group-1	PS 34:2:0	251.2	240116_PS_FTMSMS-_4.mzXML	35.0	1390.7	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[1.016..1.049]	[1412.951..1458.844]	[0.025..0.026]	[1.0..1.0]	[1.049..1.049]	[1458.8442..1458.8442]	[0.026..0.026]	[1.0..1.0]	0.8987426	[1269.8795..1311.1256]
