Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 34:0:0	0.033527616	0.023968596	0.025203533	0.023960087	[0.023960087..0.033527616]	Sum	[0.032043356..0.03518449]	[0.033242106..0.035115134]	[0.027867619..0.035759155]	[0.030147951..0.039163552]	[0.027867619..0.039163552]	
						PS 18:0/16:0	[0.031506818..0.03483879]	[0.03325587..0.035114672]	[0.025025321..0.035450153]	[0.027361553..0.038755774]	[0.025025321..0.038755774]	
						PS 16:0/18:0	[0.0..6.61937E-4]	[0.0..0.0]	[0.0..0.0037577164]	[0.0..0.0039530895]	[0.0..0.0039530895]	
PS 34:1:0	1.6930273	1.7001076	1.6923828	1.6929666	[1.6923828..1.7001076]	Sum	[1.3539152..1.5250967]	[1.3059777..1.5180109]	[1.3184671..1.4421774]	[1.3549455..1.5435153]	[1.3059777..1.5435153]	
						PS 18:0/16:1	[0.31818518..0.35705552]	[0.2878143..0.3518949]	[0.31648335..0.33394817]	[0.31653464..0.3609248]	[0.2878143..0.3609248]	
						PS 16:1/18:0	[0.0..0.0035705548]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0035705548]	
						PS 16:0/18:1	[0.9111289..1.1569401]	[0.91253835..1.1574287]	[0.92468745..1.0936143]	[0.94309235..1.1692268]	[0.9111289..1.1692268]	
						PS 18:1/16:0	[0.0..0.14346057]	[0.0..0.13541916]	[0.0..0.09405084]	[0.0..0.13212262]	[0.0..0.14346057]	
PS 34:2:0	0.07359872	0.08238349	0.083031654	0.061353803	[0.061353803..0.083031654]	Sum	[0.07464919..0.08219663]	[0.08240346..0.0882623]	[0.074223705..0.08857627]	[0.08584987..0.10670976]	[0.074223705..0.10670976]	
						PS 18:0/16:2	[0.010046063..0.016380757]	[0.01423958..0.022580931]	[0.012748464..0.022323819]	[0.020718507..0.04212237]	[0.010046063..0.04212237]	
						PS 16:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 16:1/18:1	[0.0022475533..0.007468106]	[0.0024504245..0.007198999]	[0.0019106063..0.0068227034]	[0.0025345979..0.0066138534]	[0.0019106063..0.007468106]	
						PS 18:1/16:1	[0.03947265..0.045284316]	[0.040243506..0.04674419]	[0.03794553..0.04472142]	[0.039631892..0.044643514]	[0.03794553..0.04674419]	
						PS 16:0/18:2	[0.017884033..0.01853955]	[0.018372742..0.01906336]	[0.015784772..0.018184705]	[0.018118186..0.01897326]	[0.015784772..0.01906336]	
						PS 18:2/16:0	[0.0..3.6773643E-5]	[0.0..0.0]	[0.0..0.0016911776]	[0.0..0.0]	[0.0..0.0016911776]	
PS 35:0:0	0.024261521	0.020267587	0.016342085	0.022351732	[0.016342085..0.024261521]	Sum	[0.012886356..0.016803198]	[0.011063555..0.013634195]	[0.007925846..0.008993957]	[0.008056183..0.009395198]	[0.007925846..0.016803198]	
						PS 18:0/17:0	[0.012888206..0.016809544]	[0.011061281..0.013638551]	[0.007933525..0.008988866]	[0.008059551..0.009395616]	[0.007933525..0.016809544]	
						PS 17:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 35:1:0	0.48076728	0.4893181	0.507378	0.50475866	[0.48076728..0.507378]	Sum	[0.42284968..0.4621061]	[0.4069152..0.46866834]	[0.39695764..0.4256713]	[0.4173851..0.46595535]	[0.39695764..0.46866834]	
						PS 18:0/17:1	[0.12800115..0.13773854]	[0.1190349..0.14195263]	[0.11239484..0.12505744]	[0.12578653..0.1376977]	[0.11239484..0.14195263]	
						PS 17:1/18:0	[0.0..2.7547707E-4]	[0.0..2.839053E-4]	[0.0..0.0071282745]	[0.0..0.0030293493]	[0.0..0.0071282745]	
						PS 17:0/18:1	[0.2687675..0.32115114]	[0.27079806..0.32420665]	[0.260949..0.29753777]	[0.27365208..0.3243236]	[0.260949..0.3243236]	
						PS 18:1/17:0	[0.0..0.026976693]	[0.0..0.023018671]	[0.0..0.023505487]	[0.0..0.02432427]	[0.0..0.026976693]	
PS 36:1:0	49.371433	49.260105	49.284737	48.830112	[48.830112..49.371433]	Sum	[40.19671..43.950863]	[40.848747..43.616783]	[42.65679..44.524338]	[40.294994..44.747128]	[40.19671..44.747128]	
						PS 18:0/18:1	[39.04498..43.83114]	[39.33154..43.630722]	[41.725964..44.33631]	[38.388035..44.602592]	[38.388035..44.602592]	
						PS 18:1/18:0	[0.0..1.314934]	[0.0..1.6143367]	[0.0..1.1527442]	[0.0..2.2301295]	[0.0..2.2301295]	
PS 36:2:0	6.643991	6.6602526	6.604212	6.5857625	[6.5857625..6.6602526]	Sum	[5.5152936..5.8444567]	[5.273544..5.7141023]	[5.1323566..5.725677]	[4.998884..5.897593]	[4.998884..5.897593]	
						PS 18:0/18:2	[0.41915616..0.49575436]	[0.4174009..0.45700336]	[0.44925666..0.47055683]	[0.40514553..0.46933386]	[0.40514553..0.49575436]	
						PS 18:2/18:0	[0.0..0.027266487]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0018773355]	[0.0..0.027266487]	
						PS 18:1/18:1	[5.019749..5.389543]	[4.8547463..5.256051]	[4.6802816..5.250472]	[4.59509..5.425867]	[4.59509..5.425867]	
PS 36:3:0	0.11541686	0.12819429	0.12521555	0.11680399	[0.11541686..0.12819429]	Sum	[0.13042702..0.1383671]	[0.13433848..0.13807999]	[0.12742458..0.13838896]	[0.13285066..0.1387588]	[0.12742458..0.1387588]	
						PS 20:2/16:1	[7.8001776E-4..0.0012783156]	[9.105319E-4..0.001281255]	[7.2568335E-4..0.0012744835]	[5.7049334E-4..0.0011646693]	[5.7049334E-4..0.001281255]	
						PS 16:1/20:2	[0.0..3.3491867E-4]	[3.045985E-5..2.1486066E-4]	[1.0995202E-5..4.377014E-4]	[1.0199389E-4..6.2910083E-4]	[0.0..6.2910083E-4]	
						PS 16:0/20:3 (5z-11z)	[0.013104404..0.015063968]	[0.013855757..0.015255654]	[0.013668139..0.016094143]	[0.01464044..0.016946461]	[0.013104404..0.016946461]	
						PS 20:3 (5z-11z)/16:0	[0.0..6.628146E-4]	[5.646547E-4..6.8261515E-4]	[0.0..3.5407112E-4]	[0.0..0.0]	[0.0..6.8261515E-4]	
						PS 18:0/18:3 (6z-9z)	[0.012469033..0.013189771]	[0.012246856..0.013246961]	[0.010981525..0.011869022]	[0.011845669..0.012286236]	[0.010981525..0.013246961]	
						PS 18:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:2/18:1	[0.042660195..0.046655554]	[0.043980062..0.04634948]	[0.041956384..0.04627056]	[0.042463332..0.04556164]	[0.041956384..0.046655554]	
						PS 18:1/18:2	[0.058852375..0.063464485]	[0.06140003..0.06385208]	[0.057790887..0.063322194]	[0.060751993..0.06434772]	[0.057790887..0.06434772]	
PS 36:4:0	0.09312383	0.08598523	0.09841582	0.10792118	[0.08598523..0.10792118]	Sum	[0.07861611..0.09701803]	[0.07419558..0.105891444]	[0.08115373..0.10238872]	[0.07837163..0.107203305]	[0.07419558..0.107203305]	
						PS 20:3 (5z-11z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 16:1/20:3 (5z-11z)	[0.0041145952..0.0059165168]	[0.0040637986..0.00603564]	[0.004590335..0.00616251]	[0.00419823..0.0066743875]	[0.0040637986..0.0066743875]	
						PS 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 16:0/20:4 (5z-8z)	[0.07297094..0.09011447]	[0.06875139..0.09884013]	[0.075069726..0.09536322]	[0.07279152..0.09951879]	[0.06875139..0.09951879]	
						PS 18:2/18:2	[9.907299E-4..0.0015602657]	[0.0010444943..0.0012329405]	[9.464178E-4..0.0014477308]	[0.001039092..0.0014111061]	[9.464178E-4..0.0015602657]	
PS 37:0:0	0.08135035	0.07371149	0.078607515	0.071235746	[0.071235746..0.08135035]	Sum	[0.031395674..0.038581762]	[0.02914575..0.04018429]	[0.026712375..0.03439068]	[0.026423102..0.03502423]	[0.026423102..0.04018429]	
						PS 19:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/19:0	[0.031397138..0.038591065]	[0.029152222..0.040183757]	[0.026736833..0.034369763]	[0.026431609..0.03502579]	[0.026431609..0.040183757]	
PS 37:1:0	0.43489537	0.44473937	0.4280821	0.44704553	[0.4280821..0.44704553]	Sum	[0.36873323..0.39326757]	[0.36213285..0.39613718]	[0.35482526..0.3691343]	[0.36894014..0.38897097]	[0.35482526..0.39613718]	
						PS 17:0/20:1	[0.024527662..0.026037281]	[0.023893133..0.028654316]	[0.022693215..0.026964106]	[0.023230778..0.027128704]	[0.022693215..0.028654316]	
						PS 20:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 19:0/18:1	[0.07751822..0.106082216]	[0.07346949..0.1019659]	[0.07400321..0.10026791]	[0.06907189..0.09616322]	[0.06907189..0.106082216]	
						PS 18:1/19:0	[0.05399647..0.0795199]	[0.05476268..0.08211696]	[0.050379116..0.07450247]	[0.057459366..0.084201075]	[0.050379116..0.084201075]	
						PS 19:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 18:0/19:1	[0.19100356..0.21136071]	[0.1867095..0.21356966]	[0.18311444..0.19855316]	[0.19492652..0.20988402]	[0.18311444..0.21356966]	
PS 37:2:0	0.1411727	0.12828943	0.13231933	0.13978517	[0.12828943..0.1411727]	Sum	[0.119698..0.13097261]	[0.11857023..0.13170235]	[0.11632121..0.12114714]	[0.11885048..0.12926802]	[0.11632121..0.13170235]	
						PS 20:1/17:1	[0.0025010775..0.0033722944]	[0.0023040525..0.00327331]	[0.0021131905..0.0029274565]	[0.0024279181..0.0032658859]	[0.0021131905..0.0033722944]	
						PS 17:1/20:1	[1.6405998E-4..8.971508E-4]	[4.065975E-4..0.001071129]	[4.1402632E-4..0.0012111305]	[3.4926753E-4..0.0010340152]	[1.6405998E-4..0.0012111305]	
						PS 17:0/20:2	[0.005381196..0.0063288053]	[0.0053878482..0.00682517]	[0.0052099503..0.005940565]	[0.00523696..0.0060974034]	[0.0052099503..0.00682517]	
						PS 20:2/17:0	[0.0..1.6454894E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..4.0242862E-4]	[0.0..4.0242862E-4]	
						PS 19:0/18:2	[0.0010120826..0.001276003]	[9.389319E-4..0.0012823609]	[5.2833126E-4..0.0012661562]	[8.838334E-4..0.0013129963]	[5.2833126E-4..0.0013129963]	
						PS 18:2/19:0	[2.502853E-4..4.0607198E-4]	[3.1002465E-4..5.9085997E-4]	[2.349684E-4..9.4466534E-4]	[2.7275571E-4..5.4045045E-4]	[2.349684E-4..9.4466534E-4]	
						PS 18:1/19:1	[0.046626635..0.062075578]	[0.046948284..0.06136953]	[0.044946566..0.05687443]	[0.045519695..0.0603812]	[0.044946566..0.062075578]	
						PS 19:1/18:1	[0.03856771..0.053355936]	[0.039316773..0.053193826]	[0.03872754..0.050501402]	[0.039951835..0.05455763]	[0.03856771..0.05455763]	
						PS 18:0/19:2	[0.013625098..0.01487822]	[0.013441344..0.015076149]	[0.012417875..0.013303029]	[0.012861882..0.014382243]	[0.012417875..0.015076149]	
						PS 19:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 37:3:0	0.0	0.0	0.012794179	0.013657122	[0.0..0.013657122]	Sum	[0.03699449..0.039506778]	[0.03622642..0.039429512]	[0.037864026..0.039404713]	[0.038970415..0.04019386]	[0.03622642..0.04019386]	
