Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 34:0:0	0.067908935	0.048657216	0.05113862	0.049068265	[0.048657216..0.067908935]	Sum	[0.07645205..0.08005415]	[0.078841016..0.082541704]	[0.06532985..0.08280708]	[0.069424964..0.08752193]	[0.06532985..0.08752193]	
						PS 18:0/16:0	[0.07577959..0.07971637]	[0.078841016..0.082541704]	[0.05840233..0.081777476]	[0.063015275..0.08689131]	[0.05840233..0.08689131]	
						PS 16:0/18:0	[0.0..0.001514611]	[0.0..0.0]	[0.0..0.008668412]	[0.0..0.008862914]	[0.0..0.008862914]	
PS 34:1:0	3.429164	3.4512868	3.4338884	3.4670546	[3.429164..3.4670546]	Sum	[3.1646104..3.7879293]	[2.994209..3.7147136]	[3.044264..3.3629196]	[3.0900555..3.8173392]	[2.994209..3.8173392]	
						PS 18:0/16:1	[0.72378206..0.8881429]	[0.6620622..0.8611016]	[0.7118494..0.7821143]	[0.7093768..0.89533204]	[0.6620622..0.89533204]	
						PS 16:1/18:0	[0.0..0.008881428]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.008881428]	
						PS 16:0/18:1	[2.147996..2.8777826]	[2.1090045..2.8322768]	[2.1425014..2.5612702]	[2.127031..2.900455]	[2.1090045..2.900455]	
						PS 18:1/16:0	[0.0..0.35684505]	[0.0..0.3313764]	[0.0..0.22026925]	[0.0..0.32775143]	[0.0..0.35684505]	
PS 34:2:0	0.14907147	0.1672418	0.16847336	0.12564749	[0.12564749..0.16847336]	Sum	[0.17031734..0.19546543]	[0.19400176..0.20403188]	[0.16754706..0.2051151]	[0.19252937..0.24585052]	[0.16754706..0.24585052]	
						PS 18:0/16:2	[0.022919923..0.0389391]	[0.033515003..0.0519964]	[0.028754005..0.051724304]	[0.046451356..0.0970103]	[0.022919923..0.0970103]	
						PS 16:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PS 16:1/18:1	[0.0051125535..0.01857623]	[0.0056632757..0.017326994]	[0.0043366626..0.015738817]	[0.00577543..0.016406728]	[0.0043366626..0.01857623]	
						PS 18:1/16:1	[0.08978922..0.11264059]	[0.09300841..0.11250679]	[0.08612814..0.10316472]	[0.09030672..0.110745415]	[0.08612814..0.11264059]	
						PS 16:0/18:2	[0.04181344..0.04604554]	[0.042109646..0.045982607]	[0.03547358..0.041949023]	[0.04170928..0.046932325]	[0.03547358..0.046932325]	
						PS 18:2/16:0	[0.0..9.1471076E-5]	[0.0..0.0]	[0.0..0.003901259]	[0.0..0.0]	[0.0..0.003901259]	
PS 35:0:0	0.04914081	0.041144017	0.03315851	0.045774486	[0.03315851..0.04914081]	Sum	[0.03201316..0.03995838]	[0.027073545..0.03143399]	[0.01855811..0.020827208]	[0.019872084..0.020996204]	[0.01855811..0.03995838]	
						PS 18:0/17:0	[0.03201316..0.03995838]	[0.027073545..0.03143399]	[0.01855811..0.020827208]	[0.019872084..0.020996204]	[0.01855811..0.03995838]	
						PS 17:0/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 35:1:0	0.9737762	0.9933355	1.029483	1.0337037	[0.9737762..1.0337037]	Sum	[0.97706485..1.1477472]	[0.9329325..1.1468749]	[0.9165521..0.9925952]	[0.96115804..1.1523757]	[0.9165521..1.1523757]	
						PS 18:0/17:1	[0.29116672..0.342612]	[0.2751064..0.34736413]	[0.26041892..0.29006848]	[0.2826489..0.34158128]	[0.26041892..0.34736413]	
						PS 17:1/18:0	[0.0..6.85224E-4]	[0.0..6.947283E-4]	[0.0..0.016533902]	[0.0..0.0075147883]	[0.0..0.016533902]	
						PS 17:0/18:1	[0.6327265..0.798834]	[0.6258524..0.7933474]	[0.6046189..0.69684035]	[0.63023686..0.8045369]	[0.6046189..0.8045369]	
						PS 18:1/17:0	[0.0..0.06710206]	[0.0..0.056327667]	[0.0..0.05505039]	[0.0..0.060340267]	[0.0..0.06710206]	
PS 36:2:0	13.457157	13.520581	13.400115	13.487094	[13.400115..13.520581]	Sum	[12.583527..14.516057]	[12.09063..13.982939]	[11.585401..13.351333]	[11.210638..14.58561]	[11.210638..14.58561]	
						PS 18:0/18:2	[0.99638647..1.1310551]	[0.96373045..1.1183065]	[1.0290833..1.0981524]	[0.9069357..1.1642581]	[0.9069357..1.1642581]	
						PS 18:2/18:0	[0.0..0.062208034]	[0.0..0.0]	[0.0..0.0]	[0.0..0.004657033]	[0.0..0.062208034]	
						PS 18:1/18:1	[11.452472..13.385677]	[11.126899..12.864689]	[10.556317..12.2531805]	[10.302294..13.421444]	[10.302294..13.421444]	
PS 36:3:0	0.23377255	0.26023957	0.2540656	0.23920484	[0.23377255..0.26023957]	Sum	[0.29675642..0.3419324]	[0.30799723..0.33802748]	[0.2861908..0.32046577]	[0.29792467..0.33421123]	[0.2861908..0.3419324]	
						PS 20:2/16:1	[0.0017743218..0.003179693]	[0.0021043674..0.003135285]	[0.0016308494..0.0029400168]	[0.0012748705..0.002814865]	[0.0012748705..0.003179693]	
						PS 16:1/20:2	[0.0..8.3307957E-4]	[7.0397E-5..5.2577315E-4]	[2.4709838E-5..0.0010097027]	[2.279238E-4..0.0015204607]	[0.0..0.0015204607]	
						PS 16:0/20:3 (5z-11z)	[0.029808845..0.037470244]	[0.0325698..0.037331235]	[0.03071681..0.03712645]	[0.033394217..0.039011896]	[0.029808845..0.039011896]	
