Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PC 24:0:0	199.17	20180509_PC_egg_01.mzXML	25.0	726527.1	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.082..1.082]	[786102.4..786102.4]	[0.5..0.5]	[0.5..0.5]	[1.082..1.082]	[786102.4..786102.4]	[0.5..0.5]	[0.5..0.5]	1.004296	[789479.44..789479.44]
Group-1	PC 24:0:0	199.17	20180509_PC_egg_01.mzXML	30.0	777915.7	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.155..1.155]	[898492.6..898492.6]	[0.5..0.5]	[0.5..0.5]	[1.155..1.155]	[898492.6..898492.6]	[0.5..0.5]	[0.5..0.5]	1.004296	[902352.44..902352.44]
Group-1	PC 24:0:0	199.17	20180509_PC_egg_01.mzXML	35.0	718099.4	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.187..1.187]	[852384.0..852384.0]	[0.5..0.5]	[0.5..0.5]	[1.187..1.187]	[852384.0..852384.0]	[0.5..0.5]	[0.5..0.5]	1.004296	[856045.8..856045.8]
Group-1	PC 25:0:0	199.17	20180509_PC_egg_01.mzXML	25.0	209883.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.088..1.095]	[228353.48..229822.66]	[0.274..0.275]	[0.0..0.0]	[1.088..1.088]	[228353.48..228353.48]	[0.273..0.273]	[0.0..0.0]	0.98652405	[225276.19..226725.58]
Group-1	PC 25:0:0	199.17	20180509_PC_egg_01.mzXML	30.0	231893.1	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.149..1.152]	[266445.2..267140.84]	[0.282..0.283]	[0.0..0.0]	[1.149..1.149]	[266445.2..266445.2]	[0.282..0.282]	[0.0..0.0]	0.98652405	[262854.56..263540.84]
Group-1	PC 25:0:0	199.17	20180509_PC_egg_01.mzXML	35.0	215197.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.172..1.176]	[252211.6..253072.38]	[0.296..0.296]	[0.0..0.0]	[1.172..1.172]	[252211.6..252211.6]	[0.295..0.295]	[0.0..0.0]	0.98652405	[248812.8..249661.97]
Group-1	PC 25:0:0	213.18	20180509_PC_egg_01.mzXML	25.0	569737.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.057..1.067]	[602212.7..607910.06]	[0.725..0.726]	[1.0..1.0]	[1.067..1.067]	[607910.06..607910.06]	[0.727..0.727]	[1.0..1.0]	0.98652405	[594097.3..599717.9]
Group-1	PC 25:0:0	213.18	20180509_PC_egg_01.mzXML	30.0	613092.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.102..1.108]	[675627.8..679306.4]	[0.717..0.718]	[1.0..1.0]	[1.108..1.108]	[679306.4..679306.4]	[0.718..0.718]	[1.0..1.0]	0.98652405	[666523.06..670152.06]
Group-1	PC 25:0:0	213.18	20180509_PC_egg_01.mzXML	35.0	536148.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.12..1.125]	[600486.75..603167.5]	[0.704..0.704]	[1.0..1.0]	[1.125..1.125]	[603167.5..603167.5]	[0.705..0.705]	[1.0..1.0]	0.98652405	[592394.6..595039.25]
Group-1	PC 32:0:0	255.23	20180509_PC_egg_01.mzXML	25.0	26538.9	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[26538.9..26538.9]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[26538.9..26538.9]	[0.5..0.5]	[0.5..0.5]	0.87883294	[23323.26..23323.26]
