Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
PC 24:0:0	10.770152	11.028435	11.573794	[10.770152..11.573794]	Sum	[9.516219..9.516219]	[9.640024..9.640024]	[10.31211..10.31211]	[9.516219..10.31211]
					PC 12:0/12:0	[9.51622..9.51622]	[9.640024..9.640024]	[10.312109..10.312109]	[9.51622..10.312109]
PC 25:0:0	10.161043	10.411126	10.783126	[10.161043..10.783126]	Sum	[9.780613..9.780613]	[9.61722..9.61722]	[9.707477..9.707477]	[9.61722..9.780613]
					PC 12:0-13:0	[9.780615..9.780615]	[9.61722..9.61722]	[9.707476..9.707476]	[9.61722..9.780615]
PC 32:0:0	0.28600982	0.28296873	0.29619002	[0.28296873..0.29619002]	Sum	[0.33772412..0.33772412]	[0.33936357..0.33936357]	[0.35141605..0.35141605]	[0.33772412..0.35141605]
					PC 16:0/16:0	[0.33772418..0.33772418]	[0.33936357..0.33936357]	[0.35141596..0.35141596]	[0.33772418..0.35141596]
PC 32:1:0	0.6558042	0.67133605	0.6499232	[0.6499232..0.67133605]	Sum	[0.7807844..0.7807844]	[0.751361..0.751361]	[0.6623923..0.6623923]	[0.6623923..0.7807844]
					PC 14:0-18:1	[0.1758298..0.1758298]	[0.18012995..0.18012995]	[0.15297459..0.15297459]	[0.15297459..0.18012995]
					PC 16:0-16:1	[0.60495484..0.60495484]	[0.57123107..0.57123107]	[0.50941765..0.50941765]	[0.50941765..0.60495484]
PC 32:2:0	0.09358968	0.08127244	0.09679398	[0.08127244..0.09679398]	Sum	[0.09953617..0.09953617]	[0.084304176..0.084304176]	[0.09660211..0.09660211]	[0.084304176..0.09953617]
					PC 14:0-18:2	[0.08357583..0.08357583]	[0.06970179..0.06970179]	[0.07959589..0.07959589]	[0.06970179..0.08357583]
					PC 16:1/16:1	[0.015960364..0.015960364]	[0.014602391..0.014602391]	[0.017006187..0.017006187]	[0.014602391..0.017006187]
PC 34:1:0	25.037474	24.742802	24.271235	[24.271235..25.037474]	Sum	[29.513084..29.513084]	[29.594063..29.594063]	[30.157518..30.157518]	[29.513084..30.157518]
					PC 16:0-18:1	[29.51309..29.51309]	[29.594063..29.594063]	[30.157515..30.157515]	[29.51309..30.157515]
PC 34:2:0	17.533236	17.425493	17.33025	[17.33025..17.533236]	Sum	[19.470663..19.470663]	[18.741638..18.741638]	[17.44695..17.44695]	[17.44695..19.470663]
					PC 16:1-18:1	[0.9380546..0.9380546]	[0.9847599..0.9847599]	[0.81340206..0.81340206]	[0.81340206..0.9847599]
					PC 16:0-18:2	[18.532614..18.532614]	[17.756878..17.756878]	[16.633549..16.633549]	[16.633549..18.532614]
PC 34:3:0	0.65923613	0.6530456	0.65697503	[0.6530456..0.65923613]	Sum	[0.6931028..0.6931028]	[0.69185996..0.69185996]	[0.58221865..0.58221865]	[0.58221865..0.6931028]
					PC 16:1-18:2	[0.48923177..0.48923177]	[0.48871785..0.48871785]	[0.4004627..0.4004627]	[0.4004627..0.48923177]
					PC 16:0-18:3 (0z-9z)	[0.20387116..0.20387116]	[0.2031421..0.2031421]	[0.18175583..0.18175583]	[0.18175583..0.20387116]
PC 36:1:0	5.18531	5.1365423	4.9853315	[4.9853315..5.18531]	Sum	[6.2493253..6.2493253]	[6.3607945..6.3607945]	[6.244771..6.244771]	[6.244771..6.3607945]
					PC 16:0-20:1	[0.09122851..0.09122851]	[0.10958875..0.10958875]	[0.10335526..0.10335526]	[0.09122851..0.10958875]
					PC 18:0-18:1	[6.158098..6.158098]	[6.2512064..6.2512064]	[6.1414146..6.1414146]	[6.1414146..6.2512064]
PC 36:2:0	7.6630535	7.6753707	7.5157814	[7.5157814..7.6753707]	Sum	[8.300013..8.300013]	[8.336648..8.336648]	[9.581768..9.581768]	[8.300013..9.581768]
					PC 16:0-20:2	[0.19854927..0.19854927]	[0.21254082..0.21254082]	[0.20782396..0.20782396]	[0.19854927..0.21254082]
					PC 18:0-18:2	[6.3076653..6.3076653]	[6.197853..6.197853]	[7.2517114..7.2517114]	[6.197853..7.2517114]
					PC 18:1/18:1	[1.7937998..1.7937998]	[1.9262543..1.9262543]	[2.1222317..2.1222317]	[1.7937998..2.1222317]
