Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
PC 24:0:0	10.770152	11.028435	11.573794	[10.770152..11.573794]	Sum	[10.196531..10.445127]	[10.008425..10.577073]	[11.238819..12.290877]	[10.008425..12.290877]
					PC 12:0/12:0	[10.200634..10.442435]	[10.015256..10.570974]	[11.246049..12.280551]	[10.015256..12.280551]
PC 25:0:0	10.161043	10.411126	10.783126	[10.161043..10.783126]	Sum	[10.254471..10.628823]	[9.9768095..10.372117]	[9.916907..11.431112]	[9.916907..11.431112]
					PC 13:0/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 12:0/13:0	[10.257415..10.624986]	[9.98362..10.365166]	[9.925619..11.421509]	[9.925619..11.421509]
PC 32:0:0	0.28600982	0.28296873	0.29619002	[0.28296873..0.29619002]	Sum	[0.29793355..0.32619572]	[0.31196535..0.34188557]	[0.31792995..0.33399448]	[0.29793355..0.34188557]
					PC 16:0/16:0	[0.2980585..0.32607794]	[0.31217244..0.34165645]	[0.31820923..0.3337139]	[0.2980585..0.34165645]
PC 32:1:0	0.6558042	0.67133605	0.6499232	[0.6499232..0.67133605]	Sum	[0.6381949..0.6984673]	[0.64698136..0.67125535]	[0.5949278..0.70580405]	[0.5949278..0.70580405]
					PC 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 14:0/18:1	[0.15152912..0.15838508]	[0.1482123..0.16013554]	[0.13502388..0.16562282]	[0.13502388..0.16562282]
					PC 16:0/16:1	[0.47242698..0.5444089]	[0.48988974..0.5162544]	[0.45901147..0.54294276]	[0.45901147..0.5444089]
					PC 16:1/16:0	[0.0..0.007621725]	[0.0..0.0015487635]	[0.0..0.0]	[0.0..0.007621725]
PC 32:2:0	0.09358968	0.08127244	0.09679398	[0.08127244..0.09679398]	Sum	[0.07918548..0.09252654]	[0.07713832..0.09029389]	[0.08892528..0.0978594]	[0.07713832..0.0978594]
					PC 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 14:0/18:2	[0.06863406..0.07896999]	[0.06495261..0.07846226]	[0.0746519..0.08097143]	[0.06495261..0.08097143]
					PC 16:1/16:1	[0.010583279..0.013532705]	[0.011386868..0.012372727]	[0.013859509..0.016806573]	[0.010583279..0.016806573]
PC 34:1:0	25.037474	24.742802	24.271235	[24.271235..25.037474]	Sum	[25.42088..26.120749]	[23.824415..25.943556]	[21.706825..26.075912]	[21.706825..26.120749]
					PC 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/18:1	[25.428179..26.111317]	[23.841164..25.927471]	[21.727709..26.092684]	[21.727709..26.111317]
PC 34:2:0	17.533236	17.425493	17.33025	[17.33025..17.533236]	Sum	[16.929874..17.980606]	[16.435854..17.294458]	[15.010491..16.887339]	[15.010491..17.980606]
					PC 18:1/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
