Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
PC 32:0:0	1.1484255	1.1089218	1.120691	[1.1089218..1.1484255]	Sum	[1.150356..1.252141]	[1.2646114..1.3448489]	[1.1865873..1.3196343]	[1.150356..1.3448489]
					PC 16:0/16:0	[1.150356..1.252141]	[1.2646114..1.3448489]	[1.1865873..1.3196343]	[1.150356..1.3448489]
PC 32:1:0	2.633274	2.6308885	2.4591074	[2.4591074..2.633274]	Sum	[2.4533455..2.7790284]	[2.5449808..2.7210624]	[2.3421266..2.903809]	[2.3421266..2.903809]
					PC 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 14:0/18:1	[0.58624226..0.6155893]	[0.60511005..0.6436897]	[0.53697133..0.67796755]	[0.53697133..0.67796755]
					PC 16:0/16:1	[1.8168262..2.1654468]	[1.9283339..2.109774]	[1.8015875..2.231807]	[1.8015875..2.231807]
					PC 16:1/16:0	[0.0..0.030316254]	[0.0..0.0063293227]	[0.0..0.0]	[0.0..0.030316254]
PC 32:2:0	0.37579396	0.3184973	0.36623836	[0.3184973..0.37579396]	Sum	[0.3064794..0.3653169]	[0.31269497..0.3551821]	[0.33048332..0.4002487]	[0.3064794..0.4002487]
					PC 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 14:0/18:2	[0.26553437..0.31187275]	[0.2631232..0.30884793]	[0.28060699..0.33145192]	[0.2631232..0.33145192]
					PC 16:1/16:1	[0.04094504..0.053444125]	[0.04592655..0.0497341]	[0.049876336..0.06879675]	[0.04094504..0.06879675]
PC 34:1:0	100.53386	96.96419	91.83481	[91.83481..100.53386]	Sum	[98.5559..101.47433]	[94.566025..104.884315]	[78.191696..104.11605]	[78.191696..104.884315]
					PC 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/18:1	[98.5559..101.47433]	[94.566025..104.884315]	[78.191696..104.11605]	[78.191696..104.884315]
PC 34:2:0	70.401825	68.2885	65.57228	[65.57228..70.401825]	Sum	[65.3682..70.99173]	[65.23868..69.54518]	[59.995907..64.09249]	[59.995907..70.99173]
					PC 18:1/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:1/18:1	[2.865832..3.1705377]	[3.0721898..3.3839538]	[2.7594728..3.1349096]	[2.7594728..3.3839538]
					PC 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/18:2	[62.502373..67.82212]	[62.16649..66.381775]	[57.23403..61.323997]	[57.23403..67.82212]
PC 34:3:0	2.6470542	2.5592103	2.4857893	[2.4857893..2.6470542]	Sum	[2.4724414..2.7807765]	[2.5659523..2.8282871]	[2.2519188..2.5452476]	[2.2519188..2.8282871]
					PC 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:1/18:2	[1.6679337..1.7603525]	[1.671812..1.7915244]	[1.4458845..1.6145955]	[1.4458845..1.7915244]
					PC 18:3 (6z-9z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/18:3 (6z-9z)	[0.79676336..1.0261651]	[0.86113626..1.0468031]	[0.77768874..0.94485897]	[0.77768874..1.0468031]
PC 36:1:0	20.820759	20.129517	18.862947	[18.862947..20.820759]	Sum	[18.651823..21.09524]	[20.32214..22.392187]	[18.806889..24.203728]	[18.651823..24.203728]
					PC 20:1/16:0	[0.0..0.050452124]	[0.012688695..0.14882113]	[0.0..0.02725703]	[0.0..0.14882113]
					PC 16:0/20:1	[0.25780734..0.32975245]	[0.24145842..0.4072556]	[0.29088637..0.38938618]	[0.24145842..0.4072556]
					PC 18:0/18:1	[18.33915..20.791855]	[19.898598..21.986376]	[18.494108..23.81434]	[18.33915..23.81434]
					PC 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PC 36:2:0	30.76973	30.078892	28.437382	[28.437382..30.76973]	Sum	[27.397264..29.405016]	[29.255314..34.358643]	[25.192505..35.036156]	[25.192505..35.036156]
					PC 20:2/16:0	[0.0..0.055117726]	[0.0..0.2521639]	[0.0..0.026060475]	[0.0..0.2521639]
					PC 16:0/20:2	[0.5147676..0.68046576]	[0.5172754..0.8134318]	[0.53212214..0.744585]	[0.5147676..0.8134318]
					PC 18:0/18:2	[20.825848..22.669422]	[21.945032..26.415558]	[19.180662..27.069576]	[19.180662..27.069576]
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/18:1	[5.8863163..6.206729]	[6.539189..7.1626773]	[5.4351926..7.2861023]	[5.4351926..7.2861023]
PC 36:3:0	7.57208	7.313665	6.9537783	[6.9537783..7.57208]	Sum	[7.130181..8.121855]	[7.6558423..8.479529]	[7.253244..8.145804]	[7.130181..8.479529]
					PC 20:3 (5z-11z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:3 (5z-11z)	[1.3785058..1.9478579]	[1.4943383..2.0275207]	[1.3692307..1.8960953]	[1.3692307..2.0275207]
					PC 18:0/18:3 (6z-9z)	[0.121005796..0.16560058]	[0.13320233..0.19045822]	[0.14854452..0.19432923]	[0.121005796..0.19432923]
					PC 18:3 (6z-9z)/18:0	[0.0..0.01689126]	[0.0..0.0020950404]	[0.0..0.0]	[0.0..0.01689126]
					PC 18:1/18:2	[5.020347..5.530367]	[5.5146894..6.0432825]	[5.1384826..5.6309805]	[5.020347..6.0432825]
					PC 18:2/18:1	[0.43801686..0.6358123]	[0.34241536..0.5255028]	[0.5258514..0.6263536]	[0.34241536..0.6358123]
PC 36:4:0	9.524813	9.35104	9.116271	[9.116271..9.524813]	Sum	[9.608853..10.336822]	[9.435295..9.982548]	[8.1298485..11.158883]	[8.1298485..11.158883]
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:4 (5z-8z)	[8.371444..8.967205]	[8.238244..8.718644]	[7.055307..9.766968]	[7.055307..9.766968]
					PC 18:1/18:3 (6z-9z)	[0.047773037..0.08153798]	[0.04717913..0.09858322]	[0.011948909..0.0688416]	[0.011948909..0.09858322]
					PC 18:3 (6z-9z)/18:1	[0.047653906..0.08140206]	[0.023901323..0.06990447]	[0.04209814..0.12488572]	[0.023901323..0.12488572]
					PC 18:2/18:2	[1.0787059..1.2106235]	[1.1222947..1.1490102]	[1.0171686..1.2573559]	[1.0171686..1.2573559]
PC 36:5:0	0.26444724	0.28225535	0.26620013	[0.26444724..0.28225535]	Sum	[0.2161656..0.2759904]	[0.2600691..0.3169751]	[0.1503025..0.28773698]	[0.1503025..0.3169751]
					PC 20:4 (5z-8z)/16:1	[0.0..0.0076847593]	[0.0..0.008130433]	[0.0..0.030697977]	[0.0..0.030697977]
					PC 16:1/20:4 (5z-8z)	[0.09514729..0.15068157]	[0.09040698..0.14263918]	[0.043665115..0.121817365]	[0.043665115..0.15068157]
					PC 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:3 (6z-9z)/18:2	[0.114446685..0.12736706]	[0.15556437..0.1741475]	[0.10628983..0.14713082]	[0.10628983..0.1741475]
PC 38:2:0	0.26597452	0.24457271	0.0	[0.0..0.26597452]	Sum	[0.290971..0.3089529]	[0.3852367..0.5052088]	[0.21647406..0.28669068]	[0.21647406..0.5052088]
