Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
PE 32:0:0	0.011853171	-3.8959142E-6	0.0024914453	[-3.8959142E-6..0.011853171]	Sum	[0.22167845..0.28376278]	[0.2621829..0.30588272]	[0.24134758..0.32559207]	[0.22167845..0.32559207]	
					PE 18:0/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 14:0/18:0	[0.080764145..0.11768773]	[0.09685747..0.12857223]	[0.09653783..0.13839741]	[0.080764145..0.13839741]	
					PE 16:0/16:0	[0.14198644..0.16478825]	[0.16742952..0.17482865]	[0.14705011..0.18428002]	[0.14198644..0.18428002]	
PE 32:1:0	0.7438665	0.81309116	0.797024	[0.7438665..0.81309116]	Sum	[0.5012724..0.528315]	[0.543763..0.60219604]	[0.55977005..0.5942015]	[0.5012724..0.60219604]	
					PE 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 14:0/18:1	[0.04510191..0.04748343]	[0.048774675..0.05697899]	[0.049862597..0.05409621]	[0.04510191..0.05697899]	
					PE 16:0/16:1	[0.37299064..0.47015372]	[0.442951..0.53975874]	[0.43959996..0.5308046]	[0.37299064..0.53975874]	
					PE 16:1/16:0	[0.012251517..0.08600962]	[0.0065066246..0.06288982]	[0.00254104..0.07201872]	[0.00254104..0.08600962]	
PE 34:2:0	12.551742	13.444132	13.196228	[12.551742..13.444132]	Sum	[7.5830765..8.943092]	[8.136861..8.747284]	[7.997241..8.583731]	[7.5830765..8.943092]	
					PE 18:1/16:1	[0.017328031..0.028000286]	[0.0020675533..0.04523022]	[0.0062385183..0.07096204]	[0.0020675533..0.07096204]	
					PE 16:1/18:1	[0.39600888..0.42622653]	[0.3700921..0.4286102]	[0.32557264..0.42319182]	[0.32557264..0.4286102]	
					PE 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/18:2	[7.2055764..8.4536495]	[7.7914753..8.241029]	[7.6482854..8.092308]	[7.2055764..8.4536495]	
PE 34:3:0	0.3962745	0.4095704	0.42366946	[0.3962745..0.42366946]	Sum	[0.2360495..0.3351171]	[0.25045207..0.35320923]	[0.22318988..0.35313445]	[0.22318988..0.35320923]	
					PE 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:1/18:2	[0.120528005..0.13023043]	[0.12602544..0.1345366]	[0.12281879..0.12801656]	[0.120528005..0.1345366]	
					PE 18:3 (6z-9z)/16:0	[0.019584846..0.061778508]	[0.03167643..0.080632225]	[0.024272438..0.08815698]	[0.019584846..0.08815698]	
					PE 16:0/18:3 (6z-9z)	[0.09237031..0.14538093]	[0.08762236..0.14510168]	[0.07147711..0.14189884]	[0.07147711..0.14538093]	
PE 36:1:0	25.491503	24.197403	24.689045	[24.197403..25.491503]	Sum	[18.509506..19.474102]	[18.698702..20.150324]	[18.77143..20.471666]	[18.509506..20.471666]	
					PE 20:1/16:0	[0.12898453..0.18720137]	[0.18274054..0.3314392]	[0.22744906..0.32005563]	[0.12898453..0.3314392]	
					PE 16:0/20:1	[0.121245466..0.17844151]	[0.052123975..0.16132705]	[0.07958832..0.16104195]	[0.052123975..0.17844151]	
					PE 18:0/18:1	[18.106361..19.22182]	[18.367657..19.697107]	[18.281273..20.022667]	[18.106361..20.022667]	
					PE 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 36:2:0	22.208408	22.343775	22.133564	[22.133564..22.343775]	Sum	[14.048956..15.169973]	[13.790568..14.27342]	[13.186429..14.1864195]	[13.186429..15.169973]	
					PE 20:2/16:0	[0.024114423..0.09299127]	[0.030630387..0.07668588]	[0.029319022..0.057279684]	[0.024114423..0.09299127]	
					PE 16:0/20:2	[0.17632052..0.26357213]	[0.19260803..0.26215875]	[0.21961609..0.2485827]	[0.17632052..0.26357213]	
					PE 18:0/18:2	[10.521795..11.331083]	[10.33666..10.539259]	[9.819169..10.622363]	[9.819169..11.331083]	
					PE 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:1/18:1	[3.2633603..3.4722664]	[3.1697438..3.3810866]	[3.1520772..3.3341095]	[3.1520772..3.4722664]	
PE 36:3:0	1.9210272	2.0554094	2.0609338	[1.9210272..2.0609338]	Sum	[2.3601377..2.7363226]	[2.3571682..2.8584116]	[2.296603..2.7133577]	[2.296603..2.8584116]	
					PE 20:3 (5z-11z)/16:0	[0.0..0.06447419]	[0.0..0.10550716]	[0.0..0.0728461]	[0.0..0.10550716]	
					PE 16:0/20:3 (5z-11z)	[0.24033645..0.3792599]	[0.18528421..0.39814025]	[0.22100234..0.3679096]	[0.18528421..0.39814025]	
					PE 18:0/18:3 (6z-9z)	[0.06312677..0.12735483]	[0.064770915..0.13202812]	[0.049471885..0.13416418]	[0.049471885..0.13416418]	
					PE 18:3 (6z-9z)/18:0	[0.036722787..0.09812033]	[0.04120403..0.1039563]	[0.04182481..0.12518324]	[0.036722787..0.12518324]	
					PE 18:1/18:2	[1.9118438..2.0967627]	[1.9684052..2.121924]	[1.8682089..2.0400722]	[1.8682089..2.121924]	
					PE 18:2/18:1	[0.0020082393..0.10074535]	[0.03260299..0.073318504]	[0.0..0.093843326]	[0.0..0.10074535]	
PE 36:4:0	5.8496346	6.3003483	6.0879154	[5.8496346..6.3003483]	Sum	[3.6358688..4.024192]	[3.7284665..4.4593086]	[3.6184363..4.0659895]	[3.6184363..4.4593086]	
					PE 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/20:4 (5z-8z)	[3.4586985..3.846513]	[3.5561502..4.24619]	[3.4638503..3.8598876]	[3.4586985..4.24619]	
					PE 18:1/18:3 (6z-9z)	[0.01417311..0.03093316]	[0.013843333..0.03391187]	[0.015362534..0.02932603]	[0.013843333..0.03391187]	
					PE 18:3 (6z-9z)/18:1	[0.007802368..0.023892106]	[0.010712553..0.029980743]	[0.011708166..0.024817701]	[0.007802368..0.029980743]	
					PE 18:2/18:2	[0.13360941..0.14189672]	[0.14687711..0.15736793]	[0.1362056..0.14367688]	[0.13360941..0.15736793]	
PE 36:5:0	0.069316514	0.08817501	0.0856439	[0.069316514..0.08817501]	Sum	[0.071295194..0.09227245]	[0.093163535..0.11271048]	[0.08305176..0.12468743]	[0.071295194..0.12468743]	
					PE 22:5 (4z-7z)/14:0	[0.0..0.0018758883]	[0.0..0.0046137515]	[0.0..0.003971891]	[0.0..0.0046137515]	
					PE 14:0/22:5 (4z-7z)	[0.0015958865..0.0050563025]	[0.0..0.0046137515]	[0.0..0.003971891]	[0.0..0.0050563025]	
					PE 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0018778341]	[0.0..0.0068466826]	[0.0..0.0068466826]	
					PE 16:1/20:4 (5z-8z)	[0.018353712..0.022718793]	[0.014835263..0.022355169]	[0.011563604..0.024279015]	[0.011563604..0.024279015]	
					PE 20:5 (5z)/16:0	[0.031126957..0.04599594]	[0.052328292..0.065517835]	[0.04607862..0.066449516]	[0.031126957..0.066449516]	
					PE 16:0/20:5 (5z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:3 (6z-9z)/18:2	[0.018842075..0.020834178]	[0.019053768..0.019920668]	[0.020358734..0.021820907]	[0.018842075..0.021820907]	
					PE 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 37:1:0	0.17453885	0.17445955	0.18356504	[0.17445955..0.18356504]	Sum	[0.5646219..0.67212826]	[0.6146228..0.7332562]	[0.6188989..0.7144459]	[0.5646219..0.7332562]	
					PE 20:1/17:0	[0.0..0.0]	[0.0..9.297054E-4]	[0.0..8.2073937E-4]	[0.0..9.297054E-4]	
