Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
PE 32:0:0	0.012652836	-4.1407543E-6	0.002665074	[-4.1407543E-6..0.012652836]	Sum	[0.344504..0.43703014]	[0.42449677..0.48091877]	[0.37255633..0.47959998]	[0.344504..0.48091877]	
					PE 18:0/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 14:0/18:0	[0.12490907..0.18265608]	[0.1555721..0.19477652]	[0.14765008..0.20634377]	[0.12490907..0.20634377]	
					PE 16:0/16:0	[0.21959493..0.26070282]	[0.2589251..0.28615966]	[0.22490625..0.2814257]	[0.21959493..0.28615966]	
PE 32:1:0	0.7940509	0.86419016	0.8525686	[0.7940509..0.86419016]	Sum	[0.7790128..0.8485448]	[0.8848016..0.9295421]	[0.8322666..0.95917296]	[0.7790128..0.95917296]	
					PE 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 14:0/18:1	[0.0697542..0.076592945]	[0.08103672..0.08527247]	[0.07610082..0.087825984]	[0.0697542..0.087825984]	
					PE 16:0/16:1	[0.5845617..0.7512073]	[0.7071143..0.82934445]	[0.6519439..0.8670142]	[0.5845617..0.8670142]	
					PE 16:1/16:0	[0.019200932..0.13742538]	[0.01038699..0.09663082]	[0.0037684615..0.1176351]	[0.0037684615..0.13742538]	
PE 33:1:0	0.13993746	0.14227502	0.14055671	[0.13993746..0.14227502]	Sum	[1.0150964..1.1009843]	[1.0368382..1.1833935]	[1.0133002..1.1814674]	[1.0133002..1.1833935]	
					PE 18:1/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 15:0/18:1	[0.7439246..0.78931016]	[0.73525375..0.83722824]	[0.7318389..0.8377981]	[0.7318389..0.8377981]	
					PE 17:0/16:1	[0.0835351..0.09831205]	[0.08651094..0.10537879]	[0.08808519..0.10092209]	[0.0835351..0.10537879]	
					PE 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/17:1	[0.0..0.023390641]	[0.0..0.019026147]	[0.0..0.026948817]	[0.0..0.026948817]	
					PE 17:1/16:0	[0.1723129..0.21658]	[0.18932663..0.24083729]	[0.17707174..0.24278215]	[0.1723129..0.24278215]	
PE 34:1:0	40.8	40.8	40.8	[40.8..40.8]	Sum	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	
					PE 18:0/16:1	[0.41980067..0.6450007]	[0.3853294..0.68570167]	[0.3585405..0.6311029]	[0.3585405..0.68570167]	
					PE 16:1/18:0	[0.16393676..0.3709164]	[0.080815725..0.31659827]	[0.10936178..0.3612727]	[0.080815725..0.3709164]	
					PE 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/18:1	[39.95692..40.031593]	[40.017002..40.16677]	[40.05298..40.120377]	[39.95692..40.16677]	
PE 34:2:0	13.398535	14.289033	14.115873	[13.398535..14.289033]	Sum	[11.784637..13.744272]	[12.84981..13.636851]	[12.112745..13.825335]	[11.784637..13.825335]	
					PE 18:1/16:1	[0.027156994..0.043875586]	[0.0032239484..0.072541304]	[0.009251966..0.11019591]	[0.0032239484..0.11019591]	
					PE 16:1/18:1	[0.61429775..0.6678839]	[0.57708675..0.6874153]	[0.48283693..0.6571683]	[0.48283693..0.6874153]	
					PE 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/18:2	[11.144077..13.051252]	[12.205146..12.94594]	[11.534578..13.15748]	[11.144077..13.15748]	
PE 34:3:0	0.42300886	0.43530998	0.45319498	[0.42300886..0.45319498]	Sum	[0.3660452..0.546188]	[0.37751064..0.5870917]	[0.33717743..0.56965303]	[0.33717743..0.5870917]	
					PE 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:1/18:2	[0.1864075..0.21032664]	[0.19542915..0.22213507]	[0.1878456..0.20078173]	[0.1864075..0.22213507]	
					PE 18:3 (6z-9z)/16:0	[0.030443937..0.10015962]	[0.0483365..0.13036744]	[0.037346482..0.14135404]	[0.030443937..0.14135404]	
					PE 16:0/18:3 (6z-9z)	[0.14358632..0.23570171]	[0.13370694..0.23460269]	[0.10997738..0.22752565]	[0.10997738..0.23570171]	
PE 36:1:0	27.21127	25.718096	26.409624	[25.718096..27.21127]	Sum	[28.872868..31.239408]	[27.725283..33.38923]	[28.915394..31.986406]	[27.725283..33.38923]	
					PE 20:1/16:0	[0.20805795..0.2918579]	[0.29611567..0.5506699]	[0.36052004..0.48314998]	[0.20805795..0.5506699]	
					PE 16:0/20:1	[0.19557449..0.27820075]	[0.08446252..0.26803693]	[0.12615213..0.2431059]	[0.08446252..0.27820075]	
					PE 18:0/18:1	[28.376812..30.777077]	[27.208204..32.725773]	[28.317518..31.374048]	[27.208204..32.725773]	
					PE 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 36:2:0	23.70668	23.747976	23.676054	[23.676054..23.747976]	Sum	[21.833073..24.406078]	[20.542881..23.427708]	[20.35524..22.869785]	[20.35524..24.406078]	
