Species	PRI_240604_eggPEO_25-35_1.mzXML	PRI_240604_eggPEO_25-35_2.mzXML	PRI_240604_eggPEO_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPEO_25-35_1.mzXML	FAI.FC_240604_eggPEO_25-35_2.mzXML	FAI.FC_240604_eggPEO_25-35_3.mzXML	FAI.FC_Group-1
PE O- 34:3:0	10.564383	10.2026615	11.002573	[10.2026615..11.002573]	Sum	[0.12769648..0.12769648]	[0.121527374..0.121527374]	[0.11691068..0.11691068]	[0.11691068..0.12769648]	
					PE O- 16:0/18:3 (0z-9z)	[0.12769648..0.12769648]	[0.121527374..0.121527374]	[0.11691068..0.11691068]	[0.11691068..0.12769648]	
PE O- 36:3:0	42.289783	41.074734	41.625793	[41.074734..42.289783]	Sum	[43.219837..43.219837]	[42.44167..42.44167]	[44.112774..44.112774]	[42.44167..44.112774]	
					PE O- 18:0/18:3 (0z-9z)	[0.3382613..0.3382613]	[0.39068347..0.39068347]	[0.39418736..0.39418736]	[0.3382613..0.39418736]	
					PE O- 18:1/18:2	[36.282616..36.282616]	[35.680374..35.680374]	[36.84197..36.84197]	[35.680374..36.84197]	
					PE O- 18:2/18:1	[6.5989637..6.5989637]	[6.3706117..6.3706117]	[6.876617..6.876617]	[6.3706117..6.876617]	
PE O- 36:5:0	2.3085265	2.4411845	2.482633	[2.3085265..2.482633]	Sum	[0.64773697..0.64773697]	[0.6509812..0.6509812]	[0.6259813..0.6259813]	[0.6259813..0.6509812]	
					PE O- 16:1/20:4 (0z-8z)	[0.64773697..0.64773697]	[0.6509812..0.6509812]	[0.6259813..0.6259813]	[0.6259813..0.6509812]	
PE O- 38:5:0	10.208635	10.642888	9.946654	[9.946654..10.642888]	Sum	[2.8419924..2.8419924]	[3.1430569..3.1430569]	[3.0490701..3.0490701]	[2.8419924..3.1430569]	
					PE O- 18:1/20:4 (0z-8z)	[0.71135277..0.71135277]	[0.72827387..0.72827387]	[0.706419..0.706419]	[0.706419..0.72827387]	
					PE O- 16:0/22:5 (0z-7z)	[1.3012407..1.3012407]	[1.4585812..1.4585812]	[1.433063..1.433063]	[1.3012407..1.4585812]	
					PE O- 16:1/22:4 (0z-10z)	[0.829399..0.829399]	[0.9562017..0.9562017]	[0.90958786..0.90958786]	[0.829399..0.9562017]	
PE O- 38:6:0	12.466691	12.335661	12.2886505	[12.2886505..12.466691]	Sum	[1.1692697..1.1692697]	[1.0762837..1.0762837]	[0.91770303..0.91770303]	[0.91770303..1.1692697]	
					PE O- 16:1/22:5 (0z-7z)	[1.1692697..1.1692697]	[1.0762837..1.0762837]	[0.9177029..0.9177029]	[0.9177029..1.1692697]	
PE O- 40:5:0	10.565276	11.053907	10.490712	[10.490712..11.053907]	Sum	[4.4820366..4.4820366]	[4.3195457..4.3195457]	[3.755455..3.755455]	[3.755455..4.4820366]	
					PE O- 18:0/22:5 (0z-7z)	[2.0139592..2.0139592]	[2.0021882..2.0021882]	[1.6824849..1.6824849]	[1.6824849..2.0139592]	
					PE O- 18:1/22:4 (0z-10z)	[2.4680777..2.4680777]	[2.3173575..2.3173575]	[2.07297..2.07297]	[2.07297..2.4680777]	
PE O- 40:6:0	11.59671	12.248971	12.162985	[11.59671..12.248971]	Sum	[1.2801509..1.2801509]	[1.6738575..1.6738575]	[1.5376029..1.5376029]	[1.2801509..1.6738575]	
					PE O- 18:0/22:6	[0.0..0.0]	[0.38424414..0.38424414]	[0.0..0.0]	[0.0..0.38424414]	
					PE O- 18:1/22:5 (0z-7z)	[1.2801509..1.2801509]	[1.2896132..1.2896132]	[1.5376029..1.5376029]	[1.2801509..1.5376029]	
