Species	PRI_240604_eggPEO_25-35_1.mzXML	PRI_240604_eggPEO_25-35_2.mzXML	PRI_240604_eggPEO_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPEO_25-35_1.mzXML	FAI.FC_240604_eggPEO_25-35_2.mzXML	FAI.FC_240604_eggPEO_25-35_3.mzXML	FAI.FC_Group-1
PE O- 34:3:0	15.113455	14.175299	15.3377075	[14.175299..15.3377075]	Sum	[0.27621228..0.27621228]	[0.2609391..0.2609391]	[0.25479344..0.25479344]	[0.25479344..0.27621228]	
					PE O- 16:0/18:3 (0z-9z)	[0.27621228..0.27621228]	[0.2609391..0.2609391]	[0.25479344..0.25479344]	[0.25479344..0.27621228]	
PE O- 36:3:0	60.499966	57.068108	58.026806	[57.068108..60.499966]	Sum	[93.48614..93.48614]	[91.12918..91.12918]	[96.13873..96.13873]	[91.12918..96.13873]	
					PE O- 18:0/18:3 (0z-9z)	[0.73167187..0.73167187]	[0.83886117..0.83886117]	[0.8590863..0.8590863]	[0.73167187..0.8590863]	
					PE O- 18:1/18:2	[78.48066..78.48066]	[76.61158..76.61158]	[80.29285..80.29285]	[76.61158..80.29285]	
					PE O- 18:2/18:1	[14.273808..14.273808]	[13.6787405..13.6787405]	[14.986799..14.986799]	[13.6787405..14.986799]	
PE O- 36:5:0	3.3025892	3.391715	3.4608176	[3.3025892..3.4608176]	Sum	[1.4010794..1.4010794]	[1.3977627..1.3977627]	[1.3642545..1.3642545]	[1.3642545..1.4010794]	
					PE O- 16:1/20:4 (0z-8z)	[1.4010794..1.4010794]	[1.3977627..1.3977627]	[1.3642545..1.3642545]	[1.3642545..1.4010794]	
PE O- 38:5:0	14.604523	14.786937	13.865744	[13.865744..14.786937]	Sum	[6.1473365..6.1473365]	[6.7486553..6.7486553]	[6.6450987..6.6450987]	[6.1473365..6.7486553]	
					PE O- 18:1/20:4 (0z-8z)	[1.5386827..1.5386827]	[1.5637226..1.5637226]	[1.5395594..1.5395594]	[1.5386827..1.5637226]	
					PE O- 16:0/22:5 (0z-7z)	[2.8146327..2.8146327]	[3.1318116..3.1318116]	[3.1231968..3.1231968]	[2.8146327..3.1318116]	
					PE O- 16:1/22:4 (0z-10z)	[1.7940212..1.7940212]	[2.0531209..2.0531209]	[1.9823425..1.9823425]	[1.7940212..2.0531209]	
PE O- 38:6:0	17.834908	17.138828	17.130512	[17.130512..17.834908]	Sum	[2.5291743..2.5291743]	[2.3109565..2.3109565]	[2.0000284..2.0000284]	[2.0000284..2.5291743]	
					PE O- 16:1/22:5 (0z-7z)	[2.5291743..2.5291743]	[2.3109565..2.3109565]	[2.0000284..2.0000284]	[2.0000284..2.5291743]	
PE O- 40:5:0	15.114734	15.357996	14.6241665	[14.6241665..15.357996]	Sum	[9.694814..9.694814]	[9.274768..9.274768]	[8.184584..8.184584]	[8.184584..9.694814]	
					PE O- 18:0/22:5 (0z-7z)	[4.3562694..4.3562694]	[4.2990246..4.2990246]	[3.6667833..3.6667833]	[3.6667833..4.3562694]	
					PE O- 18:1/22:4 (0z-10z)	[5.338545..5.338545]	[4.975744..4.975744]	[4.517801..4.517801]	[4.517801..5.338545]	
PE O- 40:6:0	16.590307	17.018383	16.955334	[16.590307..17.018383]	Sum	[2.7690146..2.7690146]	[3.5940447..3.5940447]	[3.3510294..3.3510294]	[2.7690146..3.5940447]	
					PE O- 18:0/22:6	[0.0..0.0]	[0.8250348..0.8250348]	[0.0..0.0]	[0.0..0.8250348]	
					PE O- 18:1/22:5 (0z-7z)	[2.7690146..2.7690146]	[2.7690098..2.7690098]	[3.3510294..3.3510294]	[2.7690098..3.3510294]	
