Species	PRI_240604_eggPEO_25-35_1.mzXML	PRI_240604_eggPEO_25-35_2.mzXML	PRI_240604_eggPEO_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPEO_25-35_1.mzXML	FAI.FC_240604_eggPEO_25-35_2.mzXML	FAI.FC_240604_eggPEO_25-35_3.mzXML	FAI.FC_Group-1
PE O- 34:3:0	15.113455	14.175299	15.3377075	[14.175299..15.3377075]	Sum	[0.42691046..0.45897138]	[0.3574701..0.46322227]	[0.3501972..0.42338046]	[0.3501972..0.46322227]	
					PE O- 16:0/18:3 (6z-9z)	[0.42691046..0.45897138]	[0.3574701..0.46322227]	[0.3501972..0.42338046]	[0.3501972..0.46322227]	
PE O- 36:3:0	60.499966	57.068108	58.026806	[57.068108..60.499966]	Sum	[89.86974..100.72084]	[88.81062..103.0094]	[90.71203..98.1077]	[88.81062..103.0094]	
					PE O- 18:0/18:3 (6z-9z)	[1.2157911..1.4979157]	[1.2515765..1.3939033]	[1.2502174..1.4275106]	[1.2157911..1.4979157]	
					PE O- 18:1/18:2	[75.881905..84.59229]	[74.937164..86.360435]	[76.99425..82.50059]	[74.937164..86.360435]	
					PE O- 18:2/18:1	[12.647566..14.63063]	[12.419036..15.304389]	[12.43621..14.356891]	[12.419036..15.304389]	
PE O- 36:5:0	3.3025892	3.391715	3.4608176	[3.3025892..3.4608176]	Sum	[4.08543..5.4071875]	[4.0757585..5.576252]	[3.9780517..5.256074]	[3.9780517..5.576252]	
					PE O- 16:1/20:4 (5z-8z)	[4.08543..5.4071875]	[4.0757585..5.576252]	[3.9780517..5.256074]	[3.9780517..5.576252]	
PE O- 38:5:0	14.604523	14.786937	13.865744	[13.865744..14.786937]	Sum	[24.582449..30.502043]	[27.024618..31.918823]	[26.77273..29.506363]	[24.582449..31.918823]	
					PE O- 18:1/20:4 (5z-8z)	[4.48667..5.7498217]	[4.559684..6.037487]	[4.489226..5.661258]	[4.48667..6.037487]	
					PE O- 16:0/22:5 (4z-7z)	[16.800455..21.016308]	[18.693686..21.571281]	[18.642265..20.083344]	[16.800455..21.571281]	
					PE O- 16:1/22:4 (7z-10z)	[3.2953246..3.7359118]	[3.670387..4.3100543]	[3.4915872..3.7617629]	[3.2953246..4.3100543]	
PE O- 38:6:0	17.834908	17.138828	17.130512	[17.130512..17.834908]	Sum	[15.096563..20.185856]	[13.794026..19.95952]	[11.9381075..22.212494]	[11.9381075..22.212494]	
					PE O- 16:1/22:5 (4z-7z)	[15.096563..20.185856]	[13.794026..19.95952]	[11.9381075..22.212494]	[11.9381075..22.212494]	
PE O- 40:5:0	15.114734	15.357996	14.6241665	[14.6241665..15.357996]	Sum	[31.51621..35.808475]	[32.2853..35.965797]	[30.185377..35.23306]	[30.185377..35.965797]	
					PE O- 18:0/22:5 (4z-7z)	[23.351437..26.002438]	[22.908247..26.416245]	[21.886915..26.04936]	[21.886915..26.416245]	
					PE O- 18:1/22:4 (7z-10z)	[8.164775..9.806036]	[9.139629..9.549554]	[8.298463..9.183698]	[8.164775..9.806036]	
PE O- 40:6:0	16.590307	17.018383	16.955334	[16.590307..17.018383]	Sum	[16.528162..35.46079]	[28.12239..34.32196]	[20.00219..34.914223]	[16.528162..35.46079]	
					PE O- 18:0/22:6 (4z)	[0.0..12.457013]	[11.594257..12.615543]	[0.0..12.422918]	[0.0..12.615543]	
					PE O- 18:1/22:5 (4z-7z)	[16.528162..23.003773]	[16.528133..22.138042]	[19.963919..22.491302]	[16.528133..23.003773]	
