Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PG 30:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	25.0	37682.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.991..1.005]	[37343.258..37870.81]	[0.51..0.514]	[0.5..0.54]	[0.998..0.999]	[37607.035..37644.715]	[0.512..0.512]	[0.5..0.537]	0.970607	[36245.63..36757.676]
Group-1	PG 30:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	30.0	52489.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.012..1.031]	[53119.17..54116.47]	[0.511..0.516]	[0.5..0.54]	[1.022..1.022]	[53644.062..53644.062]	[0.514..0.514]	[0.5..0.537]	0.970607	[51557.836..52525.824]
Group-1	PG 30:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	35.0	51727.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.016..1.044]	[52555.547..54003.926]	[0.5..0.506]	[0.5..0.54]	[1.03..1.031]	[53279.734..53331.465]	[0.503..0.503]	[0.5..0.537]	0.970607	[51010.78..52416.59]
Group-1	PG 30:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	25.0	601.6	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.015..1.015]	[610.624..610.624]	[0.5..0.5]	[0.5..0.5]	[1.015..1.015]	[610.62396..610.62396]	[0.5..0.5]	[0.5..0.5]	0.970607	[592.67584..592.67584]
Group-1	PG 30:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	30.0	1270.8	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.032..1.032]	[1311.466..1311.466]	[0.5..0.5]	[0.5..0.5]	[1.032..1.032]	[1311.4656..1311.4656]	[0.5..0.5]	[0.5..0.5]	0.970607	[1272.9176..1272.9176]
Group-1	PG 30:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	35.0	1380.0	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.04..1.04]	[1435.2..1435.2]	[0.5..0.5]	[0.5..0.5]	[1.04..1.04]	[1435.2..1435.2]	[0.5..0.5]	[0.5..0.5]	0.970607	[1393.0151..1393.0151]
Group-1	PG 30:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	25.0	35864.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[35864.6..35864.6]	[0.486..0.49]	[0.46..0.5]	[1.0..1.0]	[35864.6..35864.6]	[0.488..0.488]	[0.463..0.5]	0.970607	[34810.434..34810.434]
Group-1	PG 30:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	30.0	50736.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[50736.8..50736.8]	[0.484..0.489]	[0.46..0.5]	[1.0..1.0]	[50736.8..50736.8]	[0.486..0.486]	[0.463..0.5]	0.970607	[49245.492..49245.492]
Group-1	PG 30:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	35.0	52656.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[52656.0..52656.0]	[0.494..0.5]	[0.46..0.5]	[1.0..1.0]	[52656.0..52656.0]	[0.497..0.497]	[0.463..0.5]	0.970607	[51108.28..51108.28]
Group-1	PG 30:1:0	199.17	240116_PG_FTMSMS-_4.mzXML	25.0	591.6	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.98..0.98]	[579.768..579.768]	[0.167..0.167]	[0.0..0.0]	[0.98..0.98]	[579.768..579.768]	[0.167..0.167]	[0.0..0.0]	0.9730279	[564.1304..564.1304]
