Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 30:0:0	0.02216557	0.031725205	0.02692004	0.02974769	[0.02216557..0.031725205]	Sum	[0.030167209..0.030778721]	[0.02780106..0.030276548]	[0.029253837..0.031488247]	[0.027932469..0.030282937]	[0.02780106..0.031488247]	
						PG 16:0/14:0	[0.015346318..0.016281258]	[0.013100288..0.015803542]	[0.013247945..0.01588359]	[0.013894739..0.01597697]	[0.013100288..0.016281258]	
						PG 14:0/16:0	[0.013674346..0.014599062]	[0.012962389..0.015654452]	[0.014119521..0.016810648]	[0.012866529..0.014876135]	[0.012866529..0.016810648]	
						PG 15:0/15:0	[3.934482E-4..4.2183325E-4]	[2.9878088E-4..3.7642743E-4]	[3.303144E-4..4.5531898E-4]	[2.304033E-4..4.0446952E-4]	[2.304033E-4..4.5531898E-4]	
PG 30:1:0	0.014538905	0.0	0.0	0.013098064	[0.0..0.014538905]	Sum	[0.012484389..0.013342611]	[0.012311518..0.013989474]	[0.012762679..0.015074559]	[0.012107052..0.013137756]	[0.012107052..0.015074559]	
						PG 18:1/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 12:0/18:1	[0.0012180314..0.0013344109]	[0.0013736846..0.0014777505]	[0.0013988368..0.0016377829]	[0.0011991288..0.0013541449]	[0.0011991288..0.0016377829]	
						PG 16:0/14:1	[0.002497544..0.0034263732]	[0.00228861..0.0032866024]	[0.001792276..0.0032150808]	[0.0027004324..0.0038060306]	[0.001792276..0.0038060306]	
						PG 14:1/16:0	[0.002090846..0.0029802015]	[0.0024801907..0.003520008]	[0.0032389828..0.004991647]	[0.0015934536..0.002556038]	[0.0015934536..0.004991647]	
						PG 16:1/14:0	[6.1253976E-4..8.153391E-4]	[4.8219366E-4..6.5154606E-4]	[5.7110866E-4..7.245585E-4]	[2.8848855E-4..6.65206E-4]	[2.8848855E-4..8.153391E-4]	
						PG 14:0/16:1	[0.005224604..0.005632112]	[0.005205368..0.005744882]	[0.0049552075..0.005657857]	[0.0052457815..0.0058037704]	[0.0049552075..0.0058037704]	
PG 31:0:0	0.0140223	0.0	0.0	0.016317181	[0.0..0.016317181]	Sum	[0.04267923..0.049247168]	[0.041827228..0.050071783]	[0.04301279..0.050388638]	[0.04085525..0.049060233]	[0.04085525..0.050388638]	
						PG 17:0/14:0	[2.2792547E-4..3.2422348E-4]	[2.99339E-4..4.8021966E-4]	[2.2066213E-4..4.01058E-4]	[2.5928812E-4..3.811078E-4]	[2.2066213E-4..4.8021966E-4]	
						PG 14:0/17:0	[1.6323804E-4..2.468047E-4]	[5.9509854E-5..1.8333645E-4]	[1.0496361E-4..2.424875E-4]	[9.3208146E-5..1.895767E-4]	[5.9509854E-5..2.468047E-4]	
						PG 16:0/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/16:0	[0.042289343..0.04868187]	[0.04142133..0.04947582]	[0.042660527..0.049800985]	[0.04042914..0.048530586]	[0.04042914..0.049800985]	
PG 32:0:0	0.8555614	0.83317345	0.8772279	0.8315666	[0.8315666..0.8772279]	Sum	[0.7783082..0.8251934]	[0.7070681..0.82204676]	[0.7581676..0.8442604]	[0.73154837..0.78725815]	[0.7070681..0.8442604]	
						PG 18:0/14:0	[2.3349393E-4..0.00143357]	[3.2937035E-4..0.0060818396]	[0.0011508517..0.0039396947]	[4.5602827E-4..0.0057270573]	[2.3349393E-4..0.0060818396]	
						PG 14:0/18:0	[0.0028864683..0.004771812]	[0.0..0.0042086327]	[0.002396294..0.0056560687]	[0.0..0.0032357872]	[0.0..0.0056560687]	
						PG 16:0/16:0	[0.7742828..0.8194089]	[0.7066754..0.8152252]	[0.7536714..0.83634156]	[0.73122346..0.78090954]	[0.7066754..0.83634156]	
PG 32:1:0	1.537315	1.5511432	1.5495255	1.5392832	[1.537315..1.5511432]	Sum	[1.4218972..1.4806668]	[1.3665781..1.4532597]	[1.3736405..1.448609]	[1.3603693..1.4486042]	[1.3603693..1.4806668]	
						PG 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:0/18:1	[0.23605277..0.2463897]	[0.22555976..0.2555374]	[0.22427821..0.23636648]	[0.23021607..0.24485639]	[0.22427821..0.2555374]	
						PG 16:0/16:1	[1.1334667..1.235978]	[1.0802735..1.2136674]	[1.1053386..1.2163391]	[1.0820532..1.205136]	[1.0802735..1.235978]	
						PG 16:1/16:0	[0.0011794658..0.0482514]	[0.0..0.059469707]	[0.0..0.031624816]	[0.0..0.047000304]	[0.0..0.059469707]	
PG 32:2:0	0.12842612	0.12447883	0.11192247	0.11700135	[0.11192247..0.12842612]	Sum	[0.11234898..0.12306378]	[0.11323945..0.11634652]	[0.111432225..0.12249127]	[0.11405045..0.11679505]	[0.111432225..0.12306378]	
						PG 18:1/14:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:1/18:1	[0.0029349516..0.0033766904]	[0.0029372298..0.0033202749]	[0.003067041..0.0037438476]	[0.0032368717..0.0033332915]	[0.0029349516..0.0037438476]	
						PG 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 14:0/18:2	[0.07635543..0.08149918]	[0.07470997..0.0783924]	[0.073655024..0.08091366]	[0.076952636..0.07823898]	[0.073655024..0.08149918]	
						PG 16:0/16:2	[0.007177583..0.011859517]	[0.0065739304..0.010436193]	[0.006418764..0.011662006]	[0.0069751856..0.011698269]	[0.006418764..0.011859517]	
						PG 16:2/16:0	[0.0013395178..0.00481119]	[0.002052239..0.005320161]	[0.0023648078..0.0067883315]	[9.228708E-4..0.004479644]	[9.228708E-4..0.0067883315]	
						PG 16:1/16:1	[0.02212907..0.024699833]	[0.021981053..0.023890076]	[0.022072295..0.02422795]	[0.022460055..0.023205085]	[0.021981053..0.024699833]	
PG 33:0:0	0.019728702	0.02087367	0.021302518	0.023430446	[0.019728702..0.023430446]	Sum	[0.023506675..0.026766656]	[0.022592898..0.027055843]	[0.024093593..0.027857793]	[0.022589535..0.02590707]	[0.022589535..0.027857793]	
						PG 18:0/15:0	[0.0..3.1373114E-4]	[0.0..2.5991732E-4]	[0.0..0.0]	[2.8549033E-5..1.2923914E-4]	[0.0..3.1373114E-4]	
						PG 15:0/18:0	[0.0020992372..0.0029049178]	[0.0023087822..0.002825188]	[0.0027083461..0.003334387]	[0.0022625106..0.002605883]	[0.0020992372..0.003334387]	
						PG 17:0/16:0	[0.008098235..0.010595541]	[0.007937875..0.01030566]	[0.008381901..0.01194279]	[0.0071708797..0.009461612]	[0.0071708797..0.01194279]	
						PG 16:0/17:0	[0.011711622..0.014607215]	[0.011524022..0.014591658]	[0.0109394565..0.014837275]	[0.011985322..0.014930886]	[0.0109394565..0.014930886]	
PG 33:1:0	0.19449778	0.18233514	0.18417099	0.17594393	[0.17594393..0.19449778]	Sum	[0.24507721..0.24856469]	[0.23474984..0.25183988]	[0.23239285..0.25435272]	[0.23058815..0.2570258]	[0.23058815..0.2570258]	
						PG 18:1/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/18:1	[0.12993218..0.13318625]	[0.1259792..0.1361316]	[0.12297891..0.13924626]	[0.12659189..0.13872026]	[0.12297891..0.13924626]	
						PG 17:0/16:1	[0.00575564..0.0063635483]	[0.0062717..0.006932869]	[0.0061193537..0.0071719326]	[0.0058385464..0.007035344]	[0.00575564..0.0071719326]	
						PG 16:1/17:0	[5.268778E-4..9.465864E-4]	[1.3120713E-5..3.0565754E-4]	[0.0..6.598178E-4]	[9.840246E-5..7.856729E-4]	[0.0..9.465864E-4]	
						PG 17:1/16:0	[0.013403271..0.018944884]	[0.015394106..0.019227328]	[0.010040354..0.020249166]	[0.0086879..0.018211326]	[0.0086879..0.020249166]	
						PG 16:0/17:1	[0.088568814..0.09526882]	[0.0843597..0.09181589]	[0.08456668..0.099918015]	[0.082633786..0.101894036]	[0.082633786..0.101894036]	
PG 33:2:0	0.071899325	0.08114499	0.07566735	0.08921219	[0.071899325..0.08921219]	Sum	[0.15985908..0.16651255]	[0.1553566..0.16935796]	[0.15893497..0.17266434]	[0.15460123..0.17103134]	[0.15460123..0.17266434]	
						PG 18:1/15:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:1/18:1	[0.04105588..0.042904347]	[0.039690994..0.042710695]	[0.040699806..0.043222457]	[0.041423198..0.04450378]	[0.039690994..0.04450378]	
						PG 18:2/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/18:2	[0.10600423..0.11165198]	[0.10291876..0.112820916]	[0.10453168..0.114185534]	[0.10067365..0.11333537]	[0.10067365..0.114185534]	
						PG 17:1/16:1	[0.0022843152..0.0027004196]	[0.0019460745..0.002715733]	[0.0023132965..0.0030524824]	[0.002306905..0.0028480196]	[0.0019460745..0.0030524824]	
						PG 16:1/17:1	[0.0013953057..0.0017739681]	[0.0015870503..0.002324596]	[9.468734E-4..0.0016153057]	[0.001238527..0.0017287106]	[9.468734E-4..0.002324596]	
						PG 17:2/16:0	[0.0032570323..0.003949826]	[0.004569666..0.0059158807]	[0.0054565095..0.008221517]	[0.0041696983..0.005113835]	[0.0032570323..0.008221517]	
						PG 16:0/17:2	[0.0045836563..0.0052864263]	[0.003440585..0.0046902415]	[0.002342488..0.00453942]	[0.00410825..0.0050465474]	[0.002342488..0.0052864263]	
PG 34:1:0	45.6167	45.43932	45.349495	45.428047	[45.349495..45.6167]	Sum	[43.638176..45.702404]	[43.5982..45.192383]	[43.150433..49.24617]	[43.12588..45.188267]	[43.12588..49.24617]	
						PG 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:0/18:1	[43.682964..45.72645]	[43.640438..45.157303]	[43.19535..49.20031]	[43.16721..45.144756]	[43.16721..49.20031]	
PG 34:2:0	22.198006	21.98493	21.92943	22.043688	[21.92943..22.198006]	Sum	[21.066875..21.680063]	[20.462646..21.8319]	[18.01552..21.275229]	[19.940367..21.88612]	[18.01552..21.88612]	
						PG 18:1/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0062145153]	[0.0..0.055202942]	[0.0..0.055202942]	
						PG 16:1/18:1	[1.1155405..1.3514686]	[1.1113733..1.256283]	[1.080695..1.243798]	[1.1769297..1.2546123]	[1.080695..1.3514686]	
						PG 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:0/18:2	[19.970293..20.32893]	[19.370941..20.610325]	[16.907143..20.003084]	[18.736586..20.612673]	[16.907143..20.612673]	
PG 34:3:0	0.71887994	0.7516415	0.7246118	0.7412217	[0.71887994..0.7516415]	Sum	[0.68067..0.75744647]	[0.6728929..0.73647827]	[0.67971426..0.76606923]	[0.66599226..0.72916]	[0.66599226..0.76606923]	
						PG 18:1/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:2/18:1	[0.014250881..0.018514799]	[0.015227083..0.017587794]	[0.016214516..0.02014804]	[0.015743908..0.019105041]	[0.014250881..0.02014804]	
						PG 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:1/18:2	[0.38277265..0.41102165]	[0.3720199..0.3903186]	[0.3684765..0.40479127]	[0.3780774..0.3950941]	[0.3684765..0.41102165]	
						PG 18:3 (6z-9z)/16:0	[0.0..0.0]	[0.0..0.007454717]	[0.0..0.0]	[0.0..0.0015718698]	[0.0..0.007454717]	
						PG 16:0/18:3 (6z-9z)	[0.2759989..0.3324166]	[0.2690761..0.32411814]	[0.2929885..0.34041235]	[0.26759288..0.31437397]	[0.26759288..0.34041235]	
PG 34:4:0	0.036920693	0.031604655	0.02871996	0.03863396	[0.02871996..0.03863396]	Sum	[0.02896502..0.034889515]	[0.02841389..0.03265095]	[0.028221019..0.03537363]	[0.029108152..0.033424996]	[0.028221019..0.03537363]	
						PG 20:4 (5z-8z)/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..3.489667E-4]	[0.0..0.0]	[0.0..3.489667E-4]	
						PG 14:0/20:4 (5z-8z)	[0.008824963..0.01078711]	[0.007960871..0.010232321]	[0.007875338..0.010574749]	[0.008760813..0.010434028]	[0.007875338..0.01078711]	
						PG 18:1/16:3 (7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:3 (7z)/18:1	[0.004684216..0.005936395]	[0.0048294817..0.005070098]	[0.004619452..0.0058277287]	[0.0045721927..0.005463674]	[0.0045721927..0.005936395]	
						PG 18:2/16:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:2/18:2	[0.008679097..0.010421434]	[0.008759836..0.0101194335]	[0.008440039..0.010813751]	[0.008803381..0.010019153]	[0.008440039..0.010813751]	
						PG 18:3 (6z-9z)/16:1	[0.0..2.4146846E-4]	[0.0..1.373416E-4]	[0.0..2.6680774E-4]	[0.0..3.9745015E-4]	[0.0..3.9745015E-4]	
						PG 16:1/18:3 (6z-9z)	[0.004332913..0.005749249]	[0.0042170994..0.0052823694]	[0.0044958973..0.005800168]	[0.004284884..0.0055201408]	[0.0042170994..0.005800168]	
						PG 18:4 (8z)/16:0	[0.0018811671..0.0022659386]	[0.0018014734..0.0024066311]	[0.0018733988..0.0026688946]	[0.001409244..0.0022775165]	[0.001409244..0.0026688946]	
