Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 32:0:0	0.900257	0.877585	1.013237	[0.877585..1.013237]	Sum	[0.69892377..0.7489406]	[0.7199976..0.7697052]	[0.7179943..0.749019]	[0.69892377..0.7697052]	
					PC 16:0/16:0	[0.6998966..0.7480061]	[0.7208268..0.7688877]	[0.718712..0.74841756]	[0.6998966..0.7688877]	
PC 32:1:0	2.2196476	3.668856	0.0	[0.0..3.668856]	Sum	[0.42949802..0.45916596]	[0.4049307..0.45372745]	[0.41884696..0.4486993]	[0.4049307..0.45916596]	
					PC 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 14:0/18:1	[0.08201523..0.0880167]	[0.07313475..0.08320782]	[0.072946414..0.088715166]	[0.072946414..0.088715166]	
					PC 16:0/16:1	[0.27899525..0.34478226]	[0.26095432..0.34336656]	[0.27498478..0.3392131]	[0.26095432..0.34478226]	
					PC 16:1/16:0	[0.024407845..0.065761276]	[0.033188704..0.07570888]	[0.023570124..0.07104893]	[0.023570124..0.07570888]	
PC 32:2:0	0.0	0.19496161	0.15608147	[0.0..0.19496161]	Sum	[0.685364..0.7576469]	[0.5533222..0.6678814]	[0.5917838..0.6761699]	[0.5533222..0.7576469]	
					PC 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 14:0/18:2	[0.67524743..0.7429801]	[0.5418595..0.6561087]	[0.5785099..0.66279674]	[0.5418595..0.7429801]	
					PC 16:1/16:1	[0.011070502..0.014622901]	[0.010883068..0.016132949]	[0.009879984..0.014017349]	[0.009879984..0.016132949]	
PC 34:1:0	11.5171	11.59632	12.23854	[11.5171..12.23854]	Sum	[7.8027263..8.5156145]	[7.0409403..8.118548]	[8.248171..9.056093]	[7.0409403..9.056093]	
					PC 18:0/16:1	[0.02991213..0.07730882]	[0.032827463..0.0495743]	[0.035660293..0.069229916]	[0.02991213..0.07730882]	
					PC 16:1/18:0	[0.0..0.0055662347]	[0.0..0.007882313]	[0.0..0.009484498]	[0.0..0.009484498]	
					PC 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/18:1	[7.7363224..8.430537]	[6.9998426..8.070665]	[8.187032..8.997726]	[6.9998426..8.997726]	
PC 34:2:0	49.303005	48.257534	49.28642	[48.257534..49.303005]	Sum	[28.73498..29.441896]	[28.115808..30.949514]	[27.910658..29.768858]	[27.910658..30.949514]	
					PC 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/18:2	[28.775137..29.402855]	[28.149658..30.985155]	[27.938553..29.744953]	[27.938553..30.985155]	
PC 34:3:0	1.0253569	1.0451058	1.0930254	[1.0253569..1.0930254]	Sum	[4.154991..4.229217]	[4.3300643..4.591507]	[4.250999..4.364786]	[4.154991..4.591507]	
					PC 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:1/18:2	[3.7743871..3.868615]	[3.9440114..4.207292]	[3.8565028..4.0254755]	[3.7743871..4.207292]	
					PC 18:3 (6z-9z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/18:3 (6z-9z)	[0.35532546..0.4190757]	[0.3626658..0.43321365]	[0.3323821..0.39866665]	[0.3323821..0.43321365]	
PC 36:1:0	3.2397537	3.1852834	3.3241277	[3.1852834..3.3241277]	Sum	[1.6908169..1.8675348]	[1.8244039..1.9419726]	[1.9067494..2.1036599]	[1.6908169..2.1036599]	
					PC 20:1/16:0	[0.02463503..0.039837267]	[0.028099466..0.04087226]	[0.034535695..0.04787434]	[0.02463503..0.04787434]	
					PC 16:0/20:1	[0.015871158..0.030543791]	[0.02011095..0.031739864]	[0.014122844..0.026261777]	[0.014122844..0.031739864]	
					PC 18:0/18:1	[1.6347796..1.8175008]	[1.7580209..1.8807245]	[1.8414398..2.0464656]	[1.6347796..2.0464656]	
