Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 24:0:0	11.898209	11.434326	10.998599	[10.998599..11.898209]	Sum	[10.477149..11.236213]	[9.210219..10.437658]	[9.113065..9.784261]	[9.113065..11.236213]
					PC 12:0/12:0	[10.492142..11.222027]	[9.220603..10.426557]	[9.12221..9.776207]	[9.12221..11.222027]
PC 25:0:0	10.999678	10.667578	10.472854	[10.472854..10.999678]	Sum	[10.130488..10.761524]	[9.551162..10.341051]	[9.579195..9.824122]	[9.551162..10.761524]
					PC 13:0/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 12:0/13:0	[10.144699..10.747937]	[9.563472..10.330474]	[9.588808..9.816117]	[9.563472..10.747937]
PC 32:0:0	0.5740943	0.56594384	0.6524539	[0.56594384..0.6524539]	Sum	[0.69786173..0.75180346]	[0.7223047..0.7780856]	[0.7204959..0.75467044]	[0.69786173..0.7780856]
					PC 16:0/16:0	[0.6988407..0.75085425]	[0.723119..0.7772579]	[0.7212189..0.7540555]	[0.6988407..0.7772579]
PC 32:1:0	1.4154702	2.3660004	0.0	[0.0..2.3660004]	Sum	[0.42866996..0.46288303]	[0.406241..0.45285267]	[0.42031175..0.4519003]	[0.406241..0.46288303]
					PC 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 14:0/18:1	[0.0822866..0.08869714]	[0.07279022..0.08287064]	[0.07313081..0.08858469]	[0.07279022..0.08869714]
					PC 16:0/16:1	[0.2783843..0.34708625]	[0.260545..0.3389966]	[0.27564067..0.3406151]	[0.260545..0.34708625]
