Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 32:0:0	2.12943	2.1645503	2.541821	[2.12943..2.541821]	Sum	[2.8106008..2.9572299]	[2.9530997..3.2722733]	[3.0344565..3.1341784]	[2.8106008..3.2722733]
					PC 16:0/16:0	[2.8106008..2.9572299]	[2.9530997..3.2722733]	[3.0344565..3.1341784]	[2.8106008..3.2722733]
PC 32:1:0	5.250261	9.049179	0.0	[0.0..9.049179]	Sum	[1.6881067..1.850546]	[1.6317328..1.920811]	[1.7662064..1.8931946]	[1.6317328..1.920811]
					PC 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 14:0/18:1	[0.31577381..0.3518224]	[0.28892913..0.33020523]	[0.31116873..0.37241614]	[0.28892913..0.37241614]
					PC 16:0/16:1	[1.1149915..1.3938998]	[1.0381641..1.4462385]	[1.1592746..1.4344109]	[1.0381641..1.4462385]
					PC 16:1/16:0	[0.09754481..0.26586238]	[0.13041614..0.31530896]	[0.10237375..0.30263138]	[0.09754481..0.31530896]
PC 32:2:0	0.0	0.48086995	0.39154825	[0.0..0.48086995]	Sum	[2.74123..2.8661625]	[2.3490498..2.8302603]	[2.5746815..2.8197613]	[2.3490498..2.8661625]
					PC 14:0/18:2	[2.6929371..2.8180926]	[2.3049903..2.7868018]	[2.520736..2.7701685]	[2.3049903..2.8180926]
					PC 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:1/16:1	[0.041349314..0.053956162]	[0.043316822..0.059132926]	[0.038963668..0.054424774]	[0.038963668..0.059132926]
PC 34:1:0	27.242067	28.602154	30.701778	[27.242067..30.701778]	Sum	[30.083923..34.00149]	[29.653526..33.315166]	[35.03251..38.193092]	[29.653526..38.193092]
					PC 18:0/16:1	[0.11923898..0.30533695]	[0.13952568..0.19361739]	[0.14886795..0.29331326]	[0.11923898..0.30533695]
					PC 16:1/18:0	[0.0..0.022594936]	[0.0..0.0311724]	[0.0..0.039890606]	[0.0..0.039890606]
					PC 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/18:1	[29.78627..33.702457]	[29.45991..33.14798]	[34.739193..37.939587]	[29.45991..37.939587]
PC 34:2:0	116.619255	119.02649	123.64063	[116.619255..123.64063]	Sum	[110.7896..117.686195]	[113.31722..126.9407]	[118.08135..124.38233]	[110.7896..126.9407]
					PC 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/18:2	[110.7896..117.686195]	[113.31722..126.9407]	[118.08135..124.38233]	[110.7896..126.9407]
PC 34:3:0	2.4253361	2.5777378	2.7419798	[2.4253361..2.7419798]	Sum	[16.094488..16.980108]	[17.235434..19.676016]	[17.841923..18.222357]	[16.094488..19.676016]
					PC 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:1/18:2	[14.673495..15.33772]	[15.704019..17.870667]	[16.331917..16.820913]	[14.673495..17.870667]
					PC 18:3 (6z-9z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/18:3 (6z-9z)	[1.3530102..1.6922969]	[1.4089878..1.8636296]	[1.4014428..1.6874992]	[1.3530102..1.8636296]
PC 36:1:0	7.6631775	7.856454	8.338955	[7.6631775..8.338955]	Sum	[6.7475553..7.337495]	[7.074708..8.100802]	[7.9463696..8.99119]	[6.7475553..8.99119]
					PC 20:1/16:0	[0.093872555..0.16126509]	[0.119587205..0.16718479]	[0.14462651..0.20087367]	[0.093872555..0.20087367]
					PC 16:0/20:1	[0.060477547..0.123644195]	[0.08582699..0.13003261]	[0.0591428..0.11019055]	[0.0591428..0.13003261]
					PC 18:0/18:1	[6.53251..7.1080995]	[6.8242826..7.863829]	[7.6804132..8.738004]	[6.53251..8.738004]
					PC 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PC 36:2:0	34.08371	34.951675	37.044712	[34.08371..37.044712]	Sum	[33.295498..37.238815]	[32.773308..37.55365]	[37.2093..40.498108]	[32.773308..40.498108]
					PC 20:2/16:0	[0.0..0.067449175]	[0.0..0.10156428]	[0.010618983..0.14134306]	[0.0..0.14134306]
					PC 16:0/20:2	[0.64527225..0.73314315]	[0.56709886..0.80606574]	[0.625003..0.79184234]	[0.56709886..0.80606574]
					PC 18:0/18:2	[29.633596..33.42739]	[29.15058..33.56899]	[33.29855..36.490852]	[29.15058..36.490852]
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/18:1	[2.9301584..3.1346226]	[2.9453077..3.1889956]	[3.1377242..3.4565723]	[2.9301584..3.4565723]
PC 36:3:0	13.451126	13.708024	14.457192	[13.451126..14.457192]	Sum	[14.358978..17.465946]	[13.101688..17.088684]	[15.396673..18.548807]	[13.101688..18.548807]
					PC 20:3 (5z-11z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:3 (5z-11z)	[6.7632704..9.077749]	[6.233942..9.067268]	[7.258838..9.971876]	[6.233942..9.971876]
					PC 18:0/18:3 (6z-9z)	[0.33225852..0.52050096]	[0.28695765..0.48041508]	[0.38045567..0.48981148]	[0.28695765..0.52050096]
					PC 18:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/18:2	[6.725954..7.733945]	[6.126714..7.231819]	[6.9893985..7.743259]	[6.126714..7.743259]
					PC 18:2/18:1	[0.123478636..0.58220947]	[0.26981235..0.520329]	[0.5430165..0.8242824]	[0.123478636..0.8242824]
PC 36:4:0	16.443565	16.641184	17.47726	[16.443565..17.47726]	Sum	[16.82991..17.897892]	[18.438133..20.549227]	[18.674664..20.10566]	[16.82991..20.549227]
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:4 (5z-8z)	[14.134543..15.119398]	[15.4357605..17.229197]	[15.551098..17.027208]	[14.134543..17.229197]
					PC 18:1/18:3 (6z-9z)	[0.03029324..0.10169686]	[0.055975493..0.08534782]	[0.025814176..0.06945905]	[0.025814176..0.10169686]
					PC 18:3 (6z-9z)/18:1	[0.0..0.032949783]	[0.0..5.120869E-4]	[0.0..0.0037507887]	[0.0..0.032949783]
					PC 18:2/18:2	[2.6453853..2.8682203]	[2.9327867..3.244753]	[3.0257533..3.0839844]	[2.6453853..3.244753]
PC 36:5:0	0.51428366	0.56241053	0.60476243	[0.51428366..0.60476243]	Sum	[2.5121484..3.0041866]	[2.435529..3.081334]	[2.8859005..3.3469508]	[2.435529..3.3469508]
					PC 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:1/20:4 (5z-8z)	[2.0523834..2.4170632]	[1.9016342..2.5500457]	[2.3139622..2.759832]	[1.9016342..2.759832]
					PC 20:5 (5z)/16:0	[0.0..0.06751917]	[0.012335325..0.06694232]	[0.0..0.042859677]	[0.0..0.06751917]
					PC 16:0/20:5 (5z)	[0.4068921..0.5871233]	[0.399299..0.51694345]	[0.46621948..0.58711886]	[0.399299..0.5871233]
PC 38:1:0	0.0	0.0	0.40258047	[0.0..0.40258047]	Sum	[0.014680947..0.047450393]	[0.0..0.019542208]	[0.015300418..0.04010243]	[0.0..0.047450393]
					PC 18:0/20:1	[0.0040264674..0.047295988]	[0.0..0.019542208]	[0.012387913..0.039917603]	[0.0..0.047295988]
					PC 20:1/18:0	[0.0..0.034384184]	[0.0..0.009771104]	[0.0..0.007704098]	[0.0..0.034384184]
PC 38:2:0	0.57150143	0.5240725	0.6433576	[0.5240725..0.6433576]	Sum	[0.54031515..0.6173294]	[0.43141901..0.5548208]	[0.5865107..0.7001499]	[0.43141901..0.7001499]
					PC 20:0/18:2	[0.33258533..0.41065046]	[0.2451281..0.33344615]	[0.37405178..0.42968303]	[0.2451281..0.42968303]
					PC 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:2/18:0	[0.0..0.013500313]	[0.0..0.0]	[0.0..0.0]	[0.0..0.013500313]
					PC 18:0/20:2	[0.19387572..0.20769712]	[0.18465266..0.222402]	[0.2117648..0.27171913]	[0.18465266..0.27171913]
PC 38:3:0	2.367961	2.4602232	2.726986	[2.367961..2.726986]	Sum	[2.2287095..2.9826398]	[2.1524823..3.1601021]	[2.5595815..3.3931801]	[2.1524823..3.3931801]
					PC 22:3 (13z)/16:0	[0.0..0.012807446]	[0.0..0.031862706]	[0.0..0.055559393]	[0.0..0.055559393]
					PC 16:0/22:3 (13z)	[0.0..0.0]	[0.0..0.031862706]	[0.0..0.055559393]	[0.0..0.055559393]
					PC 20:1/18:2	[0.17748807..0.278856]	[0.15411392..0.18027258]	[0.198553..0.23505643]	[0.15411392..0.278856]
					PC 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:2/18:1	[0.06486357..0.08130606]	[0.026980264..0.11586172]	[0.052626245..0.09939717]	[0.026980264..0.11586172]
					PC 18:1/20:2	[0.01872443..0.02836975]	[0.0..0.043679867]	[0.016771..0.05463234]	[0.0..0.05463234]
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:3 (5z-11z)	[1.8939927..2.6204612]	[1.9387325..2.836753]	[2.2068262..3.0183547]	[1.8939927..3.0183547]
PC 38:4:0	4.7605853	5.063513	5.3864603	[4.7605853..5.3864603]	Sum	[4.8668723..5.4439483]	[4.9438324..5.640524]	[5.3395243..6.3026247]	[4.8668723..6.3026247]
					PC 22:4 (7z-10z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.02484139]	[0.0..0.02484139]
					PC 16:0/22:4 (7z-10z)	[0.7452369..0.98087835]	[0.7787564..0.9728085]	[0.91010064..1.1291542]	[0.7452369..1.1291542]
					PC 20:3 (5z-11z)/18:1	[0.0..0.0035561002]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0035561002]
					PC 18:1/20:3 (5z-11z)	[0.38906085..0.50801426]	[0.33753917..0.4422275]	[0.35589662..0.46558306]	[0.33753917..0.50801426]
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:4 (5z-8z)	[3.689892..4.0132003]	[3.8178852..4.2254877]	[4.0735273..4.6989484]	[3.689892..4.6989484]
PC 38:5:0	2.2492652	2.3418784	2.5533888	[2.2492652..2.5533888]	Sum	[2.0964427..2.7934012]	[2.0932448..2.9653757]	[2.294691..3.073432]	[2.0932448..3.073432]
					PC 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/22:5 (4z-7z)	[1.4052839..1.4739456]	[1.4285539..1.6474346]	[1.5395179..1.7177111]	[1.4052839..1.7177111]
					PC 20:3 (5z-11z)/18:2	[0.06281135..0.15208866]	[0.0..0.08475036]	[0.038640045..0.12515149]	[0.0..0.15208866]
					PC 18:2/20:3 (5z-11z)	[0.084885634..0.18108301]	[0.09473888..0.21956052]	[0.08401404..0.19955875]	[0.08401404..0.21956052]
					PC 20:4 (5z-8z)/18:1	[0.0..0.15170825]	[0.0..0.15462154]	[0.0..0.117274314]	[0.0..0.15462154]
					PC 18:1/20:4 (5z-8z)	[0.5297909..0.8820247]	[0.55319697..0.85900855]	[0.5895239..0.93074846]	[0.5297909..0.93074846]
PC 38:6:0	0.76428026	0.63812006	0.80516094	[0.63812006..0.80516094]	Sum	[0.50950474..1.2973728]	[0.43169028..1.2328901]	[0.6593631..1.227262]	[0.43169028..1.2973728]
					PC 20:4 (5z-8z)/18:2	[0.48524258..0.9185778]	[0.35710162..0.81246185]	[0.5166587..0.83011883]	[0.35710162..0.9185778]
					PC 18:2/20:4 (5z-8z)	[0.024262128..0.37879497]	[0.074588686..0.4204284]	[0.14270438..0.3971432]	[0.024262128..0.4204284]
PC 40:5:0	0.0	0.0	0.4028695	[0.0..0.4028695]	Sum	[0.36493966..0.5667445]	[0.3941805..0.6614982]	[0.429749..0.71005744]	[0.36493966..0.71005744]
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/22:5 (4z-7z)	[0.36493966..0.5667445]	[0.3941805..0.6614982]	[0.429749..0.71005744]	[0.36493966..0.71005744]
