Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 24:0:0	44.132824	43.732563	42.848194	[42.848194..44.132824]	Sum	[42.36654..43.556015]	[37.622856..44.19389]	[38.781063..40.192654]	[37.622856..44.19389]	
					PC 12:0/12:0	[42.36654..43.556015]	[37.622856..44.19389]	[38.781063..40.192654]	[37.622856..44.19389]	
PC 25:0:0	40.8	40.8	40.8	[40.8..40.8]	Sum	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	
					PC 13:0/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 12:0/13:0	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	
PC 32:0:0	2.12943	2.1645503	2.541821	[2.12943..2.541821]	Sum	[2.8132167..2.9572299]	[2.9530997..3.2722733]	[3.0372806..3.1341784]	[2.8132167..3.2722733]	
					PC 16:0/16:0	[2.8132167..2.9572299]	[2.9530997..3.2722733]	[3.0372806..3.1341784]	[2.8132167..3.2722733]	
PC 32:1:0	5.250261	9.049179	0.0	[0.0..9.049179]	Sum	[1.6881067..1.8507013]	[1.6318376..1.9208895]	[1.766446..1.8934361]	[1.6318376..1.9208895]	
					PC 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 14:0/18:1	[0.31577381..0.35186118]	[0.28919798..0.33020523]	[0.31146678..0.37276274]	[0.28919798..0.37276274]	
					PC 16:0/16:1	[1.1165688..1.3944874]	[1.0355816..1.4452171]	[1.1607164..1.4380848]	[1.0355816..1.4452171]	
					PC 16:1/16:0	[0.09768281..0.26597443]	[0.13170739..0.31865588]	[0.09948997..0.30121002]	[0.09768281..0.31865588]	
PC 32:2:0	0.0	0.48086995	0.39154825	[0.0..0.48086995]	Sum	[2.758638..2.9321144]	[2.1656704..2.8393865]	[2.4888315..2.8293502]	[2.1656704..2.9321144]	
					PC 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 14:0/18:2	[2.7141402..2.8736567]	[2.1182559..2.7923024]	[2.4307787..2.7756205]	[2.1182559..2.8736567]	
					PC 16:1/16:1	[0.044497605..0.058457445]	[0.046889327..0.06402264]	[0.04218558..0.05855454]	[0.04218558..0.06402264]	
PC 34:1:0	27.242067	28.602154	30.701778	[27.242067..30.701778]	Sum	[30.083923..34.001297]	[27.557823..34.514652]	[35.0022..38.193184]	[27.557823..38.193184]	
					PC 18:0/16:1	[0.119711556..0.3055307]	[0.13970886..0.19379756]	[0.1489634..0.2934984]	[0.119711556..0.3055307]	
					PC 16:1/18:0	[0.0..0.021998208]	[0.0..0.03081381]	[0.0..0.040209275]	[0.0..0.040209275]	
					PC 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/18:1	[29.78627..33.702457]	[27.364025..34.34757]	[34.708702..37.939587]	[27.364025..37.939587]	
PC 34:2:0	116.619255	119.02649	123.64063	[116.619255..123.64063]	Sum	[110.7896..117.67337]	[110.04361..126.9407]	[118.09796..124.56414]	[110.04361..126.9407]	
					PC 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/18:2	[110.7896..117.67337]	[110.04361..126.9407]	[118.09796..124.56414]	[110.04361..126.9407]	
PC 34:3:0	2.4253361	2.5777378	2.7419798	[2.4253361..2.7419798]	Sum	[16.095457..16.999153]	[16.947615..19.698044]	[17.876495..18.21799]	[16.095457..19.698044]	
					PC 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:1/18:2	[14.673495..15.367625]	[15.418065..17.905619]	[16.34954..16.81558]	[14.673495..17.905619]	
					PC 18:3 (6z-9z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/18:3 (6z-9z)	[1.3539788..1.6949705]	[1.4099524..1.8664862]	[1.4024101..1.6901366]	[1.3539788..1.8664862]	
PC 36:1:0	7.6631775	7.856454	8.338955	[7.6631775..8.338955]	Sum	[6.7578564..7.331058]	[7.0854535..8.093692]	[7.9584985..8.99119]	[6.7578564..8.99119]	
					PC 20:1/16:0	[0.093872555..0.16112362]	[0.119587205..0.16744642]	[0.14462651..0.20115805]	[0.093872555..0.20115805]	
					PC 16:0/20:1	[0.060477547..0.12353574]	[0.08558925..0.13003261]	[0.0591428..0.11034655]	[0.0591428..0.13003261]	
					PC 18:0/18:1	[6.542563..7.101864]	[6.834738..7.8569274]	[7.69223..8.738004]	[6.542563..8.738004]	
					PC 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PC 36:2:0	34.08371	34.951675	37.044712	[34.08371..37.044712]	Sum	[33.34797..37.251026]	[32.799465..37.591225]	[37.268425..40.52803]	[32.799465..40.52803]	
					PC 20:2/16:0	[0.0..0.06670562]	[0.0..0.10154691]	[0.004558175..0.12745425]	[0.0..0.12745425]	
					PC 16:0/20:2	[0.646955..0.7330288]	[0.5678967..0.8059279]	[0.64042354..0.80693954]	[0.5678967..0.80693954]	
					PC 18:0/18:2	[29.666552..33.43208]	[29.170538..33.588573]	[33.33558..36.496037]	[29.170538..36.496037]	
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:1/18:1	[2.949585..3.1402144]	[2.9536877..3.2099988]	[3.1585267..3.4793377]	[2.949585..3.4793377]	
PC 36:3:0	13.451126	13.708024	14.457192	[13.451126..14.457192]	Sum	[14.375444..17.469912]	[13.121161..17.093126]	[15.419337..18.55357]	[13.121161..18.55357]	
					PC 20:3 (5z-11z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/20:3 (5z-11z)	[6.773847..9.087823]	[6.248713..9.077588]	[7.2758856..9.982896]	[6.248713..9.982896]	
					PC 18:0/18:3 (6z-9z)	[0.33258873..0.5212933]	[0.2871541..0.48115656]	[0.3807183..0.4906532]	[0.2871541..0.5212933]	
					PC 18:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:1/18:2	[6.7311025..7.7350216]	[6.124324..7.2330065]	[6.9942226..7.7490134]	[6.124324..7.7490134]	
					PC 18:2/18:1	[0.11630415..0.5816988]	[0.2634118..0.52740675]	[0.54339135..0.824895]	[0.11630415..0.824895]	
PC 36:4:0	16.443565	16.641184	17.47726	[16.443565..17.47726]	Sum	[16.899643..17.901245]	[18.441254..20.564062]	[18.705042..20.087118]	[16.899643..20.564062]	
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/20:4 (5z-8z)	[14.201438..15.129814]	[15.4357605..17.24353]	[15.578418..17.016514]	[14.201438..17.24353]	
					PC 18:1/18:3 (6z-9z)	[0.03031411..0.10171199]	[0.055975493..0.08546984]	[0.025831996..0.06955478]	[0.025831996..0.10171199]	
					PC 18:3 (6z-9z)/18:1	[0.0..0.032954685]	[0.0..5.1281904E-4]	[0.0..0.0037559583]	[0.0..0.032954685]	
					PC 18:2/18:2	[2.6481876..2.871077]	[2.9358933..3.2479844]	[3.0186827..3.0872514]	[2.6481876..3.2479844]	
PC 36:5:0	0.51428366	0.56241053	0.60476243	[0.51428366..0.60476243]	Sum	[2.4974723..3.00818]	[2.3784459..3.085378]	[2.809592..3.3281102]	[2.3784459..3.3281102]	
					PC 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:1/20:4 (5z-8z)	[2.037825..2.421359]	[1.8449198..2.5537007]	[2.2267556..2.7411547]	[1.8449198..2.7411547]	
					PC 20:5 (5z)/16:0	[0.0..0.06631076]	[0.012332182..0.065928005]	[0.0..0.042847753]	[0.0..0.06631076]	
					PC 16:0/20:5 (5z)	[0.40770724..0.58682096]	[0.4001108..0.5173222]	[0.46695358..0.58695555]	[0.4001108..0.58695555]	
PC 38:1:0	0.0	0.0	0.40258047	[0.0..0.40258047]	Sum	[0.014734725..0.04742615]	[0.0..0.01950104]	[0.015286989..0.040118605]	[0.0..0.04742615]	
					PC 18:0/20:1	[0.0040412163..0.047230355]	[0.0..0.01950104]	[0.012418615..0.039933704]	[0.0..0.047230355]	
					PC 20:1/18:0	[0.0..0.034336466]	[0.0..0.00975052]	[0.0..0.0076273372]	[0.0..0.034336466]	
PC 38:2:0	0.57150143	0.5240725	0.6433576	[0.5240725..0.6433576]	Sum	[0.5408487..0.6177179]	[0.43187207..0.55487317]	[0.5866543..0.70022374]	[0.43187207..0.70022374]	
					PC 20:0/18:2	[0.33281448..0.41106895]	[0.24529593..0.33344615]	[0.37402967..0.42968303]	[0.24529593..0.42968303]	
					PC 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:2/18:0	[0.0..0.013297031]	[0.0..0.0]	[0.0..0.0]	[0.0..0.013297031]	
					PC 18:0/20:2	[0.19422527..0.20776609]	[0.18498081..0.2224546]	[0.21174389..0.2717933]	[0.18498081..0.2717933]	
PC 38:3:0	2.367961	2.4602232	2.726986	[2.367961..2.726986]	Sum	[2.2323895..2.9852178]	[2.1570315..3.1629446]	[2.5652263..3.396306]	[2.1570315..3.396306]	
					PC 22:3 (13z)/16:0	[0.0..0.01279621]	[0.0..0.03183474]	[0.0..0.055638094]	[0.0..0.055638094]	
					PC 16:0/22:3 (13z)	[0.0..0.0]	[0.0..0.03183474]	[0.0..0.055638094]	[0.0..0.055638094]	
					PC 20:1/18:2	[0.17765327..0.27912098]	[0.15430568..0.18027258]	[0.1987857..0.23524107]	[0.15430568..0.27912098]	
					PC 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:2/18:1	[0.06489159..0.08136347]	[0.026899643..0.11581816]	[0.052817345..0.09899062]	[0.026899643..0.11581816]	
					PC 18:1/20:2	[0.01873252..0.028389782]	[0.0..0.0440109]	[0.017090805..0.054486938]	[0.0..0.054486938]	
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:3 (5z-11z)	[1.8975362..2.6233475]	[1.9432061..2.839875]	[2.2120454..3.0218368]	[1.8975362..3.0218368]	
PC 38:4:0	4.7605853	5.063513	5.3864603	[4.7605853..5.3864603]	Sum	[4.8522706..5.4778285]	[4.986171..5.6120625]	[5.379885..6.304442]	[4.8522706..6.304442]	
					PC 22:4 (7z-10z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0248562]	[0.0..0.0248562]	
					PC 16:0/22:4 (7z-10z)	[0.746779..0.9804452]	[0.7803998..0.9723795]	[0.91010064..1.1298274]	[0.746779..1.1298274]	
					PC 20:3 (5z-11z)/18:1	[0.0..0.0035599587]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0035599587]	
					PC 18:1/20:3 (5z-11z)	[0.38930935..0.5085655]	[0.3377645..0.442737]	[0.35612357..0.4656371]	[0.3377645..0.5085655]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:4 (5z-8z)	[3.6653616..4.019528]	[3.8579252..4.1969457]	[4.1136613..4.7000775]	[3.6653616..4.7000775]	
PC 38:5:0	2.2492652	2.3418784	2.5533888	[2.2492652..2.5533888]	Sum	[2.0996017..2.7915816]	[2.0445516..2.987613]	[2.2949283..3.0718505]	[2.0445516..3.0718505]	
					PC 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/22:5 (4z-7z)	[1.4056482..1.474961]	[1.4285539..1.6471108]	[1.5399116..1.7177111]	[1.4056482..1.7177111]	
					PC 20:3 (5z-11z)/18:2	[0.062912904..0.1516483]	[0.0..0.08514339]	[0.038235303..0.12523183]	[0.0..0.1516483]	
					PC 18:2/20:3 (5z-11z)	[0.08542487..0.18118675]	[0.09539988..0.22230649]	[0.08418193..0.20047617]	[0.08418193..0.22230649]	
					PC 20:4 (5z-8z)/18:1	[0.0..0.14905234]	[0.0..0.17073822]	[0.0..0.117013715]	[0.0..0.17073822]	
					PC 18:1/20:4 (5z-8z)	[0.53207606..0.8819665]	[0.51821953..0.8623143]	[0.5899403..0.9286803]	[0.51821953..0.9286803]	
PC 38:6:0	0.76428026	0.63812006	0.80516094	[0.63812006..0.80516094]	Sum	[0.51146954..1.2955614]	[0.43394977..1.2317002]	[0.6604957..1.2264984]	[0.43394977..1.2955614]	
					PC 20:4 (5z-8z)/18:2	[0.48557234..0.9167423]	[0.35799205..0.8116565]	[0.5177323..0.83027565]	[0.35799205..0.9167423]	
					PC 18:2/20:4 (5z-8z)	[0.025897192..0.37881917]	[0.07595772..0.4200437]	[0.14276339..0.39622268]	[0.025897192..0.4200437]	
PC 40:5:0	0.0	0.0	0.4028695	[0.0..0.4028695]	Sum	[0.3305486..0.56735206]	[0.39445037..0.6622228]	[0.43004563..0.71084744]	[0.3305486..0.71084744]	
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/22:5 (4z-7z)	[0.3305486..0.56735206]	[0.39445037..0.6622228]	[0.43004563..0.71084744]	[0.3305486..0.71084744]	
PC 44:0:0	25.083612	25.842098	28.799923	[25.083612..28.799923]	Sum	[24.266352..26.582876]	[29.889772..33.78614]	[29.17703..32.132572]	[24.266352..33.78614]	
					PC 22:0/22:0	[24.266352..26.582876]	[29.889772..33.78614]	[29.17703..32.132572]	[24.266352..33.78614]	
PC 44:12:0	24.367666	25.444166	26.269072	[24.367666..26.269072]	Sum	[23.105553..26.595833]	[24.951485..28.09828]	[26.006575..28.446058]	[23.105553..28.446058]	
					PC 22:6 (4z)/22:6 (4z)	[23.105553..26.595833]	[24.951485..28.09828]	[26.006575..28.446058]	[23.105553..28.446058]	
