Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	41.90647	41.945095	42.240547	[41.90647..42.240547]	Sum	[24.664328..26.576757]	[23.985119..26.856474]	[23.51349..27.685822]	[23.51349..27.685822]
					PC 17:0/16:1	[23.890396..25.712448]	[23.701914..26.567804]	[23.762861..27.430117]	[23.701914..27.430117]
					PC 16:1/17:0	[0.0..0.6942361]	[0.0..0.0]	[0.0..0.0]	[0.0..0.6942361]
PC 37:3:0	39.298935	39.229073	39.149208	[39.149208..39.298935]	Sum	[22.934875..29.9815]	[22.533852..28.890675]	[20.76925..29.880518]	[20.76925..29.9815]
					PC 20:3 (5z-11z)/17:0	[0.0..1.3361146]	[0.0..1.2868768]	[0.0..1.10599]	[0.0..1.3361146]
					PC 17:0/20:3 (5z-11z)	[22.687788..29.045973]	[22.291645..27.975582]	[20.600245..29.105001]	[20.600245..29.105001]
PC 39:4:0	18.794588	18.825832	18.610243	[18.610243..18.825832]	Sum	[11.1963215..12.310602]	[10.232763..12.1607895]	[11.532763..12.649539]	[10.232763..12.649539]
					PC 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 17:0/22:4 (7z-10z)	[11.342823..12.169828]	[10.364446..12.0172]	[11.660314..12.546606]	[10.364446..12.546606]
PE 31:1:0	19.527752	19.496494	19.843466	[19.496494..19.843466]	Sum	[13.287285..14.10111]	[12.484409..13.74495]	[12.251676..13.688813]	[12.251676..14.10111]
					PE 17:0/14:1	[13.412486..14.312924]	[12.625706..13.220364]	[12.057439..13.751207]	[12.057439..14.312924]
					PE 14:1/17:0	[0.0..0.2290068]	[0.0..0.23791716]	[0.0..0.15126328]	[0.0..0.23791716]
PE 33:1:0	33.352	33.671127	33.559265	[33.352..33.671127]	Sum	[22.195206..23.130472]	[20.539354..23.549063]	[21.472973..23.64374]	[20.539354..23.64374]
					PE 17:0/16:1	[22.588236..22.75163]	[20.986149..23.139593]	[21.37607..23.548439]	[20.986149..23.548439]
					PE 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PE 37:3:0	31.543219	31.492489	31.238565	[31.238565..31.543219]	Sum	[19.249172..20.655813]	[18.934843..24.918938]	[19.662437..21.223608]	[18.934843..24.918938]
