Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	135.09229	134.54778	136.34225	[134.54778..136.34225]	Sum	[131.01405..131.01405]	[128.59375..128.59375]	[144.47519..144.47519]	[128.59375..144.47519]
					PC 16:1-17:0	[131.01405..131.01405]	[128.59375..128.59375]	[144.47519..144.47519]	[128.59375..144.47519]
PC 35:1:0	192.521	192.521	192.521	[192.521..192.521]	Sum	[192.521..192.521]	[192.521..192.521]	[192.521..192.521]	[192.521..192.521]
					PC 17:0-18:1	[192.521..192.521]	[192.521..192.521]	[192.521..192.521]	[192.521..192.521]
PC 37:3:0	126.686455	125.835556	126.36416	[125.835556..126.686455]	Sum	[106.651344..106.651344]	[101.64569..101.64569]	[114.8306..114.8306]	[101.64569..114.8306]
					PC 17:0-20:3 (0z-11z)	[106.651344..106.651344]	[101.64569..101.64569]	[114.8306..114.8306]	[101.64569..114.8306]
PC 39:4:0	60.587387	60.387844	60.06935	[60.06935..60.587387]	Sum	[41.50955..41.50955]	[36.43994..36.43994]	[44.93322..44.93322]	[36.43994..44.93322]
					PC 17:0-22:4 (0z-10z)	[41.50955..41.50955]	[36.43994..36.43994]	[44.93322..44.93322]	[36.43994..44.93322]
PE 31:1:0	38.62508	38.688454	39.336384	[38.62508..39.336384]	Sum	[38.716225..38.716225]	[35.585327..35.585327]	[32.881176..32.881176]	[32.881176..38.716225]
					PE 14:1-17:0	[38.716225..38.716225]	[35.585327..35.585327]	[32.881176..32.881176]	[32.881176..38.716225]
PE 33:1:0	65.968864	66.81631	66.52569	[65.968864..66.81631]	Sum	[65.1118..65.1118]	[61.96038..61.96038]	[64.13265..64.13265]	[61.96038..65.1118]
					PE 16:1-17:0	[65.1118..65.1118]	[61.96038..61.96038]	[64.13265..64.13265]	[61.96038..65.1118]
PE 35:1:0	101.756	101.756	101.75599	[101.75599..101.756]	Sum	[101.756..101.756]	[101.756..101.756]	[101.75599..101.75599]	[101.75599..101.756]
					PE 17:0-18:1	[101.756..101.756]	[101.756..101.756]	[101.75599..101.75599]	[101.75599..101.756]
PE 37:3:0	62.39117	62.49306	61.925285	[61.925285..62.49306]	Sum	[51.33092..51.33092]	[49.637135..49.637135]	[47.08396..47.08396]	[47.08396..51.33092]
					PE 17:0-20:3 (0z-11z)	[51.33092..51.33092]	[49.637135..49.637135]	[47.08396..47.08396]	[47.08396..51.33092]
PE 39:4:0	30.810703	30.440172	30.446083	[30.440172..30.810703]	Sum	[18.174126..18.174126]	[17.567482..17.567482]	[15.318425..15.318425]	[15.318425..18.174126]
					PE 17:0-22:4 (0z-10z)	[18.174126..18.174126]	[17.567482..17.567482]	[15.318425..15.318425]	[15.318425..18.174126]
PG 31:1:0	38.3629	38.400204	38.99637	[38.3629..38.99637]	Sum	[35.650078..35.650078]	[37.939827..37.939827]	[38.37044..38.37044]	[35.650078..38.37044]
					PG 14:1-17:0	[35.650078..35.650078]	[37.939827..37.939827]	[38.37044..38.37044]	[35.650078..38.37044]
PG 33:1:0	67.3156	67.37677	67.9723	[67.3156..67.9723]	Sum	[60.374523..60.374523]	[68.8554..68.8554]	[64.780655..64.780655]	[60.374523..68.8554]
					PG 16:1-17:0	[60.374523..60.374523]	[68.8554..68.8554]	[64.780655..64.780655]	[60.374523..68.8554]
PG 35:1:0	94.9	94.9	94.9	[94.9..94.9]	Sum	[94.9..94.9]	[94.9..94.9]	[94.9..94.9]	[94.9..94.9]
					PG 17:0-18:1	[94.9..94.9]	[94.9..94.9]	[94.9..94.9]	[94.9..94.9]
PG 37:3:0	64.588425	65.064964	64.2839	[64.2839..65.064964]	Sum	[53.00816..53.00816]	[56.18142..56.18142]	[51.54565..51.54565]	[51.54565..56.18142]
					PG 17:0-20:3 (0z-11z)	[53.00816..53.00816]	[56.18142..56.18142]	[51.54565..51.54565]	[51.54565..56.18142]
PG 39:4:0	30.684845	30.981895	30.514606	[30.514606..30.981895]	Sum	[18.727505..18.727505]	[20.022518..20.022518]	[19.806467..19.806467]	[18.727505..20.022518]
					PG 17:0-22:4 (0z-10z)	[18.727505..18.727505]	[20.022518..20.022518]	[19.806467..19.806467]	[18.727505..20.022518]
PI 31:1:0	36.52367	36.579697	36.85036	[36.52367..36.85036]	Sum	[36.13322..36.13322]	[36.287563..36.287563]	[39.354786..39.354786]	[36.13322..39.354786]
					PI 14:1-17:0	[36.13322..36.13322]	[36.287563..36.287563]	[39.354786..39.354786]	[36.13322..39.354786]
PI 33:1:0	70.65297	71.14301	70.76907	[70.65297..71.14301]	Sum	[70.23463..70.23463]	[67.85304..67.85304]	[77.4802..77.4802]	[67.85304..77.4802]
					PI 16:1-17:0	[70.23463..70.23463]	[67.85304..67.85304]	[77.4802..77.4802]	[67.85304..77.4802]
PI 35:1:0	85.9	85.9	85.9	[85.9..85.9]	Sum	[85.9..85.9]	[85.9..85.9]	[85.9..85.9]	[85.9..85.9]
					PI 17:0-18:1	[85.9..85.9]	[85.9..85.9]	[85.9..85.9]	[85.9..85.9]
PI 37:3:0	61.688755	61.944878	61.121494	[61.121494..61.944878]	Sum	[53.788193..53.788193]	[51.2802..51.2802]	[59.67482..59.67482]	[51.2802..59.67482]
					PI 17:0-20:3 (0z-11z)	[53.788193..53.788193]	[51.2802..51.2802]	[59.67482..59.67482]	[51.2802..59.67482]
