Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	135.09229	134.54778	136.34225	[134.54778..136.34225]	Sum	[119.77331..140.34126]	[118.17821..134.0316]	[119.47826..150.60025]	[118.17821..150.60025]
					PC 17:0/16:1	[116.33407..140.34126]	[118.17821..134.0316]	[119.47826..150.60025]	[116.33407..150.60025]
					PC 16:1/17:0	[0.0..3.7892141]	[0.0..0.0]	[0.0..0.0]	[0.0..3.7892141]
PC 35:1:0	192.521	192.521	192.521	[192.521..192.521]	Sum	[192.521..192.521]	[192.52098..192.521]	[192.521..192.521]	[192.52098..192.521]
					PC 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 17:0/18:1	[192.521..192.521]	[192.52098..192.521]	[192.521..192.521]	[192.52098..192.521]
PC 37:3:0	126.686455	125.835556	126.36416	[125.835556..126.686455]	Sum	[112.1194..170.08643]	[109.81461..154.97466]	[98.35127..174.99939]	[98.35127..174.99939]
					PC 20:3 (5z-11z)/17:0	[0.0..7.4799004]	[0.0..6.815329]	[0.0..6.406529]	[0.0..7.4799004]
					PC 17:0/20:3 (5z-11z)	[112.1194..162.60654]	[109.81461..148.15933]	[98.35127..168.59286]	[98.35127..168.59286]
PC 39:4:0	60.587387	60.387844	60.06935	[60.06935..60.587387]	Sum	[57.340275..64.35591]	[54.116016..60.00242]	[59.900974..67.54322]	[54.116016..67.54322]
					PC 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 17:0/22:4 (7z-10z)	[57.340275..64.35591]	[54.116016..60.00242]	[59.900974..67.54322]	[54.116016..67.54322]
PE 31:1:0	38.62508	38.688454	39.336384	[38.62508..39.336384]	Sum	[40.048958..43.853268]	[37.393726..40.529797]	[34.7229..44.05475]	[34.7229..44.05475]
					PE 17:0/14:1	[39.38273..43.853268]	[36.71797..40.529797]	[34.310703..44.05475]	[34.310703..44.05475]
					PE 14:1/17:0	[0.0..0.7016523]	[0.0..0.7295363]	[0.0..0.48460224]	[0.0..0.7295363]
PE 33:1:0	65.968864	66.81631	66.52569	[65.968864..66.81631]	Sum	[65.91776..69.48225]	[62.961105..67.07324]	[62.146206..74.70471]	[62.146206..74.70471]
					PE 17:0/16:1	[65.91776..69.48225]	[62.961105..67.07324]	[62.146206..74.70471]	[62.146206..74.70471]
					PE 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PE 35:1:0	101.756	101.756	101.75599	[101.75599..101.756]	Sum	[101.75599..101.756]	[101.756..101.756]	[101.756..101.756]	[101.75599..101.756]
					PE 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PE 17:0/18:1	[101.75599..101.756]	[101.756..101.756]	[101.756..101.756]	[101.75599..101.756]
PE 37:3:0	62.39117	62.49306	61.925285	[61.925285..62.49306]	Sum	[56.91866..62.07862]	[52.05782..80.6831]	[55.726..68.304]	[52.05782..80.6831]
					PE 20:3 (5z-11z)/17:0	[0.0..0.4926875]	[0.0..1.6594957]	[0.0..0.87655675]	[0.0..1.6594957]
					PE 17:0/20:3 (5z-11z)	[56.91866..61.585934]	[52.05782..79.023605]	[55.726..67.42744]	[52.05782..79.023605]
PE 39:4:0	30.810703	30.440172	30.446083	[30.440172..30.810703]	Sum	[19.472343..34.70345]	[16.885345..34.310562]	[24.19904..33.010822]	[16.885345..34.70345]
					PE 22:4 (7z-10z)/17:0	[0.0..4.991592]	[0.0..5.2338142]	[0.0..0.5836883]	[0.0..5.2338142]
					PE 17:0/22:4 (7z-10z)	[19.472343..29.711857]	[16.885345..29.076746]	[24.19904..32.42713]	[16.885345..32.42713]
