,168[P6_MSMS_1],168[P6_MSMS_2],168[P6_MSMS_3],168[P6_MSMS_4],237.2[P6_MSMS_1],237.2[P6_MSMS_2],237.2[P6_MSMS_3],237.2[P6_MSMS_4],255.2[P6_MSMS_1],255.2[P6_MSMS_2],255.2[P6_MSMS_3],255.2[P6_MSMS_4],281.2[P6_MSMS_4],283.3[P6_MSMS_1],283.3[P6_MSMS_2],283.3[P6_MSMS_4],448.3[P6_MSMS_1],448.3[P6_MSMS_2],448.3[P6_MSMS_3],448.3[P6_MSMS_4],466.3[P6_MSMS_1],466.3[P6_MSMS_2],466.3[P6_MSMS_3],466.3[P6_MSMS_4],704.6[P6_MSMS_1],704.6[P6_MSMS_2],704.6[P6_MSMS_3],704.6[P6_MSMS_4],764.6[P6_MSMS_1],764.6[P6_MSMS_2],764.6[P6_MSMS_3],764.6[P6_MSMS_4],
2.00,177.297165,,,,,,,,,,,,,,,,,,,,,,,,318.496429,,321.878357,359.015991,725721.312500,725289.687500,728742.875000,740026.000000,
4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,670.526672,360.829803,709140.562500,693964.812500,735463.562500,744413.125000,
6.00,,,,,,,,,,,,,,,,,,,,,,,,,611.220886,,,,739261.812500,708215.750000,723072.812500,754440.500000,
8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713748.812500,716631.250000,707317.500000,745385.000000,
10.00,,,,,,,,,,,,,,,,,,,,,,,,,271.719330,214.002838,482.699982,603.295898,726864.812500,727892.437500,725701.437500,723445.312500,
12.00,,,,,,,,,,,,,,,,,,,,,,,,,989.097168,444.750916,352.608795,609.901794,720696.750000,733431.000000,719653.000000,711355.125000,
14.00,,,,,,,,,,,,,,,,,,,,,,,,,1166.945190,433.332001,635.986206,1283.316528,695521.750000,712314.750000,718336.625000,759208.062500,
16.00,,,,,,,,,,,,,,,,,,,,,,,,,3339.326660,2868.097412,3231.712402,3420.075928,688924.562500,713592.000000,717789.812500,697683.625000,
18.00,,,,,,,,,,,,,,,,,,,,,,,,,7569.935059,10946.496094,7765.655273,6982.241699,669227.062500,727612.687500,733029.812500,705037.062500,
20.00,,,,,,,,,,,,,,,,,,,,,,,,,16259.368164,17554.962891,21658.169922,19609.710938,668341.875000,710875.812500,715396.375000,703409.812500,
22.00,,,,,,,,,,,,,,,,,,,,,,,,,46056.277344,45197.941406,49516.417969,49503.937500,670646.375000,643889.000000,696607.500000,700089.562500,
24.00,,,,,,,,,,,,,,,,,,,,,,410.245056,,,87668.281250,87017.390625,81233.195313,91673.921875,613047.125000,657660.312500,648552.500000,676695.250000,
26.00,,,,,,,,,,,,414.226349,,,,,,,,,,,,,140147.156250,143890.953125,140361.171875,147423.500000,582886.312500,601353.750000,606529.437500,608947.375000,
28.00,,,,,,,,,643.364685,684.577087,282.649994,683.973389,,,,,,,,,,207.092422,300.605316,656.722595,199613.234375,214392.078125,212223.468750,209830.125000,508671.250000,541729.562500,523546.531250,522496.812500,
30.00,,,,,,,,,1668.897217,2110.801025,1656.747314,1228.905518,,,,,,,,,,242.694962,527.617737,,292437.312500,302577.312500,302660.312500,303086.000000,446909.687500,439367.187500,441947.406250,446709.843750,
32.00,,,,,,,,,5129.131348,5493.208008,4102.244141,4769.964844,,,,,,,,,,959.071045,,439.161316,381939.937500,374990.531250,370022.625000,393860.843750,354784.031250,358950.750000,354591.187500,365161.250000,
