PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FACO2M,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
795.591743,C42 D5 H76 O10 N1 P1 ,PC,33,1,0,PCd5 33:1:0,0,4877652.5,5053404.6,4694391.9,269.248605,17,0,0,1165322.6,1370028.3,1169512.6,253.2172736,16,1,-0.12,3108387.1,3680175.9,3248515.6,None, None, None, None
823.6229727,C44 D5 H80 O10 N1 P1 ,PC,35,1,0,PCd5 35:1:0,-0.09,6951177.8,7230788.6,6628679.2,281.2484015,18,1,-0.72,4986808.7,5973717.8,5019516.3,269.248605,17,0,0,1768616,2101843.7,1776835.5,None, None, None, None
847.6223013,C46 D5 H80 O10 N1 P1 ,PC,37,3,0,PCd5 37:3:0,-0.88,4574151.1,4726187.5,4350837.2,305.2481778,20,3,-1.4,3205869,3877304.7,2828511.6,269.248605,17,0,0,1218143.3,1475503.1,1045326.4,None, None, None, None
873.6376618,C48 D5 H82 O10 N1 P1 ,PC,39,4,0,PCd5 39:4:0,-1.18,2187572.9,2268073.3,2068244.4,331.2635586,22,4,-2.1,1438633.9,1804662.8,1502493.9,269.248605,17,0,0,558349.3,689337.3,598411,None, None, None, None
###,PCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
873.6376618,C48 D5 H82 O10 N1 P1 ,PC,39,4,0,PC 39:4:0,-1.18,2187572.9,2268073.3,2068244.4,269.248605,17,0,0,558349.3,689337.3,598411,331.2635586,22,4,-2.1,1438633.9,1804662.8,1502493.9,287.2742499,25337.6,32166.8,27153.5
###,PEfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.508013,C36 D5 H64 O8 N1 P1 ,PE,31,1,0,PEd5 31:1:0,0,1782642.5,1842955.9,1747249,225.1859168,14,1,-0.39,1249340.7,1316894.7,1229027,269.248605,17,0,0,488755.8,510659.4,461570.8,None, None, None, None
