Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	26.23726	26.212708	26.458979	[26.212708..26.458979]	Sum	[27.775108..27.775108]	[28.003841..28.003841]	[29.083502..29.083502]	[27.775108..29.083502]	
					PC 16:1-17:0	[27.775108..27.775108]	[28.003841..28.003841]	[29.083502..29.083502]	[27.775108..29.083502]	
PC 35:1:0	37.390915	37.507095	37.36119	[37.36119..37.507095]	Sum	[40.81464..40.81464]	[41.925274..41.925274]	[38.755337..38.755337]	[38.755337..41.925274]	
					PC 17:0-18:1	[40.81464..40.81464]	[41.925274..41.925274]	[38.755337..38.755337]	[38.755337..41.925274]	
PC 37:3:0	24.604706	24.515387	24.5226	[24.515387..24.604706]	Sum	[22.61019..22.61019]	[22.135368..22.135368]	[23.115911..23.115911]	[22.135368..23.115911]	
					PC 17:0-20:3	[22.61019..22.61019]	[22.135368..22.135368]	[23.115911..23.115911]	[22.135368..23.115911]	
PC 39:4:0	11.767121	11.764809	11.657235	[11.657235..11.767121]	Sum	[8.800065..8.800065]	[7.935521..7.935521]	[9.0452585..9.0452585]	[7.935521..9.0452585]	
					PC 17:0-22:4	[8.800065..8.800065]	[7.935521..7.935521]	[9.0452585..9.0452585]	[7.935521..9.0452585]	
PE 31:1:0	12.894289	12.887817	13.11259	[12.887817..13.11259]	Sum	[14.074068..14.074068]	[13.352526..13.352526]	[12.589845..12.589845]	[12.589845..14.074068]	
					PE 14:1-17:0	[14.074068..14.074068]	[13.352526..13.352526]	[12.589845..12.589845]	[12.589845..14.074068]	
PE 33:1:0	22.022522	22.25771	22.176012	[22.022522..22.25771]	Sum	[23.669352..23.669352]	[23.24912..23.24912]	[24.555696..24.555696]	[23.24912..24.555696]	
					PE 16:1-17:0	[23.669352..23.669352]	[23.24912..23.24912]	[24.555696..24.555696]	[23.24912..24.555696]	
PE 35:1:0	33.96941	33.896748	33.91986	[33.896748..33.96941]	Sum	[36.9902..36.9902]	[38.181454..38.181454]	[38.961266..38.961266]	[36.9902..38.961266]	
					PE 17:0-18:1	[36.9902..36.9902]	[38.181454..38.181454]	[38.961266..38.961266]	[36.9902..38.961266]	
PE 37:3:0	20.82817	20.81756	20.642488	[20.642488..20.82817]	Sum	[18.659744..18.659744]	[18.625124..18.625124]	[18.027937..18.027937]	[18.027937..18.659744]	
					PE 17:0-20:3	[18.659744..18.659744]	[18.625124..18.625124]	[18.027937..18.027937]	[18.027937..18.659744]	
PE 39:4:0	10.285601	10.140168	10.149052	[10.140168..10.285601]	Sum	[6.606633..6.606633]	[6.5917687..6.5917687]	[5.865258..5.865258]	[5.865258..6.606633]	
