Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PC 33:1:0	26.23726	26.212708	26.458979	[26.212708..26.458979]	Sum	[24.540375..25.71036]	[23.591314..25.823227]	[23.435984..26.919231]	[23.435984..26.919231]	
					PC 17:0/16:1	[23.865328..25.71036]	[23.591314..25.823227]	[23.435984..26.919231]	[23.435984..26.919231]	
					PC 16:1/17:0	[0.0..0.6941797]	[0.0..0.0]	[0.0..0.0]	[0.0..0.6941797]	
PC 35:1:0	37.390915	37.507095	37.36119	[37.36119..37.507095]	Sum	[34.387234..39.457134]	[36.317783..38.401676]	[33.203064..40.261482]	[33.203064..40.261482]	
					PC 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 17:0/18:1	[34.387234..39.474]	[36.317783..38.401676]	[33.203064..40.261482]	[33.203064..40.261482]	
PC 37:3:0	24.604706	24.515387	24.5226	[24.515387..24.604706]	Sum	[23.832932..29.044044]	[25.637758..28.185356]	[21.127731..29.327429]	[21.127731..29.327429]	
					PC 20:3 (8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 17:0/20:3 (8z)	[23.832932..29.044044]	[25.637758..28.185356]	[21.127731..29.327429]	[21.127731..29.327429]	
PC 39:4:0	11.767121	11.764809	11.657235	[11.657235..11.767121]	Sum	[11.336799..11.881095]	[10.358989..11.976953]	[11.653628..12.561886]	[10.358989..12.561886]	
					PC 22:4 (7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 17:0/22:4 (7z)	[11.336799..11.884755]	[10.358989..11.976953]	[11.653628..12.561886]	[10.358989..12.561886]	
PE 31:1:0	12.894289	12.887817	13.11259	[12.887817..13.11259]	Sum	[12.633413..13.513093]	[12.053113..13.217995]	[11.435766..13.299198]	[11.435766..13.513093]	
					PE 17:0/14:1	[12.444771..13.513093]	[11.808527..13.217995]	[11.325684..13.299198]	[11.325684..13.513093]	
					PE 14:1/17:0	[0.0..0.18918331]	[0.0..0.25114188]	[0.0..0.11969277]	[0.0..0.25114188]	
PE 33:1:0	22.022522	22.25771	22.176012	[22.022522..22.25771]	Sum	[21.018972..22.391212]	[20.754593..22.74136]	[21.029024..22.55474]	[20.754593..22.74136]	
					PE 17:0/16:1	[21.022362..22.391212]	[20.758339..22.74136]	[21.029135..22.5558]	[20.758339..22.74136]	
					PE 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 35:1:0	33.96941	33.896748	33.91986	[33.896748..33.96941]	Sum	[31.442812..33.799343]	[32.132523..34.889736]	[30.739107..34.963642]	[30.739107..34.963642]	
					PE 17:0/18:1	[31.442812..33.801876]	[32.132523..34.890633]	[30.739107..34.963642]	[30.739107..34.963642]	
					PE 18:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 37:3:0	20.82817	20.81756	20.642488	[20.642488..20.82817]	Sum	[21.091738..25.27552]	[20.914005..25.283772]	[21.97097..24.674742]	[20.914005..25.283772]	
					PE 20:3 (8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 17:0/20:3 (8z)	[21.091738..25.279596]	[20.914005..25.288338]	[21.97097..24.676756]	[20.914005..25.288338]	
PE 39:4:0	10.285601	10.140168	10.149052	[10.140168..10.285601]	Sum	[9.067192..9.752258]	[8.9697485..9.678593]	[8.198053..9.853678]	[8.198053..9.853678]	
