PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FACO1M,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FACO2M,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.4354485,H65 C33 N1 O10 P1 ,PC,24,0,0,PC 24:0:0,0.43,306989.4,320853.6,315920.2,199.169576,12,0,-3.91,232359.4,250481.5,235712,199.169576,12,0,-3.91,232359.4,250481.5,235712,None, None, None, None, None, None, None, None
680.450809,H67 C34 N1 O10 P1 ,PC,25,0,0,PC 25:0:0,0,361510.9,376079,369443.1,199.1695811,12,0,-3.89,77233.6,83578.4,75741.7,213.1834045,13,0,-2.82,212458,232906.1,208708,None, None, None, None, None, None, None, None
722.4981723,H73 C37 N1 O10 P1 ,PC,28,0,0,PC 28:0:0,0.57,477582.4,516289.9,498194.4,227.2012533,14,0,-1.77,413897.4,467678.2,419505.3,227.2012533,14,0,-1.77,413897.4,467678.2,419505.3,None, None, None, None, None, None, None, None
762.5295037,H77 C40 N1 O10 P1 ,PC,31,1,0,PC 31:1:0,0.58,612095.4,665195.1,645129.2,225.1855774,14,1,-1.9,417532.4,483352,424923.5,269.2487793,17,0,0.65,152525.4,176791.5,161174.1,None, None, None, None, None, None, None, None
778.560835,H81 C41 N1 O10 P1 ,PC,32,0,0,PC 32:0:0,0.61,630774.2,689343.4,672273.5,227.2012329,14,0,-1.86,296759.1,331383.8,306903.2,283.2643636,18,0,0.38,315320.1,347718.8,327109.3,None, None, None, None, None, None, None, None
778.560835,H81 C41 N1 O10 P1 ,PC,32,0,0,PC 32:0:0,0.61,630774.2,689343.4,672273.5,255.2329559,16,0,0,1807.3,1856.9,1768.2,255.2329559,16,0,0,1807.3,1856.9,1768.2,None, None, None, None, None, None, None, None
806.5925733,H85 C43 N1 O10 P1 ,PC,34,0,0,PC 34:0:0,1.13,754935.5,822288.4,795712.8,255.2329356,16,0,-0.08,109197.4,133761.1,115635.6,283.264384,18,0,0.45,267147.7,322179,276591.4,None, None, None, None, None, None, None, None
806.5925733,H85 C43 N1 O10 P1 ,PC,34,0,0,PC 34:0:0,1.13,754935.5,822288.4,795712.8,269.2487691,17,0,0.61,355487.9,436783.6,376262.7,269.2487691,17,0,0.61,355487.9,436783.6,376262.7,None, None, None, None, None, None, None, None
822.5303175,H77 C45 N1 O10 P1 ,PC,36,6,0,PC 36:6:0,1.53,574835.9,624002.8,597508.7,277.2173462,18,3,0.15,592445,661029.8,588003.7,277.2173462,18,3,0.15,592445,661029.8,588003.7,None, None, None, None, None, None, None, None
826.5614454,H81 C45 N1 O10 P1 ,PC,36,4,0,PC 36:4:0,1.31,1105335.8,1211718.1,1166505.9,255.2329305,16,0,-0.1,360570.1,388156.5,371643.2,303.2331136,20,4,0.52,426153,485261.6,434494.4,None, None, None, None, None, None, None, None
826.5614454,H81 C45 N1 O10 P1 ,PC,36,4,0,PC 36:4:0,1.31,1105335.8,1211718.1,1166505.9,279.2330322,18,2,0.28,304095.9,337751.3,315025.9,279.2330322,18,2,0.28,304095.9,337751.3,315025.9,None, None, None, None, None, None, None, None
830.5924106,H85 C45 N1 O10 P1 ,PC,36,2,0,PC 36:2:0,0.9,539383.5,591655.5,572112.6,279.2330322,18,2,0.28,406643.4,458252.5,443031.4,283.2643636,18,0,0.38,154089.5,169570.9,166814,None, None, None, None, None, None, None, None
834.6236199,H89 C45 N1 O10 P1 ,PC,36,0,0,PC 36:0:0,0.79,797927.2,870678,848920.1,283.264384,18,0,0.45,816469.5,900894.4,834068.3,283.264384,18,0,0.45,816469.5,900894.4,834068.3,None, None, None, None, None, None, None, None
840.5761549,H83 C46 N1 O10 P1 ,PC,37,4,0,PC 37:4:0,0.17,495812.2,540402.7,523380.3,269.2487793,17,0,0.65,125309,143007.6,129762.6,303.2331136,20,4,0.52,329376.4,371319.2,337748.6,None, None, None, None, None, None, None, None
