Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PC 24:0:0	199.17	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	25.0	232359.4	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.082..1.082]	[251412.88..251412.88]	[0.5..0.5]	[0.5..0.5]	[1.082..1.082]	[251412.88..251412.88]	[0.5..0.5]	[0.5..0.5]	1.004296	[252492.94..252492.94]
Group-1	PC 24:0:0	199.17	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	30.0	246417.0	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.155..1.155]	[284611.62..284611.62]	[0.5..0.5]	[0.5..0.5]	[1.155..1.155]	[284611.62..284611.62]	[0.5..0.5]	[0.5..0.5]	1.004296	[285834.3..285834.3]
Group-1	PC 24:0:0	199.17	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	35.0	237873.0	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.187..1.187]	[282355.25..282355.25]	[0.5..0.5]	[0.5..0.5]	[1.187..1.187]	[282355.25..282355.25]	[0.5..0.5]	[0.5..0.5]	1.004296	[283568.25..283568.25]
Group-1	PC 25:0:0	199.17	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	25.0	77233.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.088..1.095]	[84030.17..84570.8]	[0.272..0.272]	[0.0..0.0]	[1.088..1.088]	[84030.164..84030.164]	[0.27..0.27]	[0.0..0.0]	0.98652405	[82897.77..83431.125]
Group-1	PC 25:0:0	199.17	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	30.0	85056.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.149..1.152]	[97729.35..97984.51]	[0.286..0.287]	[0.0..0.0]	[1.149..1.149]	[97729.35..97729.35]	[0.286..0.286]	[0.0..0.0]	0.98652405	[96412.35..96664.07]
Group-1	PC 25:0:0	199.17	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	35.0	81349.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.172..1.176]	[95341.27..95666.664]	[0.295..0.295]	[0.0..0.0]	[1.172..1.172]	[95341.27..95341.27]	[0.294..0.294]	[0.0..0.0]	0.98652405	[94056.45..94377.46]
Group-1	PC 25:0:0	213.18	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	25.0	212458.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.057..1.067]	[224568.11..226692.69]	[0.728..0.728]	[1.0..1.0]	[1.067..1.067]	[226692.69..226692.69]	[0.73..0.73]	[1.0..1.0]	0.98652405	[221541.84..223637.78]
Group-1	PC 25:0:0	213.18	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	30.0	220682.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.102..1.108]	[243192.34..244516.44]	[0.713..0.714]	[1.0..1.0]	[1.108..1.108]	[244516.44..244516.44]	[0.714..0.714]	[1.0..1.0]	0.98652405	[239915.1..241221.36]
Group-1	PC 25:0:0	213.18	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	35.0	203242.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.12..1.125]	[227631.83..228648.05]	[0.705..0.705]	[1.0..1.0]	[1.125..1.125]	[228648.05..228648.05]	[0.706..0.706]	[1.0..1.0]	0.98652405	[224564.27..225566.78]
Group-1	PC 28:0:0	227.2	20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	25.0	413897.4	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.033..1.033]	[427556.03..427556.03]	[0.5..0.5]	[0.5..0.5]	[1.033..1.033]	[427556.03..427556.03]	[0.5..0.5]	[0.5..0.5]	0.93704116	[400637.6..400637.6]
