Species	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	FAI.FC_Group-1
PC 24:0:0	38.46805	38.64791	38.73718	[38.46805..38.73718]	Sum	[37.24874..40.316402]	[36.756912..40.109806]	[38.48285..39.772625]	[36.756912..40.316402]	
					PC 12:0/12:0	[37.24874..40.316402]	[36.756912..40.109806]	[38.48285..39.772625]	[36.756912..40.316402]	
PC 25:0:0	45.3	45.3	45.3	[45.3..45.3]	Sum	[45.3..45.3]	[45.3..45.3]	[45.3..45.3]	[45.3..45.3]	
					PC 13:0/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 12:0/13:0	[45.3..45.3]	[45.3..45.3]	[45.3..45.3]	[45.3..45.3]	
PC 28:0:0	59.84462	62.18888	61.087097	[59.84462..62.18888]	Sum	[59.10362..62.53943]	[61.13367..66.68242]	[61.008873..63.573414]	[59.10362..66.68242]	
					PC 14:0/14:0	[59.10362..62.53943]	[61.13367..66.68242]	[61.008873..63.573414]	[59.10362..66.68242]	
PC 31:1:0	76.70009	80.12502	79.1038	[76.70009..80.12502]	Sum	[70.485245..77.3165]	[74.7208..80.82368]	[73.8484..78.60694]	[70.485245..80.82368]	
					PC 17:0/14:1	[70.485245..77.3165]	[74.7208..80.82368]	[73.8484..78.60694]	[70.485245..80.82368]	
					PC 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PC 32:0:0	79.04069	83.03376	82.43215	[79.04069..83.03376]	Sum	[80.14822..87.43025]	[81.39913..93.02148]	[84.54318..90.00948]	[80.14822..93.02148]	
					PC 18:0/14:0	[39.600918..44.6979]	[40.797672..47.476288]	[41.605423..46.6866]	[39.600918..47.476288]	
					PC 14:0/18:0	[38.960903..44.000854]	[39.578625..46.08809]	[40.423927..45.432064]	[38.960903..46.08809]	
					PC 16:0/16:0	[0.22000727..0.3205937]	[0.22037849..0.39590937]	[0.23347169..0.34414026]	[0.22000727..0.39590937]	
PC 34:0:0	94.599014	99.04744	97.5679	[94.599014..99.04744]	Sum	[91.14952..96.797516]	[101.78325..105.74123]	[97.48167..101.62587]	[91.14952..105.74123]	
					PC 18:0/16:0	[0.0..1.1301739]	[0.0..1.8970244]	[0.0..0.3634267]	[0.0..1.8970244]	
					PC 16:0/18:0	[45.58508..49.137997]	[49.9388..54.2007]	[49.184647..51.918095]	[45.58508..54.2007]	
					PC 17:0/17:0	[44.218822..47.846924]	[49.73483..51.98199]	[47.665886..49.830936]	[44.218822..51.98199]	
PC 36:0:0	99.9862	104.87614	104.092026	[99.9862..104.87614]	Sum	[97.8279..102.37419]	[98.81176..107.954445]	[101.7791..106.76437]	[97.8279..107.954445]	
					PC 18:0/18:0	[97.8279..102.37419]	[98.81176..107.954445]	[101.7791..106.76437]	[97.8279..107.954445]	
PC 36:2:0	67.58875	71.26692	70.15073	[67.58875..71.26692]	Sum	[62.06583..67.89672]	[63.609726..75.27296]	[64.97952..73.489944]	[62.06583..75.27296]	
					PC 18:0/18:2	[62.06583..67.89672]	[63.19823..75.27296]	[64.97952..73.489944]	[62.06583..75.27296]	
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.45163772]	[0.0..0.0]	[0.0..0.45163772]	
PC 36:4:0	138.50677	145.95558	143.03343	[138.50677..145.95558]	Sum	[116.99788..161.6823]	[117.343575..171.52797]	[138.18233..152.80028]	[116.99788..171.52797]	
					PC 20:4 (5z-8z)/16:0	[22.587444..42.5849]	[22.795881..44.783867]	[27.438366..33.347816]	[22.587444..44.783867]	
					PC 16:0/20:4 (5z-8z)	[59.80762..83.86284]	[59.36629..88.29808]	[75.24115..83.25764]	[59.36629..88.29808]	
					PC 18:2/18:2	[34.30652..36.18864]	[34.87989..38.6057]	[35.08515..37.259705]	[34.30652..38.6057]	
PC 36:6:0	72.0312	75.16327	73.26471	[72.0312..75.16327]	Sum	[74.95764..94.451385]	[76.55982..100.98036]	[75.76735..99.497826]	[74.95764..100.98036]	
					PC 18:3 (6z-9z)/18:3 (6z-9z)	[74.95764..94.451385]	[76.55982..100.98036]	[75.76735..99.497826]	[74.95764..100.98036]	
PC 37:4:0	62.128944	65.093346	64.175316	[62.128944..65.093346]	Sum	[61.659615..64.63248]	[64.62572..67.082756]	[61.794403..65.81593]	[61.659615..67.082756]	
					PC 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 17:0/20:4 (5z-8z)	[61.659615..64.63248]	[64.62572..67.082756]	[61.794403..65.81593]	[61.659615..67.082756]	
PC 38:4:0	37.27541	38.813812	38.199043	[37.27541..38.813812]	Sum	[34.20083..37.753952]	[31.40271..39.71363]	[33.826546..39.467613]	[31.40271..39.71363]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.19758025]	[0.0..0.0]	[0.0..0.19758025]	
					PC 18:0/20:4 (5z-8z)	[34.20083..37.753952]	[31.40271..39.51605]	[33.826546..39.467613]	[31.40271..39.51605]	
PC 38:6:0	109.73757	116.22174	114.127884	[109.73757..116.22174]	Sum	[103.30789..109.06394]	[108.81629..116.35539]	[105.801384..116.51797]	[103.30789..116.51797]	
					PC 16:0/22:6 (4z)	[27.905258..37.99637]	[28.938187..42.273647]	[26.135283..44.1318]	[26.135283..44.1318]	
					PC 22:6 (4z)/16:0	[67.42906..79.35812]	[69.08176..85.01057]	[66.40062..88.73435]	[66.40062..88.73435]	
PC 40:6:0	81.524864	85.34456	84.4145	[81.524864..85.34456]	Sum	[77.861534..84.879814]	[82.32691..86.77575]	[80.28324..84.332664]	[77.861534..86.77575]	
					PC 22:6 (4z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/22:6 (4z)	[77.861534..84.879814]	[82.32691..86.77575]	[80.28324..84.332664]	[77.861534..86.77575]	
PC 40:8:0	108.56982	114.475296	113.67402	[108.56982..114.475296]	Sum	[116.78915..120.65356]	[120.02912..127.52058]	[118.874084..127.6183]	[116.78915..127.6183]	
					PC 20:4 (5z-8z)/20:4 (5z-8z)	[116.78915..120.65356]	[120.02912..127.52058]	[118.874084..127.6183]	[116.78915..127.6183]	
PC 43:6:0	38.373817	40.187405	39.921505	[38.373817..40.187405]	Sum	[36.385536..37.493668]	[37.527397..38.52606]	[37.524273..38.884766]	[36.385536..38.884766]	
					PC 22:6 (4z)/21:0	[1.2057104..2.3885303]	[0.45284876..1.7640171]	[0.6350252..3.575575]	[0.45284876..3.575575]	
					PC 21:0/22:6 (4z)	[34.19833..36.0892]	[36.001476..37.888016]	[33.917816..38.204243]	[33.917816..38.204243]	
PC 44:0:0	140.16385	145.26767	144.76796	[140.16385..145.26767]	Sum	[134.63982..143.89932]	[142.13869..148.98415]	[145.21762..149.93893]	[134.63982..149.93893]	
