PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PS_FTMSMS-_1.mzXML,PRI:240116_PS_FTMSMS-_2.mzXML,PRI:240116_PS_FTMSMS-_3.mzXML,PRI:240116_PS_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PS_FTMSMS-_1.mzXML,FA1I:240116_PS_FTMSMS-_2.mzXML,FA1I:240116_PS_FTMSMS-_3.mzXML,FA1I:240116_PS_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PS_FTMSMS-_1.mzXML,FA2I:240116_PS_FTMSMS-_2.mzXML,FA2I:240116_PS_FTMSMS-_3.mzXML,FA2I:240116_PS_FTMSMS-_4.mzXML,FACO1M,FACO1I:240116_PS_FTMSMS-_1.mzXML,FACO1I:240116_PS_FTMSMS-_2.mzXML,FACO1I:240116_PS_FTMSMS-_3.mzXML,FACO1I:240116_PS_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PS_FTMSMS-_1.mzXML,FACO2I:240116_PS_FTMSMS-_2.mzXML,FACO2I:240116_PS_FTMSMS-_3.mzXML,FACO2I:240116_PS_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PSFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758.4985097,H73 C40 N1 O10 P1 ,PS,34,2,0,PS 34:2:0,0.99,81521.7,97927.3,127366.2,104675.2,251.2016869,16,2,0.13,579.4,859.1,780.7,879.8,283.2644501,18,0,0.69,12949.7,19344.9,24486.6,47903.9,None, None, None, None, None,None, None, None, None, None
758.4985097,H73 C40 N1 O10 P1 ,PS,34,2,0,PS 34:2:0,0.99,81521.7,97927.3,127366.2,104675.2,253.2173805,16,1,0.3,14247.4,15116.4,19312.7,18940.9,281.2487869,18,1,0.65,28264.4,30680.1,39117.7,38944.8,None, None, None, None, None,None, None, None, None, None
758.4985097,H73 C40 N1 O10 P1 ,PS,34,2,0,PS 34:2:0,0.99,81521.7,97927.3,127366.2,104675.2,255.2330475,16,0,0.36,10736.2,12112.9,14100.1,15328.3,279.2331314,18,2,0.63,4657,4955.3,7197.6,6623,None, None, None, None, None,None, None, None, None, None
760.5143025,H75 C40 N1 O10 P1 ,PS,34,1,0,PS 34:1:0,1.17,1885648.3,2033328.2,2612220.2,2901664.7,253.2173958,16,1,0.36,83452.1,70090,105195.5,99730.6,283.2644577,18,0,0.71,199787.6,192727.7,272741.5,275301,None, None, None, None, None,None, None, None, None, None
760.5143025,H75 C40 N1 O10 P1 ,PS,34,1,0,PS 34:1:0,1.17,1885648.3,2033328.2,2612220.2,2901664.7,255.2330551,16,0,0.39,565574.4,614083.5,774183.4,818640.7,281.2487869,18,1,0.65,313884.9,334216,396974.2,440460.6,None, None, None, None, None,None, None, None, None, None
762.5303853,H77 C40 N1 O10 P1 ,PS,34,0,0,PS 34:0:0,1.74,37136.9,28490.9,38660.9,40878.1,255.2330666,16,0,0.44,7629.4,7416.9,13039.8,11343.8,283.2644424,18,0,0.66,19126.4,23431,27249.3,23890.1,None, None, None, None, None,None, None, None, None, None
774.5302632,H77 C41 N1 O10 P1 ,PS,35,1,0,PS 35:1:0,1.55,537131,587667.3,785343.7,868369.4,267.2331848,17,1,0.86,34151.3,32659.6,44957.5,47092.9,283.2644501,18,0,0.69,82254.8,78683.9,95725.7,108198.9,None, None, None, None, None,None, None, None, None, None
774.5302632,H77 C41 N1 O10 P1 ,PS,35,1,0,PS 35:1:0,1.55,537131,587667.3,785343.7,868369.4,269.2488556,17,0,0.93,166279.2,181727.2,220872.3,237501.3,281.2487793,18,1,0.62,85047.2,89120.1,111978.6,117955.9,None, None, None, None, None,None, None, None, None, None
776.5458882,H79 C41 N1 O10 P1 ,PS,35,0,0,PS 35:0:0,1.52,53748.2,48184.8,50137.5,76269.8,269.2488785,17,0,1.01,1017.7,1251.4,2049.6,1051.7,283.2644577,18,0,0.71,13093.4,11162.1,8296.6,9180.3,None, None, None, None, None,None, None, None, None, None
782.4979146,H73 C42 N1 O10 P1 ,PS,36,4,0,PS 36:4:0,0.2,103148.7,102208.6,150964.7,184123.4,253.217392,16,1,0.34,3281.2,3559.2,5155.1,4725.7,305.248909,20,3,0.99,419,429.4,527.5,620.6,None, None, None, None, None,None, None, None, None, None
