PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_brain_01.mzXML,PRI:20180509_PC_brain_02.mzXML,PRI:20180509_PC_brain_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_brain_01.mzXML,FA1I:20180509_PC_brain_02.mzXML,FA1I:20180509_PC_brain_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_brain_01.mzXML,FA2I:20180509_PC_brain_02.mzXML,FA2I:20180509_PC_brain_03.mzXML,FACO1M,FACO1I:20180509_PC_brain_01.mzXML,FACO1I:20180509_PC_brain_02.mzXML,FACO1I:20180509_PC_brain_03.mzXML,FACO2M,FACO2I:20180509_PC_brain_01.mzXML,FACO2I:20180509_PC_brain_02.mzXML,FACO2I:20180509_PC_brain_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.435550211,H65 C33 N1 O10 P1 ,PC,24.0,0.0,0.0,PC 24:0:0,0.59,1021073.6,874924.1,1013987.8,199.169540405,12.0,0.0,-4.09,841441.3,683698.8,782381.6,199.169540405,12.0,0.0,-4.09,841441.3,683698.8,782381.6,None, None, None, None, None, None, None, None
680.450809,H67 C34 N1 O10 P1 ,PC,25.0,0.0,0.0,PC 25:0:0,0.0,952277.6,824375.1,957926.5,199.169540405,12.0,0.0,-4.09,239160.7,189069.6,209273.0,213.18535359700002,13.0,0.0,-3.06,661672.7,530974.4,582118.7,None, None, None, None, None, None, None, None
750.529442626,H77 C39 N1 O10 P1 ,PC,30.0,0.0,0.0,PC 30:0:0,0.51,15995.5,13982.3,18367.8,227.201187134,14.0,0.0,-2.06,8756.7,7044.3,7794.0,255.232859294,16.0,0.0,-0.38,10187.4,7954.9,9447.4,None, None, None, None, None, None, None, None
774.529646077,H77 C41 N1 O10 P1 ,PC,32.0,2.0,0.0,PC 32:2:0,0.76,6963.1,5411.8,7333.8,251.20150756799998,16.0,2.0,-0.59,2406.6,1988.0,2077.4,255.232879639,16.0,0.0,-0.3,1823.3,1422.7,1593.8,None, None, None, None, None, None, None, None
774.529646077,H77 C41 N1 O10 P1 ,PC,32.0,2.0,0.0,PC 32:2:0,0.76,6963.1,5411.8,7333.8,253.217203776,16.0,1.0,-0.4,4573.7,3052.8,4053.8,253.217203776,16.0,1.0,-0.4,4573.7,3052.8,4053.8,None, None, None, None, None, None, None, None
776.545149007,H79 C41 N1 O10 P1 ,PC,32.0,1.0,0.0,PC 32:1:0,0.57,204709.5,175368.8,218571.2,227.201187134,14.0,0.0,-2.06,5739.1,4456.2,4774.5,281.248636882,18.0,1.0,0.11,6767.2,5847.3,6192.4,None, None, None, None, None, None, None, None
776.545149007,H79 C41 N1 O10 P1 ,PC,32.0,1.0,0.0,PC 32:1:0,0.57,204709.5,175368.8,218571.2,253.217203776,16.0,1.0,-0.4,124850.7,109817.7,112518.1,255.232838949,16.0,0.0,-0.46,89371.1,76970.1,80643.3,None, None, None, None, None, None, None, None
778.561547118,H81 C41 N1 O10 P1 ,PC,32.0,0.0,0.0,PC 32:0:0,1.53,157445.0,130383.5,169240.0,227.201182048,14.0,0.0,-2.08,1609.2,1162.2,1460.5,283.264322917,18.0,0.0,0.24,399.5,411.3,392.5,None, None, None, None, None, None, None, None
778.561547118,H81 C41 N1 O10 P1 ,PC,32.0,0.0,0.0,PC 32:0:0,1.53,157445.0,130383.5,169240.0,255.232859294,16.0,0.0,-0.38,195936.0,154423.4,166642.2,255.232859294,16.0,0.0,-0.38,195936.0,154423.4,166642.2,None, None, None, None, None, None, None, None
800.545372802,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.83,5291.0,4394.8,5653.3,251.20149739599998,16.0,2.0,-0.63,514.6,472.3,395.2,281.248626709,18.0,1.0,0.08,754.4,702.1,923.3,None, None, None, None, None, None, None, None
800.545372802,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.83,5291.0,4394.8,5653.3,253.21719360400002,16.0,1.0,-0.44,1124.4,839.3,936.3,279.23295593299997,18.0,2.0,0.0,1115.9,0.0,615.5,None, None, None, None, None, None, None, None
800.545372802,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.83,5291.0,4394.8,5653.3,255.232894897,16.0,0.0,-0.24,1495.0,1316.7,1445.0,277.217305501,18.0,3.0,0.0,2511.0,1975.5,2187.6,None, None, None, None, None, None, None, None
802.561180908,H81 C43 N1 O10 P1 ,PC,34.0,2.0,0.0,PC 34:2:0,1.02,118785.9,100613.5,126459.3,253.21719869,16.0,1.0,-0.42,29257.1,23795.5,26270.3,281.248606364,18.0,1.0,0.0,28816.0,24707.9,28228.0,None, None, None, None, None, None, None, None
802.561180908,H81 C43 N1 O10 P1 ,PC,34.0,2.0,0.0,PC 34:2:0,1.02,118785.9,100613.5,126459.3,255.232859294,16.0,0.0,-0.38,35846.1,27695.8,32408.9,279.232961019,18.0,2.0,0.02,48625.9,39470.3,43645.3,None, None, None, None, None, None, None, None
