Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
PC 24:0:0	11.924275	12.08632	11.208291	[11.208291..12.08632]	Sum	[10.434181..10.908014]	[10.618045..11.657857]	[10.957384..11.416719]	[10.434181..11.657857]	
					PC 12:0/12:0	[10.460161..10.890927]	[10.6547575..11.620056]	[10.990076..11.38957]	[10.460161..11.620056]	
PC 25:0:0	11.120863	11.388029	10.588607	[10.588607..11.388029]	Sum	[10.69688..11.176524]	[10.718913..11.058414]	[10.989746..11.595679]	[10.69688..11.595679]	
					PC 13:0/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 12:0/13:0	[10.723515..11.155502]	[10.756717..11.025533]	[11.020465..11.566375]	[10.723515..11.566375]	
PC 30:0:0	0.18679821	0.19315338	0.20303167	[0.18679821..0.20303167]	Sum	[0.2021966..0.21090941]	[0.19793743..0.21907818]	[0.20889333..0.2343792]	[0.19793743..0.2343792]	
					PC 16:0/14:0	[0.07831402..0.08933321]	[0.07669567..0.09724458]	[0.07568772..0.09371515]	[0.07568772..0.09724458]	
					PC 14:0/16:0	[0.11716272..0.12859827]	[0.11071554..0.13376534]	[0.12650056..0.14901866]	[0.11071554..0.14901866]	
PC 32:0:0	1.8386699	1.8011354	1.8707238	[1.8011354..1.8707238]	Sum	[2.002941..2.151155]	[1.959906..2.1942832]	[1.9447731..2.1709428]	[1.9447731..2.1942832]	
					PC 18:0/14:0	[0.019514484..0.023740416]	[0.020384839..0.028325198]	[0.021134287..0.022235885]	[0.019514484..0.028325198]	
					PC 14:0/18:0	[0.0..0.0]	[0.0..5.6430094E-5]	[0.0..0.0]	[0.0..5.6430094E-5]	
					PC 16:0/16:0	[1.9843154..2.1281166]	[1.9462973..2.158786]	[1.9279417..2.1443784]	[1.9279417..2.158786]	
PC 32:1:0	2.3906329	2.4225683	2.416015	[2.3906329..2.4225683]	Sum	[2.1513739..2.317197]	[2.2310715..2.4422588]	[2.2979958..2.3720486]	[2.1513739..2.4422588]	
					PC 18:1/14:0	[0.043877527..0.057482764]	[0.048356295..0.055777352]	[0.050437286..0.056467373]	[0.043877527..0.057482764]	
					PC 14:0/18:1	[0.06617399..0.08163845]	[0.072597906..0.08066865]	[0.07026521..0.077332914]	[0.06617399..0.08163845]	
					PC 16:0/16:1	[1.2506241..1.5241095]	[1.2695838..1.6494867]	[1.3496517..1.5830994]	[1.2506241..1.6494867]	
