Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
PC 30:0:0	0.68532157	0.6920124	0.7823212	[0.68532157..0.7823212]	Sum	[0.7472219..0.78108275]	[0.74042994..0.8148469]	[0.7739069..0.82476306]	[0.74042994..0.82476306]	
					PC 16:0/14:0	[0.28642476..0.3348933]	[0.28381243..0.3656014]	[0.27717662..0.33302373]	[0.27717662..0.3656014]	
					PC 14:0/16:0	[0.4285095..0.48209062]	[0.409703..0.5029051]	[0.4632587..0.5295488]	[0.409703..0.5295488]	
PC 32:0:0	6.7456756	6.4529443	7.2082686	[6.4529443..7.2082686]	Sum	[7.435606..7.928188]	[7.331473..8.161492]	[7.204985..7.946483]	[7.204985..8.161492]	
					PC 18:0/14:0	[0.072604194..0.089839414]	[0.07561155..0.10607748]	[0.07533204..0.081629865]	[0.072604194..0.10607748]	
					PC 14:0/18:0	[0.0..0.0]	[0.0..2.1215496E-4]	[0.0..0.0]	[0.0..2.1215496E-4]	
					PC 16:0/16:0	[7.3578167..7.8555837]	[7.2554812..8.056706]	[7.123355..7.868471]	[7.123355..8.056706]	
PC 32:1:0	8.770706	8.679358	9.309383	[8.679358..9.309383]	Sum	[8.192901..8.587227]	[8.44599..9.061723]	[8.174112..8.738788]	[8.174112..9.061723]	
					PC 18:1/14:0	[0.16579647..0.21439728]	[0.18176211..0.20970093]	[0.18470679..0.20719285]	[0.16579647..0.21439728]	
					PC 14:0/18:1	[0.2500463..0.30449232]	[0.27288172..0.3032824]	[0.2573188..0.2837537]	[0.2500463..0.30449232]	
					PC 16:0/16:1	[4.7155423..5.684572]	[4.772124..6.1490192]	[4.805474..5.860955]	[4.7155423..6.1490192]	
					PC 16:1/16:0	[2.3462698..3.1535451]	[2.3035128..3.4180546]	[2.2803044..3.1058054]	[2.2803044..3.4180546]	
PC 32:2:0	0.29833156	0.26784095	0.31236115	[0.26784095..0.31236115]	Sum	[0.13315792..0.1693112]	[0.14018403..0.14818424]	[0.13236594..0.17082311]	[0.13236594..0.17082311]	
					PC 16:1/16:1	[0.13315792..0.1693112]	[0.14018403..0.14818424]	[0.13236594..0.17082311]	[0.13236594..0.17082311]	
PC 34:1:0	111.23717	107.62834	117.53316	[107.62834..117.53316]	Sum	[111.544395..118.4851]	[110.728294..116.63486]	[107.96654..110.95347]	[107.96654..118.4851]	
					PC 18:0/16:1	[1.5640907..2.059158]	[1.6289647..2.0995662]	[1.6129708..1.956547]	[1.5640907..2.0995662]	
					PC 16:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:1/16:0	[18.451735..23.662643]	[18.469376..22.932983]	[18.369678..25.576368]	[18.369678..25.576368]	
					PC 16:0/18:1	[87.949585..96.62246]	[87.31971..94.81248]	[81.70234..90.11588]	[81.70234..96.62246]	
PC 34:2:0	5.0893397	4.9795666	5.386153	[4.9795666..5.386153]	Sum	[4.979532..5.0929375]	[4.9297867..5.111748]	[4.9269586..5.252611]	[4.9269586..5.252611]	
					PC 18:1/16:1	[0.84360284..1.208741]	[0.856574..0.9016786]	[0.80578274..0.9604277]	[0.80578274..1.208741]	
					PC 16:1/18:1	[0.8029706..1.1653503]	[1.1307576..1.1856556]	[1.09916..1.2699695]	[0.8029706..1.2699695]	
					PC 18:2/16:0	[1.0147816..1.0277262]	[0.90826476..1.1231599]	[0.9989093..1.1176573]	[0.90826476..1.1231599]	
					PC 16:0/18:2	[2.0061538..2.0250463]	[1.8430698..2.0726042]	[1.8744239..2.0377178]	[1.8430698..2.0726042]	
PC 34:3:0	0.22669102	0.21750757	0.2407853	[0.21750757..0.2407853]	Sum	[0.17724212..0.2562476]	[0.14937344..0.26522607]	[0.16519994..0.25665817]	[0.14937344..0.26522607]	
					PC 18:2/16:1	[0.033433292..0.056087974]	[0.017900145..0.062072683]	[0.032092378..0.04637463]	[0.017900145..0.062072683]	
					PC 16:1/18:2	[0.01922577..0.03874446]	[0.0..0.03035354]	[0.016830401..0.030101702]	[0.0..0.03874446]	
					PC 18:3 (6z-9z)/16:0	[0.018680321..0.052209612]	[0.013235303..0.054404832]	[0.027104383..0.06835919]	[0.013235303..0.06835919]	
					PC 16:0/18:3 (6z-9z)	[0.086444795..0.13568152]	[0.08266048..0.15469745]	[0.07347729..0.12601727]	[0.07347729..0.15469745]	
PC 36:1:0	55.243908	53.144913	59.45805	[53.144913..59.45805]	Sum	[51.946167..58.86333]	[48.39445..57.672554]	[48.90355..56.575863]	[48.39445..58.86333]	
					PC 20:1/16:0	[2.017768..2.503847]	[1.9903016..2.373842]	[1.9782685..2.2317748]	[1.9782685..2.503847]	
					PC 16:0/20:1	[1.0495101..1.4660206]	[1.0495481..1.335286]	[1.1998278..1.370388]	[1.0495101..1.4660206]	
					PC 18:0/18:1	[48.560646..55.294773]	[45.19461..54.14005]	[45.68685..53.318245]	[45.19461..55.294773]	
					PC 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PC 36:2:0	14.084831	13.838882	15.119071	[13.838882..15.119071]	Sum	[14.719766..15.415556]	[14.035336..14.817435]	[14.143959..14.924894]	[14.035336..15.415556]	
					PC 20:1/16:1	[0.088094234..0.14963788]	[0.08511571..0.12921499]	[0.10921699..0.16805775]	[0.08511571..0.16805775]	
					PC 16:1/20:1	[0.021534145..0.079301186]	[0.033762567..0.06782939]	[0.020236809..0.056663893]	[0.020236809..0.079301186]	
					PC 20:2/16:0	[0.6833723..0.7907094]	[0.62871283..0.7728178]	[0.75032306..0.90672964]	[0.62871283..0.90672964]	
					PC 16:0/20:2	[0.33451018..0.4322242]	[0.3716142..0.50828075]	[0.2560048..0.33551404]	[0.2560048..0.50828075]	
					PC 18:0/18:2	[2.0946045..2.3667555]	[1.9559999..2.1978595]	[2.0562065..2.2760897]	[1.9559999..2.3667555]	
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:1/18:1	[11.220828..11.830062]	[10.693112..11.348332]	[10.775223..11.307932]	[10.693112..11.830062]	
