Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 34:0:0	0.033527616	0.023968596	0.025203533	0.023960087	[0.023960087..0.033527616]	Sum	[0.035401486..0.035401486]	[0.035407484..0.035407484]	[0.034322783..0.034322783]	[0.039253082..0.039253082]	[0.034322783..0.039253082]	
						PS 16:0-18:0	[0.03540149..0.03540149]	[0.035407476..0.035407476]	[0.03432278..0.03432278]	[0.039253086..0.039253086]	[0.03432278..0.039253086]	
PS 34:1:0	1.6930273	1.7001076	1.6923828	1.6929666	[1.6923828..1.7001076]	Sum	[1.3980594..1.3980594]	[1.4872947..1.4872947]	[1.3893542..1.3893542]	[1.390721..1.390721]	[1.3893542..1.4872947]	
						PS 16:1-18:0	[0.3261343..0.3261343]	[0.353019..0.353019]	[0.3222055..0.3222055]	[0.3219465..0.3219465]	[0.3219465..0.353019]	
						PS 16:0-18:1	[1.0719252..1.0719252]	[1.1342753..1.1342753]	[1.0671486..1.0671486]	[1.0687745..1.0687745]	[1.0671486..1.1342753]	
PS 34:2:0	0.07359872	0.08238349	0.083031654	0.061353803	[0.061353803..0.083031654]	Sum	[0.076999575..0.076999575]	[0.085127145..0.085127145]	[0.07693122..0.07693122]	[0.088446416..0.088446416]	[0.07693122..0.088446416]	
						PS 16:2-18:0	[0.010243975..0.010243975]	[0.014562404..0.014562404]	[0.013059476..0.013059476]	[0.0211685..0.0211685]	[0.010243975..0.0211685]	
						PS 16:1-18:1	[0.048548494..0.048548494]	[0.05178323..0.05178323]	[0.04664777..0.04664777]	[0.048691254..0.048691254]	[0.04664777..0.05178323]	
						PS 16:0-18:2	[0.01820711..0.01820711]	[0.018781487..0.018781487]	[0.017223971..0.017223971]	[0.018586678..0.018586678]	[0.017223971..0.018781487]	
PS 35:0:0	0.024261521	0.020267587	0.016342085	0.022351732	[0.016342085..0.024261521]	Sum	[0.014512516..0.014512516]	[0.013094274..0.013094274]	[0.009001251..0.009001251]	[0.009501564..0.009501564]	[0.009001251..0.014512516]	
						PS 17:0-18:0	[0.0145125175..0.0145125175]	[0.0130942715..0.0130942715]	[0.009001251..0.009001251]	[0.009501565..0.009501565]	[0.009001251..0.0145125175]	
PS 35:1:0	0.48076728	0.4893181	0.507378	0.50475866	[0.48076728..0.507378]	Sum	[0.43736872..0.43736872]	[0.45445684..0.45445684]	[0.42694494..0.42694494]	[0.43984467..0.43984467]	[0.42694494..0.45445684]	
						PS 17:1-18:0	[0.13114294..0.13114294]	[0.13944638..0.13944638]	[0.12836985..0.12836985]	[0.13213101..0.13213101]	[0.12836985..0.13944638]	
						PS 17:0-18:1	[0.30622584..0.30622584]	[0.31501037..0.31501037]	[0.29857504..0.29857504]	[0.3077137..0.3077137]	[0.29857504..0.31501037]	
PS 36:1:0	49.371433	49.260105	49.284737	48.830112	[48.830112..49.371433]	Sum	[45.264748..45.264748]	[43.916176..43.916176]	[45.906563..45.906563]	[46.042183..46.042183]	[43.916176..46.042183]	
						PS 18:0-18:1	[45.26475..45.26475]	[43.916164..43.916164]	[45.90656..45.90656]	[46.042187..46.042187]	[43.916164..46.042187]	
PS 36:2:0	6.643991	6.6602526	6.604212	6.5857625	[6.5857625..6.6602526]	Sum	[6.0890956..6.0890956]	[5.9213495..5.9213495]	[5.6876726..5.6876726]	[5.522056..5.522056]	[5.522056..6.0890956]	
						PS 18:0-18:2	[0.50681263..0.50681263]	[0.43933108..0.43933108]	[0.46769887..0.46769887]	[0.41407588..0.41407588]	[0.41407588..0.50681263]	
						PS 18:1/18:1	[5.5822835..5.5822835]	[5.4820166..5.4820166]	[5.2199736..5.2199736]	[5.1079807..5.1079807]	[5.1079807..5.5822835]	
PS 36:3:0	0.11541686	0.12819429	0.12521555	0.11680399	[0.11541686..0.12819429]	Sum	[0.1343952..0.1343952]	[0.1408902..0.1408902]	[0.13115682..0.13115682]	[0.13658772..0.13658772]	[0.13115682..0.1408902]	
						PS 16:1-20:2	[0.0011516871..0.0011516871]	[0.001254075..0.001254075]	[0.0011753817..0.0011753817]	[0.0011918764..0.0011918764]	[0.0011516871..0.001254075]	
						PS 16:0-20:3 (0z-11z)	[0.013278998..0.013278998]	[0.014060184..0.014060184]	[0.013566491..0.013566491]	[0.014471447..0.014471447]	[0.013278998..0.014471447]	
						PS 18:0-18:3 (0z-9z)	[0.012342339..0.012342339]	[0.012977842..0.012977842]	[0.0115851415..0.0115851415]	[0.011989381..0.011989381]	[0.0115851415..0.012977842]	
						PS 18:1-18:2	[0.10762217..0.10762217]	[0.11259806..0.11259806]	[0.104829796..0.104829796]	[0.10893503..0.10893503]	[0.104829796..0.11259806]	
PS 36:4:0	0.09312383	0.08598523	0.09841582	0.10792118	[0.08598523..0.10792118]	Sum	[0.091079555..0.091079555]	[0.09851623..0.09851623]	[0.09689814..0.09689814]	[0.100859605..0.100859605]	[0.091079555..0.100859605]	
						PS 16:1-20:3 (0z-11z)	[0.005790188..0.005790188]	[0.005856187..0.005856187]	[0.006008992..0.006008992]	[0.00646412..0.00646412]	[0.005790188..0.00646412]	
						PS 16:0-20:4 (0z-8z)	[0.08422944..0.08422944]	[0.0915413..0.0915413]	[0.089873664..0.089873664]	[0.093284264..0.093284264]	[0.08422944..0.093284264]	
						PS 18:2/18:2	[0.0010599318..0.0010599318]	[0.0011187244..0.0011187244]	[0.0010154814..0.0010154814]	[0.0011112248..0.0011112248]	[0.0010154814..0.0011187244]	
PS 37:0:0	0.08135035	0.07371149	0.078607515	0.071235746	[0.071235746..0.08135035]	Sum	[0.039149724..0.039149724]	[0.040891536..0.040891536]	[0.03495519..0.03495519]	[0.03551439..0.03551439]	[0.03495519..0.040891536]	
						PS 18:0-19:0	[0.03914973..0.03914973]	[0.04089152..0.04089152]	[0.03495519..0.03495519]	[0.035514392..0.035514392]	[0.03495519..0.04089152]	
PS 37:1:0	0.43489537	0.44473937	0.4280821	0.44704553	[0.4280821..0.44704553]	Sum	[0.38435248..0.38435248]	[0.40989438..0.40989438]	[0.38093674..0.38093674]	[0.40053272..0.40053272]	[0.38093674..0.40989438]	
						PS 17:0-20:1	[0.025311625..0.025311625]	[0.029331451..0.029331451]	[0.027683541..0.027683541]	[0.02761342..0.02761342]	[0.025311625..0.029331451]	
						PS 18:1-19:0	[0.15552863..0.15552863]	[0.16086692..0.16086692]	[0.14995289..0.14995289]	[0.15851967..0.15851967]	[0.14995289..0.16086692]	
						PS 18:0-19:1	[0.20351227..0.20351227]	[0.21969588..0.21969588]	[0.2033003..0.2033003]	[0.21439968..0.21439968]	[0.2033003..0.21969588]	
PS 37:2:0	0.1411727	0.12828943	0.13231933	0.13978517	[0.12828943..0.1411727]	Sum	[0.12935647..0.12935647]	[0.13508086..0.13508086]	[0.12628032..0.12628032]	[0.12999222..0.12999222]	[0.12628032..0.13508086]	
						PS 17:1-20:1	[0.003723401..0.003723401]	[0.0039117783..0.0039117783]	[0.0036805957..0.0036805957]	[0.0036663322..0.0036663322]	[0.0036663322..0.0039117783]	
						PS 17:0-20:2	[0.00601064..0.00601064]	[0.0065524206..0.0065524206]	[0.0059313914..0.0059313914]	[0.005728808..0.005728808]	[0.005728808..0.0065524206]	
						PS 18:2-19:0	[0.001407188..0.001407188]	[0.0015706781..0.0015706781]	[0.0014342465..0.0014342465]	[0.0014727578..0.0014727578]	[0.001407188..0.0015706781]	
						PS 18:1-19:1	[0.10358153..0.10358153]	[0.108018644..0.108018644]	[0.10198568..0.10198568]	[0.10590049..0.10590049]	[0.10198568..0.108018644]	
						PS 18:0-19:2	[0.014633724..0.014633724]	[0.015027303..0.015027303]	[0.013248387..0.013248387]	[0.013223833..0.013223833]	[0.013223833..0.015027303]	
PS 37:3:0	0.0	0.0	0.012794179	0.013657122	[0.0..0.013657122]	Sum	[0.038103513..0.038103513]	[0.040422235..0.040422235]	[0.039548427..0.039548427]	[0.041248176..0.041248176]	[0.038103513..0.041248176]	
						PS 17:0-20:3 (0z-11z)	[0.005404855..0.005404855]	[0.005826879..0.005826879]	[0.005541276..0.005541276]	[0.005892532..0.005892532]	[0.005404855..0.005892532]	
						PS 18:2-19:1	[0.0011008034..0.0011008034]	[0.0011671723..0.0011671723]	[8.680313E-4..8.680313E-4]	[9.715065E-4..9.715065E-4]	[8.680313E-4..0.0011671723]	
						PS 18:1-19:2	[0.016121194..0.016121194]	[0.016523028..0.016523028]	[0.017132886..0.017132886]	[0.017601052..0.017601052]	[0.016121194..0.017601052]	
						PS 18:0-19:3 (0z-9z)	[0.0154766645..0.0154766645]	[0.016905144..0.016905144]	[0.016006231..0.016006231]	[0.016783085..0.016783085]	[0.0154766645..0.016905144]	
PS 37:4:0	0.031587474	0.026678251	0.028636117	0.031410977	[0.026678251..0.031587474]	Sum	[0.028168544..0.028168544]	[0.029038887..0.029038887]	[0.029152362..0.029152362]	[0.030312553..0.030312553]	[0.028168544..0.030312553]	
						PS 17:1-20:3 (0z-11z)	[0.0024856639..0.0024856639]	[0.0025148857..0.0025148857]	[0.002716233..0.002716233]	[0.002607216..0.002607216]	[0.0024856639..0.002716233]	
						PS 17:0-20:4 (0z-8z)	[0.025682881..0.025682881]	[0.026523996..0.026523996]	[0.026436128..0.026436128]	[0.02770534..0.02770534]	[0.025682881..0.02770534]	
PS 38:1:0	3.4999435	3.5175734	3.4763548	3.4824615	[3.4763548..3.5175734]	Sum	[3.4046915..3.4046915]	[3.753402..3.753402]	[3.3729124..3.3729124]	[3.3965032..3.3965032]	[3.3729124..3.753402]	
						PS 18:1-20:0	[0.42638057..0.42638057]	[0.44976935..0.44976935]	[0.4238475..0.4238475]	[0.44623902..0.44623902]	[0.4238475..0.44976935]	
						PS 18:0-20:1	[2.9783113..2.9783113]	[3.3036318..3.3036318]	[2.9490647..2.9490647]	[2.9502645..2.9502645]	[2.9490647..3.3036318]	
PS 38:2:0	2.074137	2.0805001	2.0619586	2.0669892	[2.0619586..2.0805001]	Sum	[2.0876389..2.0876389]	[2.216215..2.216215]	[2.0851905..2.0851905]	[2.1138718..2.1138718]	[2.0851905..2.216215]	
						PS 18:1-20:1	[1.1367589..1.1367589]	[1.2016395..1.2016395]	[1.1440699..1.1440699]	[1.1501926..1.1501926]	[1.1367589..1.2016395]	
						PS 18:0-20:2	[0.95088005..0.95088005]	[1.0145748..1.0145748]	[0.94112056..0.94112056]	[0.9636793..0.9636793]	[0.94112056..1.0145748]	
PS 38:3:0	1.4348398	1.4533403	1.3982654	1.4722804	[1.3982654..1.4722804]	Sum	[1.1531132..1.1531132]	[1.2594411..1.2594411]	[1.1968079..1.1968079]	[1.2676258..1.2676258]	[1.1531132..1.2676258]	
						PS 18:1-20:2	[0.22718976..0.22718976]	[0.26164114..0.26164114]	[0.24825807..0.24825807]	[0.26130724..0.26130724]	[0.22718976..0.26164114]	
						PS 18:0-20:3 (0z-11z)	[0.9259235..0.9259235]	[0.9977995..0.9977995]	[0.9485496..0.9485496]	[1.0063186..1.0063186]	[0.9259235..1.0063186]	
PS 38:4:0	4.627048	4.677904	4.9306936	4.950501	[4.627048..4.950501]	Sum	[4.9864726..4.9864726]	[4.982945..4.982945]	[5.190212..5.190212]	[4.9304113..4.9304113]	[4.9304113..5.190212]	
						PS 18:1-20:3 (0z-11z)	[0.8573734..0.8573734]	[0.8796154..0.8796154]	[0.9013553..0.9013553]	[0.832983..0.832983]	[0.832983..0.9013553]	
						PS 18:0-20:4 (0z-8z)	[4.1290994..4.1290994]	[4.103328..4.103328]	[4.2888565..4.2888565]	[4.097429..4.097429]	[4.097429..4.2888565]	
