Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 34:0:0	0.067908935	0.048657216	0.05113862	0.049068265	[0.048657216..0.067908935]	Sum	[0.07820984..0.07820984]	[0.08062515..0.08062515]	[0.07476662..0.07476662]	[0.08525461..0.08525461]	[0.07476662..0.08525461]	
						PS 16:0-18:0	[0.07820984..0.07820984]	[0.08062515..0.08062515]	[0.07476662..0.07476662]	[0.08525461..0.08525461]	[0.07476662..0.08525461]	
PS 34:1:0	3.429164	3.4512868	3.4338884	3.4670546	[3.429164..3.4670546]	Sum	[3.0886276..3.0886276]	[3.386667..3.386667]	[3.026483..3.026483]	[3.0205367..3.0205367]	[3.0205367..3.386667]	
						PS 16:1-18:0	[0.7205039..0.7205039]	[0.8038475..0.8038475]	[0.7018726..0.7018726]	[0.6992424..0.6992424]	[0.6992424..0.8038475]	
						PS 16:0-18:1	[2.3681235..2.3681235]	[2.5828197..2.5828197]	[2.3246105..2.3246105]	[2.3212943..2.3212943]	[2.3212943..2.5828197]	
PS 34:2:0	0.14907147	0.1672418	0.16847336	0.12564749	[0.12564749..0.16847336]	Sum	[0.17010938..0.17010938]	[0.19384006..0.19384006]	[0.16758221..0.16758221]	[0.19209868..0.19209868]	[0.16758221..0.19384006]	
						PS 16:2-18:0	[0.02263124..0.02263124]	[0.033159554..0.033159554]	[0.028447958..0.028447958]	[0.045976315..0.045976315]	[0.02263124..0.045976315]	
						PS 16:1-18:1	[0.10725453..0.10725453]	[0.11791382..0.11791382]	[0.10161461..0.10161461]	[0.10575356..0.10575356]	[0.10161461..0.11791382]	
						PS 16:0-18:2	[0.0402236..0.0402236]	[0.04276668..0.04276668]	[0.037519634..0.037519634]	[0.040368803..0.040368803]	[0.037519634..0.04276668]	
PS 35:0:0	0.04914081	0.041144017	0.03315851	0.045774486	[0.03315851..0.04914081]	Sum	[0.03206141..0.03206141]	[0.029816518..0.029816518]	[0.01960777..0.01960777]	[0.020636652..0.020636652]	[0.01960777..0.03206141]	
						PS 17:0-18:0	[0.03206141..0.03206141]	[0.029816518..0.029816518]	[0.01960777..0.01960777]	[0.020636652..0.020636652]	[0.01960777..0.03206141]	
PS 35:1:0	0.9737762	0.9933355	1.029483	1.0337037	[0.9737762..1.0337037]	Sum	[0.96624583..0.96624583]	[1.0348278..1.0348278]	[0.93003035..0.93003035]	[0.955308..0.955308]	[0.93003035..1.0348278]	
						PS 17:1-18:0	[0.2897242..0.2897242]	[0.31752858..0.31752858]	[0.27963293..0.27963293]	[0.28697816..0.28697816]	[0.27963293..0.31752858]	
						PS 17:0-18:1	[0.6765216..0.6765216]	[0.71729934..0.71729934]	[0.6503974..0.6503974]	[0.6683299..0.6683299]	[0.6503974..0.71729934]	
