PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_egg_01.mzXML,PRI:20180509_PC_egg_02.mzXML,PRI:20180509_PC_egg_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_egg_01.mzXML,FA1I:20180509_PC_egg_02.mzXML,FA1I:20180509_PC_egg_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_egg_01.mzXML,FA2I:20180509_PC_egg_02.mzXML,FA2I:20180509_PC_egg_03.mzXML,FACO1M,FACO1I:20180509_PC_egg_01.mzXML,FACO1I:20180509_PC_egg_02.mzXML,FACO1I:20180509_PC_egg_03.mzXML,FACO2M,FACO2I:20180509_PC_egg_01.mzXML,FACO2I:20180509_PC_egg_02.mzXML,FACO2I:20180509_PC_egg_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.435529866,H65 C33 N1 O10 P1 ,PC,24.0,0.0,0.0,PC 24:0:0,0.56,869290.9,734949.1,693263.2,199.169489543,12.0,0.0,-4.35,726527.1,634939.1,547825.2,199.169489543,12.0,0.0,-4.35,726527.1,634939.1,547825.2,None, None, None, None, None, None, None, None
680.450809,H67 C34 N1 O10 P1 ,PC,25.0,0.0,0.0,PC 25:0:0,0.0,820127.9,693810.9,645902.6,199.169489543,12.0,0.0,-4.35,209883.7,179372.9,128170.9,213.18530782099998,13.0,0.0,-3.27,569737.6,487308.5,349586.6,None, None, None, None, None, None, None, None
774.529503661,H77 C41 N1 O10 P1 ,PC,32.0,2.0,0.0,PC 32:2:0,0.57,7553.9,5416.1,5797.9,227.201141357,14.0,0.0,-2.26,1499.7,1392.4,1061.7,279.232889811,18.0,2.0,-0.23,5663.3,4766.6,3675.7,None, None, None, None, None, None, None, None
774.529503661,H77 C41 N1 O10 P1 ,PC,32.0,2.0,0.0,PC 32:2:0,0.57,7553.9,5416.1,5797.9,253.21716817200002,16.0,1.0,-0.54,1147.7,996.7,1060.5,253.21716817200002,16.0,1.0,-0.54,1147.7,996.7,1060.5,None, None, None, None, None, None, None, None
776.545169352,H79 C41 N1 O10 P1 ,PC,32.0,1.0,0.0,PC 32:1:0,0.59,52931.9,44738.7,38930.0,227.201141357,14.0,0.0,-2.26,3307.2,2561.8,2025.4,281.248575846,18.0,1.0,-0.1,10841.9,9586.9,7643.9,None, None, None, None, None, None, None, None
776.545169352,H79 C41 N1 O10 P1 ,PC,32.0,1.0,0.0,PC 32:1:0,0.59,52931.9,44738.7,38930.0,253.217137655,16.0,1.0,-0.66,32934.6,29575.9,23678.0,255.232803345,16.0,0.0,-0.6,12368.2,11089.3,8253.5,None, None, None, None, None, None, None, None
778.56199471,H81 C41 N1 O10 P1 ,PC,32.0,0.0,0.0,PC 32:0:0,2.1,23084.7,18857.4,17741.6,255.23282369,16.0,0.0,-0.52,26538.9,26297.8,18491.8,255.23282369,16.0,0.0,-0.52,26538.9,26297.8,18491.8,None, None, None, None, None, None, None, None
800.545474527,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.96,53208.9,43519.8,39352.4,253.217158,16.0,1.0,-0.58,10395.6,8926.8,5567.4,279.232910156,18.0,2.0,-0.16,31672.4,29087.5,20268.6,None, None, None, None, None, None, None, None
800.545474527,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.96,53208.9,43519.8,39352.4,255.23282369,16.0,0.0,-0.52,5969.2,4449.6,3227.1,277.21725463900003,18.0,3.0,-0.18,15921.3,14965.8,9852.7,None, None, None, None, None, None, None, None
802.561038492,H81 C43 N1 O10 P1 ,PC,34.0,2.0,0.0,PC 34:2:0,0.85,1415159.4,1161257.4,1038071.3,253.21716817200002,16.0,1.0,-0.54,19542.6,17592.5,12899.8,281.248524984,18.0,1.0,-0.29,54371.1,48088.5,34715.6,None, None, None, None, None, None, None, None
802.561038492,H81 C43 N1 O10 P1 ,PC,34.0,2.0,0.0,PC 34:2:0,0.85,1415159.4,1161257.4,1038071.3,255.232813517,16.0,0.0,-0.56,362763.5,316553.1,202570.3,279.232899984,18.0,2.0,-0.2,1167440.5,984580.7,677581.1,None, None, None, None, None, None, None, None
804.576399007,H83 C43 N1 O10 P1 ,PC,34.0,1.0,0.0,PC 34:1:0,0.48,2020848.6,1648892.2,1453832.0,255.23282369,16.0,0.0,-0.52,549377.1,459419.4,324734.8,281.248565674,18.0,1.0,-0.14,1856208.1,1514070.9,1087643.6,None, None, None, None, None, None, None, None
824.545515217,H79 C45 N1 O10 P1 ,PC,36.0,5.0,0.0,PC 36:5:0,0.98,5315.7,4799.8,4214.2,253.21716308599997,16.0,1.0,-0.56,539.4,547.5,0.0,303.232991536,20.0,4.0,0.12,2264.1,2052.3,1401.2,None, None, None, None, None, None, None, None
824.545515217,H79 C45 N1 O10 P1 ,PC,36.0,5.0,0.0,PC 36:5:0,0.98,5315.7,4799.8,4214.2,277.21716308599997,18.0,3.0,-0.51,430.8,632.2,366.6,279.232940674,18.0,2.0,-0.05,2774.8,2975.6,1903.8,None, None, None, None, None, None, None, None
