Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
PC 24:0:0	43.245777	43.219162	43.79164	[43.219162..43.79164]	Sum	[39.69707..39.69707]	[40.89674..40.89674]	[43.34124..43.34124]	[39.69707..43.34124]	
					PC 12:0/12:0	[39.69707..39.69707]	[40.89674..40.89674]	[43.34124..43.34124]	[39.69707..43.34124]	
PC 25:0:0	40.8	40.800003	40.8	[40.8..40.800003]	Sum	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	
					PC 12:0-13:0	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	
PC 32:0:0	1.1484255	1.1089218	1.120691	[1.1089218..1.1484255]	Sum	[1.4088221..1.4088221]	[1.4397126..1.4397126]	[1.4769826..1.4769826]	[1.4088221..1.4769826]	
					PC 16:0/16:0	[1.4088221..1.4088221]	[1.4397126..1.4397126]	[1.4769826..1.4769826]	[1.4088221..1.4769826]	
PC 32:1:0	2.633274	2.6308885	2.4591074	[2.4591074..2.633274]	Sum	[3.257056..3.257056]	[3.1875665..3.1875665]	[2.783999..2.783999]	[2.783999..3.257056]	
					PC 14:0-18:1	[0.73347694..0.73347694]	[0.7641815..0.7641815]	[0.642944..0.642944]	[0.642944..0.7641815]	
					PC 16:0-16:1	[2.5235791..2.5235791]	[2.423385..2.423385]	[2.141055..2.141055]	[2.141055..2.5235791]	
PC 32:2:0	0.37579396	0.3184973	0.36623836	[0.3184973..0.37579396]	Sum	[0.41521686..0.41521686]	[0.35765117..0.35765117]	[0.4060134..0.4060134]	[0.35765117..0.41521686]	
					PC 14:0-18:2	[0.34863797..0.34863797]	[0.29570216..0.29570216]	[0.3345373..0.3345373]	[0.29570216..0.34863797]	
					PC 16:1/16:1	[0.066578925..0.066578925]	[0.061949037..0.061949037]	[0.071476094..0.071476094]	[0.061949037..0.071476094]	
PC 34:1:0	100.53386	96.96419	91.83481	[91.83481..100.53386]	Sum	[123.11435..123.11435]	[125.54956..125.54956]	[126.75042..126.75042]	[123.11435..126.75042]	
					PC 16:0-18:1	[123.11435..123.11435]	[125.54956..125.54956]	[126.75042..126.75042]	[123.11435..126.75042]	
PC 34:2:0	70.401825	68.2885	65.57228	[65.57228..70.401825]	Sum	[81.22221..81.22221]	[79.50933..79.50933]	[73.32859..73.32859]	[73.32859..81.22221]	
					PC 16:1-18:1	[3.9131105..3.9131105]	[4.177736..4.177736]	[3.4186854..3.4186854]	[3.4186854..4.177736]	
					PC 16:0-18:2	[77.309105..77.309105]	[75.3316..75.3316]	[69.90991..69.90991]	[69.90991..77.309105]	
PC 34:3:0	2.6470542	2.5592103	2.4857893	[2.4857893..2.6470542]	Sum	[2.8912904..2.8912904]	[2.9351397..2.9351397]	[2.4470332..2.4470332]	[2.4470332..2.9351397]	
					PC 16:1-18:2	[2.0408382..2.0408382]	[2.0733318..2.0733318]	[1.6831232..1.6831232]	[1.6831232..2.0733318]	
