Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
PC 32:0:0	1.1484255	1.1089218	1.120691	[1.1089218..1.1484255]	Sum	[1.1514267..1.252141]	[1.2635015..1.3457717]	[1.1865873..1.3205407]	[1.1514267..1.3457717]	
					PC 16:0/16:0	[1.1514267..1.252141]	[1.2635015..1.3457717]	[1.1865873..1.3205407]	[1.1514267..1.3457717]	
PC 32:1:0	2.633274	2.6308885	2.4591074	[2.4591074..2.633274]	Sum	[2.4564526..2.7798269]	[2.5482392..2.7218256]	[2.3409436..2.906511]	[2.3409436..2.906511]	
					PC 18:1/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 14:0/18:1	[0.58624226..0.615744]	[0.60567313..0.6438645]	[0.53697133..0.6784332]	[0.53697133..0.6784332]	
					PC 16:0/16:1	[1.8194966..2.1666298]	[1.9311692..2.109774]	[1.8002626..2.2338839]	[1.8002626..2.2338839]	
					PC 16:1/16:0	[0.0..0.030332819]	[0.0..0.0063293227]	[0.0..0.0]	[0.0..0.030332819]	
PC 32:2:0	0.37579396	0.3184973	0.36623836	[0.3184973..0.37579396]	Sum	[0.3100773..0.37031227]	[0.31701264..0.35866463]	[0.3346076..0.40543273]	[0.3100773..0.40543273]	
					PC 18:2/14:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 14:0/18:2	[0.26574653..0.3124096]	[0.2633525..0.30881482]	[0.28060699..0.3314159]	[0.2633525..0.3314159]	
					PC 16:1/16:1	[0.044330787..0.057902686]	[0.049423337..0.053883158]	[0.054000616..0.07401681]	[0.044330787..0.07401681]	
PC 34:1:0	100.53386	96.96419	91.83481	[91.83481..100.53386]	Sum	[98.64762..101.47433]	[94.65402..104.884315]	[78.257805..104.024704]	[78.257805..104.884315]	
					PC 18:1/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/18:1	[98.64762..101.47433]	[94.65402..104.884315]	[78.257805..104.024704]	[78.257805..104.884315]	
PC 34:2:0	70.401825	68.2885	65.57228	[65.57228..70.401825]	Sum	[65.32108..71.09013]	[65.25159..69.57422]	[59.995907..64.18178]	[59.995907..71.09013]	
					PC 18:1/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:1/18:1	[2.8098967..3.1914158]	[3.0759184..3.382971]	[2.7562506..3.13796]	[2.7562506..3.382971]	
					PC 18:2/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/18:2	[62.511185..67.92146]	[62.17567..66.381775]	[57.23403..61.414085]	[57.23403..67.92146]	
PC 34:3:0	2.6470542	2.5592103	2.4857893	[2.4857893..2.6470542]	Sum	[2.4729824..2.7829592]	[2.5665758..2.830489]	[2.2397711..2.5646358]	[2.2397711..2.830489]	
					PC 18:2/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:1/18:2	[1.6679337..1.7625462]	[1.671812..1.7917463]	[1.4463634..1.6349318]	[1.4463634..1.7917463]	
