Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PE 32:0:0	227.2	240604_eggPE_25-35_3.mzXML	25.0	3821.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.01..1.019]	[3859.917..3894.313]	[0.052..0.052]	[0.0..0.0]	[1.01..1.01]	[3859.917..3859.917]	[0.052..0.052]	[0.0..0.0]	0.97417665	[3760.2407..3793.748]
Group-1	PE 32:0:0	227.2	240604_eggPE_25-35_3.mzXML	30.0	3326.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.032..1.043]	[3433.361..3469.957]	[0.037..0.037]	[0.0..0.0]	[1.032..1.032]	[3433.3606..3433.3606]	[0.037..0.037]	[0.0..0.0]	0.97417665	[3344.6997..3380.3508]
Group-1	PE 32:0:0	227.2	240604_eggPE_25-35_3.mzXML	35.0	3844.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.034..1.047]	[3975.11..4025.087]	[0.039..0.039]	[0.0..0.0]	[1.034..1.034]	[3975.1096..3975.1096]	[0.039..0.039]	[0.0..0.0]	0.97417665	[3872.459..3921.1455]
Group-1	PE 32:0:0	255.23	240604_eggPE_25-35_3.mzXML	25.0	113789.0	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[113789.0..113789.0]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[113789.0..113789.0]	[0.5..0.5]	[0.5..0.5]	0.97417665	[110850.586..110850.586]
Group-1	PE 32:0:0	255.23	240604_eggPE_25-35_3.mzXML	30.0	137042.1	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[137042.1..137042.1]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[137042.1..137042.1]	[0.5..0.5]	[0.5..0.5]	0.97417665	[133503.2..133503.2]
Group-1	PE 32:0:0	255.23	240604_eggPE_25-35_3.mzXML	35.0	135238.8	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[135238.8..135238.8]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[135238.8..135238.8]	[0.5..0.5]	[0.5..0.5]	0.97417665	[131746.48..131746.48]
Group-1	PE 32:0:0	283.26	240604_eggPE_25-35_3.mzXML	25.0	71159.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.988..0.995]	[70305.78..70803.91]	[0.948..0.948]	[1.0..1.0]	[0.995..0.995]	[70803.91..70803.91]	[0.948..0.948]	[1.0..1.0]	0.97417665	[68490.25..68975.51]
Group-1	PE 32:0:0	283.26	240604_eggPE_25-35_3.mzXML	30.0	93037.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.967..0.973]	[89967.266..90525.484]	[0.963..0.963]	[1.0..1.0]	[0.973..0.973]	[90525.484..90525.484]	[0.963..0.963]	[1.0..1.0]	0.97417665	[87644.01..88187.81]
Group-1	PE 32:0:0	283.26	240604_eggPE_25-35_3.mzXML	35.0	101236.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.964..0.969]	[97591.51..98097.68]	[0.961..0.961]	[1.0..1.0]	[0.969..0.969]	[98097.68..98097.68]	[0.961..0.961]	[1.0..1.0]	0.97417665	[95071.37..95564.48]
Group-1	PE 32:1:0	227.2	240604_eggPE_25-35_3.mzXML	25.0	8771.3	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[1.019..1.019]	[8937.955..8937.955]	[0.232..0.232]	[0.0..0.0]	[1.019..1.019]	[8937.955..8937.955]	[0.232..0.232]	[0.0..0.0]	0.976629	[8729.066..8729.066]
