Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
PE 32:0:0	0.012652836	-4.1407543E-6	0.002665074	[-4.1407543E-6..0.012652836]	Sum	[0.41823387..0.41823387]	[0.43130457..0.43130457]	[0.4591563..0.4591563]	[0.41823387..0.4591563]	
					PE 14:0-18:0	[0.1777484..0.1777484]	[0.18644257..0.18644257]	[0.20076768..0.20076768]	[0.1777484..0.20076768]	
					PE 16:0/16:0	[0.24048547..0.24048547]	[0.24486199..0.24486199]	[0.25838864..0.25838864]	[0.24048547..0.25838864]	
PE 32:1:0	0.7940509	0.86419016	0.8525686	[0.7940509..0.86419016]	Sum	[0.77500266..0.77500266]	[0.84647363..0.84647363]	[0.7956185..0.7956185]	[0.77500266..0.84647363]	
					PE 14:0-18:1	[0.072106004..0.072106004]	[0.08301207..0.08301207]	[0.07557519..0.07557519]	[0.072106004..0.08301207]	
					PE 16:0-16:1	[0.70289665..0.70289665]	[0.76346153..0.76346153]	[0.7200433..0.7200433]	[0.70289665..0.76346153]	
PE 33:1:0	0.13993746	0.14227502	0.14055671	[0.13993746..0.14227502]	Sum	[1.0689027..1.0689027]	[1.0393662..1.0393662]	[1.0882518..1.0882518]	[1.0393662..1.0882518]	
					PE 15:0-18:1	[0.7767202..0.7767202]	[0.7501274..0.7501274]	[0.779862..0.779862]	[0.7501274..0.779862]	
					PE 16:1-17:0	[0.08636724..0.08636724]	[0.083137825..0.083137825]	[0.08762862..0.08762862]	[0.083137825..0.08762862]	
					PE 16:0-17:1	[0.20581523..0.20581523]	[0.20610102..0.20610102]	[0.22076134..0.22076134]	[0.20581523..0.22076134]	
PE 34:1:0	40.8	40.8	40.8	[40.8..40.8]	Sum	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	[40.8..40.8]	
