Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PEO 34:3:0	277.22	240604_eggPEO_25-35_1.mzXML	25.0	3335.2	0.0	0.0	[6.0..9.0]	[0.5..0.5]	[1.068..1.068]	[3561.994..3561.994]	[0.5..0.5]	[0.5..0.5]	[1.068..1.068]	[3561.9934..3561.9934]	[0.5..0.5]	[0.5..0.5]	0.96459365	[3435.8762..3435.8762]
Group-1	PEO 34:3:0	277.22	240604_eggPEO_25-35_1.mzXML	30.0	3170.0	0.0	0.0	[6.0..9.0]	[0.5..0.5]	[1.288..1.288]	[4082.96..4082.96]	[0.5..0.5]	[0.5..0.5]	[1.288..1.288]	[4082.96..4082.96]	[0.5..0.5]	[0.5..0.5]	0.96459365	[3938.3975..3938.3975]
Group-1	PEO 34:3:0	277.22	240604_eggPEO_25-35_1.mzXML	35.0	2377.7	0.0	0.0	[6.0..9.0]	[0.5..0.5]	[1.66..1.66]	[3946.982..3946.982]	[0.5..0.5]	[0.5..0.5]	[1.66..1.66]	[3946.982..3946.982]	[0.5..0.5]	[0.5..0.5]	0.96459365	[3807.2334..3807.2334]
Group-1	PEO 36:2:0	279.23	240604_eggPEO_25-35_1.mzXML	25.0	943737.3	0.0	0.0	[9.0..9.0]	[0.5..0.5]	[0.913..0.913]	[861632.1..861632.1]	[0.5..0.5]	[0.5..0.5]	[0.913..0.913]	[861632.1..861632.1]	[0.5..0.5]	[0.5..0.5]	0.9303483	[801618.0..801618.0]
Group-1	PEO 36:2:0	279.23	240604_eggPEO_25-35_1.mzXML	30.0	1058272.8	0.0	0.0	[9.0..9.0]	[0.5..0.5]	[0.937..0.937]	[991601.56..991601.56]	[0.5..0.5]	[0.5..0.5]	[0.937..0.937]	[991601.56..991601.56]	[0.5..0.5]	[0.5..0.5]	0.9303483	[922534.8..922534.8]
Group-1	PEO 36:2:0	279.23	240604_eggPEO_25-35_1.mzXML	35.0	892509.5	0.0	0.0	[9.0..9.0]	[0.5..0.5]	[0.999..0.999]	[891617.0..891617.0]	[0.5..0.5]	[0.5..0.5]	[0.999..0.999]	[891617.0..891617.0]	[0.5..0.5]	[0.5..0.5]	0.9303483	[829514.4..829514.4]
Group-1	PEO 36:3:0	277.22	240604_eggPEO_25-35_1.mzXML	25.0	12056.0	0.0	0.0	[6.0..9.0]	[0.5..0.5]	[1.068..1.068]	[12875.808..12875.808]	[0.5..0.5]	[0.5..0.5]	[1.068..1.068]	[12875.808..12875.808]	[0.5..0.5]	[0.5..0.5]	0.9325677	[12007.5625..12007.5625]
Group-1	PEO 36:3:0	277.22	240604_eggPEO_25-35_1.mzXML	30.0	10293.9	0.0	0.0	[6.0..9.0]	[0.5..0.5]	[1.288..1.288]	[13258.544..13258.544]	[0.5..0.5]	[0.5..0.5]	[1.288..1.288]	[13258.544..13258.544]	[0.5..0.5]	[0.5..0.5]	0.9325677	[12364.489..12364.489]
Group-1	PEO 36:3:0	277.22	240604_eggPEO_25-35_1.mzXML	35.0	6514.7	0.0	0.0	[6.0..9.0]	[0.5..0.5]	[1.66..1.66]	[10814.402..10814.402]	[0.5..0.5]	[0.5..0.5]	[1.66..1.66]	[10814.402..10814.402]	[0.5..0.5]	[0.5..0.5]	0.9325677	[10085.162..10085.162]
Group-1	PEO 36:3:0	279.23	240604_eggPEO_25-35_1.mzXML	25.0	796429.1	0.0	0.0	[9.0..9.0]	[0.5..0.5]	[0.913..0.913]	[727139.8..727139.8]	[0.5..0.5]	[0.5..0.5]	[0.913..0.913]	[727139.8..727139.8]	[0.5..0.5]	[0.5..0.5]	0.9325677	[678107.06..678107.06]
