PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PG_FTMSMS-_1.mzXML,PRI:240116_PG_FTMSMS-_2.mzXML,PRI:240116_PG_FTMSMS-_3.mzXML,PRI:240116_PG_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PG_FTMSMS-_1.mzXML,FA1I:240116_PG_FTMSMS-_2.mzXML,FA1I:240116_PG_FTMSMS-_3.mzXML,FA1I:240116_PG_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PG_FTMSMS-_1.mzXML,FA2I:240116_PG_FTMSMS-_2.mzXML,FA2I:240116_PG_FTMSMS-_3.mzXML,FA2I:240116_PG_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PG_FTMSMS-_1.mzXML,FACO2I:240116_PG_FTMSMS-_2.mzXML,FACO2I:240116_PG_FTMSMS-_3.mzXML,FACO2I:240116_PG_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PGFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691.4563903808594,C36 H68 O10 P1 ,PG,30.0,1.0,0.0,PG 30:1:0,1.2,27346.8,0.0,0.0,26468.6,281.2487487792969,18.0,1.0,0.51,2506.3,3128.1,2830.9,3027.8,199.1697883605957,12.0,0.0,-2.84,517.9,678.6,805.0,591.6,, None, None, None, None
691.4563903808594,C36 H68 O10 P1 ,PG,30.0,1.0,0.0,PG 30:1:0,1.2,27346.8,0.0,0.0,26468.6,255.23301315307617,16.0,0.0,0.23,5951.2,6714.0,7652.2,5525.1,225.18572235107425,14.0,1.0,-1.26,6651.4,7165.8,7196.2,7816.5,, None, None, None, None
691.4563903808594,C36 H68 O10 P1 ,PG,30.0,1.0,0.0,PG 30:1:0,1.2,27346.8,0.0,0.0,26468.6,253.2173385620117,16.0,1.0,0.13,9769.7,10261.3,10285.0,10630.5,227.20139694213867,14.0,0.0,-1.14,4846.7,4896.5,5210.6,4723.9,, None, None, None, None
691.4563903808594,C36 H68 O10 P1 ,PG,30.0,1.0,0.0,PG 30:1:0,1.2,27346.8,0.0,0.0,26468.6,227.20139694213867,14.0,0.0,-1.14,4846.7,4896.5,5210.6,4723.9,253.2173385620117,16.0,1.0,0.13,9769.7,10261.3,10285.0,10630.5,, None, None, None, None
691.4563903808594,C36 H68 O10 P1 ,PG,30.0,1.0,0.0,PG 30:1:0,1.2,27346.8,0.0,0.0,26468.6,225.18572235107425,14.0,1.0,-1.26,6651.4,7165.8,7196.2,7816.5,255.23301315307617,16.0,0.0,0.23,5951.2,6714.0,7652.2,5525.1,, None, None, None, None
691.4563903808594,C36 H68 O10 P1 ,PG,30.0,1.0,0.0,PG 30:1:0,1.2,27346.8,0.0,0.0,26468.6,199.1697883605957,12.0,0.0,-2.84,517.9,678.6,805.0,591.6,281.2487487792969,18.0,1.0,0.51,2506.3,3128.1,2830.9,3027.8,, None, None, None, None
693.4719696044922,C36 H70 O10 P1 ,PG,30.0,0.0,0.0,PG 30:0:0,1.1,41692.1,64318.8,55220.0,60114.2,255.23300552368164,16.0,0.0,0.2,35006.4,35751.9,36663.1,35864.6,227.2013702392578,14.0,0.0,-1.25,36213.1,37243.7,37358.6,37682.4,, None, None, None, None
693.4719696044922,C36 H70 O10 P1 ,PG,30.0,0.0,0.0,PG 30:0:0,1.1,41692.1,64318.8,55220.0,60114.2,241.2171936035156,15.0,0.0,-0.46,925.6,779.9,816.5,601.6,241.2171936035156,15.0,0.0,-0.46,925.6,779.9,816.5,601.6,, None, None, None, None
