Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 30:0:0	0.048590913	0.06981885	0.05936128	0.065483086	[0.048590913..0.06981885]	Sum	[0.06195151..0.06195151]	[0.062848315..0.062848315]	[0.06512449..0.06512449]	[0.065081604..0.065081604]	[0.06195151..0.06512449]	
						PG 14:0-16:0	[0.061127007..0.061127007]	[0.06208497..0.06208497]	[0.06420482..0.06420482]	[0.064232424..0.064232424]	[0.061127007..0.064232424]	
						PG 15:0/15:0	[8.2450255E-4..8.2450255E-4]	[7.633505E-4..7.633505E-4]	[9.196723E-4..9.196723E-4]	[8.491802E-4..8.491802E-4]	[7.633505E-4..9.196723E-4]	
PG 30:1:0	0.03187189	0.0	0.0	0.02883255	[0.0..0.03187189]	Sum	[0.027181886..0.027181886]	[0.02931297..0.02931297]	[0.031556804..0.031556804]	[0.028344285..0.028344285]	[0.027181886..0.031556804]	
						PG 12:0-18:1	[0.0028745038..0.0028745038]	[0.0032659..0.0032659]	[0.003624481..0.003624481]	[0.0030961346..0.0030961346]	[0.0028745038..0.003624481]	
						PG 14:1-16:0	[0.011605586..0.011605586]	[0.013084214..0.013084214]	[0.014927736..0.014927736]	[0.012032238..0.012032238]	[0.011605586..0.014927736]	
						PG 14:0-16:1	[0.012701796..0.012701796]	[0.012962857..0.012962857]	[0.013004589..0.013004589]	[0.013215912..0.013215912]	[0.012701796..0.013215912]	
PG 31:0:0	0.0307394	0.0	0.0	0.03591874	[0.0..0.03591874]	Sum	[0.098823704..0.098823704]	[0.105379716..0.105379716]	[0.105622225..0.105622225]	[0.10689194..0.10689194]	[0.098823704..0.10689194]	
						PG 14:0-17:0	[0.0010009445..0.0010009445]	[0.0011547623..0.0011547623]	[0.0011317501..0.0011317501]	[0.0010541643..0.0010541643]	[0.0010009445..0.0011547623]	
						PG 15:0-16:0	[0.09782276..0.09782276]	[0.10422496..0.10422496]	[0.10449048..0.10449048]	[0.10583778..0.10583778]	[0.09782276..0.10583778]	
PG 32:0:0	1.8755442	1.833596	1.9343721	1.8305136	[1.8305136..1.9343721]	Sum	[1.6219114..1.6219114]	[1.7049856..1.7049856]	[1.7720578..1.7720578]	[1.717637..1.717637]	[1.6219114..1.7720578]	
						PG 14:0-18:0	[0.009885868..0.009885868]	[0.011227919..0.011227919]	[0.015208883..0.015208883]	[0.0125438515..0.0125438515]	[0.009885868..0.015208883]	
						PG 16:0/16:0	[1.6120254..1.6120254]	[1.6937577..1.6937577]	[1.7568488..1.7568488]	[1.7050931..1.7050931]	[1.6120254..1.7568488]	
PG 32:1:0	3.3700707	3.4136586	3.4168532	3.3883982	[3.3700707..3.4168532]	Sum	[2.9595573..2.9595573]	[3.0788746..3.0788746]	[3.063337..3.063337]	[3.1829073..3.1829073]	[2.9595573..3.1829073]	
						PG 14:0-18:1	[0.5148491..0.5148491]	[0.53339857..0.53339857]	[0.5190454..0.5190454]	[0.5611829..0.5611829]	[0.5148491..0.5611829]	
