PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_heart_01.mzXML,PRI:20180509_PC_heart_02.mzXML,PRI:20180509_PC_heart_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_heart_01.mzXML,FA1I:20180509_PC_heart_02.mzXML,FA1I:20180509_PC_heart_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_heart_01.mzXML,FA2I:20180509_PC_heart_02.mzXML,FA2I:20180509_PC_heart_03.mzXML,FACO1M,FACO1I:20180509_PC_heart_01.mzXML,FACO1I:20180509_PC_heart_02.mzXML,FACO1I:20180509_PC_heart_03.mzXML,FACO2M,FACO2I:20180509_PC_heart_01.mzXML,FACO2I:20180509_PC_heart_02.mzXML,FACO2I:20180509_PC_heart_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.435468831,H65 C33 N1 O10 P1 ,PC,24.0,0.0,0.0,PC 24:0:0,0.47,476517.5,416244.7,607833.1,199.169545492,12.0,0.0,-4.06,443909.2,390045.0,507025.6,199.169545492,12.0,0.0,-4.06,443909.2,390045.0,507025.6,None, None, None, None, None, None, None, None
680.450809,H67 C34 N1 O10 P1 ,PC,25.0,0.0,0.0,PC 25:0:0,0.0,440531.8,388332.7,578778.0,199.16956075,12.0,0.0,-3.99,114421.5,112379.9,140841.6,213.185379028,13.0,0.0,-2.94,315546.4,303013.4,391379.4,None, None, None, None, None, None, None, None
774.526126383,H77 C41 N1 O10 P1 ,PC,32.0,2.0,0.0,PC 32:2:0,-3.79,0.0,4576.9,5554.4,227.20119222,14.0,0.0,-2.04,1188.4,975.1,1161.0,279.232981364,18.0,2.0,0.09,34630.3,28414.0,40030.0,None, None, None, None, None, None, None, None
774.526126383,H77 C41 N1 O10 P1 ,PC,32.0,2.0,0.0,PC 32:2:0,-3.79,0.0,4576.9,5554.4,253.217219035,16.0,1.0,-0.34,578.7,595.8,934.5,253.217219035,16.0,1.0,-0.34,578.7,595.8,934.5,None, None, None, None, None, None, None, None
776.537814615,H79 C41 N1 O10 P1 ,PC,32.0,1.0,0.0,PC 32:1:0,-8.88,56688.9,86129.7,0.0,227.201212565,14.0,0.0,-1.95,481.9,592.0,689.9,281.248616536,18.0,1.0,0.04,3994.2,3036.2,5324.3,None, None, None, None, None, None, None, None
776.537814615,H79 C41 N1 O10 P1 ,PC,32.0,1.0,0.0,PC 32:1:0,-8.88,56688.9,86129.7,0.0,253.217208862,16.0,1.0,-0.38,12361.2,12321.0,15866.1,255.232879639,16.0,0.0,-0.3,5908.9,6229.6,8292.9,None, None, None, None, None, None, None, None
778.561038492,H81 C41 N1 O10 P1 ,PC,32.0,0.0,0.0,PC 32:0:0,0.87,22992.2,20602.1,36057.6,255.232884725,16.0,0.0,-0.28,35757.5,36383.8,47784.6,255.232884725,16.0,0.0,-0.28,35757.5,36383.8,47784.6,None, None, None, None, None, None, None, None
800.545393147,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.85,26187.2,24534.8,38897.0,253.21719360400002,16.0,1.0,-0.44,4018.8,4149.0,5326.2,279.232971191,18.0,2.0,0.06,202795.2,202689.5,275971.2,None, None, None, None, None, None, None, None
800.545393147,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.85,26187.2,24534.8,38897.0,255.232854207,16.0,0.0,-0.4,4262.8,4639.0,5264.4,277.217346191,18.0,3.0,0.15,15080.5,13799.6,18272.3,None, None, None, None, None, None, None, None
802.560835042,H81 C43 N1 O10 P1 ,PC,34.0,2.0,0.0,PC 34:2:0,0.59,1259178.7,1132889.1,1753933.2,253.21713256799998,16.0,1.0,-0.68,2117.8,0.0,0.0,281.248616536,18.0,1.0,0.04,21817.6,21318.5,22852.6,None, None, None, None, None, None, None, None
802.560835042,H81 C43 N1 O10 P1 ,PC,34.0,2.0,0.0,PC 34:2:0,0.59,1259178.7,1132889.1,1753933.2,255.232874552,16.0,0.0,-0.32,360846.6,361325.0,466868.9,279.232971191,18.0,2.0,0.06,1214624.7,1183169.2,1506461.9,None, None, None, None, None, None, None, None
804.577436604,H83 C43 N1 O10 P1 ,PC,34.0,1.0,0.0,PC 34:1:0,1.77,294142.1,272234.1,435527.3,253.217249552,16.0,1.0,-0.22,1853.8,1625.0,3070.3,283.264282227,18.0,0.0,0.09,0.0,864.4,0.0,None, None, None, None, None, None, None, None
804.577436604,H83 C43 N1 O10 P1 ,PC,34.0,1.0,0.0,PC 34:1:0,1.77,294142.1,272234.1,435527.3,255.232884725,16.0,0.0,-0.28,108016.3,97424.8,154342.0,281.248626709,18.0,1.0,0.08,328548.6,285347.0,465454.2,None, None, None, None, None, None, None, None
824.545372802,H79 C45 N1 O10 P1 ,PC,36.0,5.0,0.0,PC 36:5:0,0.8,5552.9,5353.0,8579.0,253.21714782700002,16.0,1.0,-0.62,344.7,0.0,0.0,303.233052572,20.0,4.0,0.32,26975.3,24735.9,36377.1,None, None, None, None, None, None, None, None
