Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 32:0:0	2.12943	2.1645503	2.541821	[2.12943..2.541821]	Sum	[3.3572536..3.3572536]	[3.7136834..3.7136834]	[3.5560327..3.5560327]	[3.3572536..3.7136834]	
					PC 16:0/16:0	[3.3572536..3.3572536]	[3.7136834..3.7136834]	[3.5560327..3.5560327]	[3.3572536..3.7136834]	
PC 32:1:0	5.250261	9.049179	0.0	[0.0..9.049179]	Sum	[2.1770053..2.1770053]	[2.2542155..2.2542155]	[2.2200456..2.2200456]	[2.1770053..2.2542155]	
					PC 14:0-18:1	[0.4295182..0.4295182]	[0.3836704..0.3836704]	[0.42513677..0.42513677]	[0.3836704..0.4295182]	
					PC 16:0-16:1	[1.7474871..1.7474871]	[1.8705449..1.8705449]	[1.7949088..1.7949088]	[1.7474871..1.8705449]	
PC 32:2:0	0.0	0.48086995	0.39154825	[0.0..0.48086995]	Sum	[3.333452..3.333452]	[3.2272165..3.2272165]	[3.213767..3.213767]	[3.213767..3.333452]	
					PC 14:0-18:2	[3.2662127..3.2662127]	[3.173077..3.173077]	[3.1520023..3.1520023]	[3.1520023..3.2662127]	
					PC 16:1/16:1	[0.067239076..0.067239076]	[0.054139245..0.054139245]	[0.061764557..0.061764557]	[0.054139245..0.067239076]	
PC 34:1:0	27.242067	28.602154	30.701778	[27.242067..30.701778]	Sum	[41.1476..41.1476]	[41.81453..41.81453]	[42.568943..42.568943]	[41.1476..42.568943]	
					PC 16:1-18:0	[0.36188683..0.36188683]	[0.20163767..0.20163767]	[0.3474466..0.3474466]	[0.20163767..0.36188683]	
					PC 16:0-18:1	[40.78571..40.78571]	[41.612892..41.612892]	[42.221497..42.221497]	[40.78571..42.221497]	
PC 34:2:0	116.619255	119.02649	123.64063	[116.619255..123.64063]	Sum	[133.82288..133.82288]	[142.04723..142.04723]	[141.74281..141.74281]	[133.82288..142.04723]	
					PC 16:0-18:2	[133.82288..133.82288]	[142.04723..142.04723]	[141.74281..141.74281]	[133.82288..142.04723]	
PC 34:3:0	2.4253361	2.5777378	2.7419798	[2.4253361..2.7419798]	Sum	[18.924702..18.924702]	[21.963135..21.963135]	[20.107317..20.107317]	[18.924702..21.963135]	
					PC 16:1-18:2	[17.539486..17.539486]	[20.42686..20.42686]	[18.723211..18.723211]	[17.539486..20.42686]	
					PC 16:0-18:3 (0z-9z)	[1.3852172..1.3852172]	[1.5362742..1.5362742]	[1.3841052..1.3841052]	[1.3841052..1.5362742]	
PC 36:1:0	7.6631775	7.856454	8.338955	[7.6631775..8.338955]	Sum	[9.06075..9.06075]	[10.004519..10.004519]	[10.974781..10.974781]	[9.06075..10.974781]	
					PC 16:0-20:1	[0.27916914..0.27916914]	[0.291547..0.291547]	[0.3002434..0.3002434]	[0.27916914..0.3002434]	
					PC 18:0-18:1	[8.781582..8.781582]	[9.712973..9.712973]	[10.674538..10.674538]	[8.781582..10.674538]	
PC 36:2:0	34.08371	34.951675	37.044712	[34.08371..37.044712]	Sum	[42.257294..42.257294]	[43.949574..43.949574]	[46.98923..46.98923]	[42.257294..46.98923]	
					PC 16:0-20:2	[0.892293..0.892293]	[0.97946006..0.97946006]	[1.0072762..1.0072762]	[0.892293..1.0072762]	
					PC 18:0-18:2	[37.541393..37.541393]	[38.997368..38.997368]	[41.677..41.677]	[37.541393..41.677]	
					PC 18:1/18:1	[3.8236094..3.8236094]	[3.9727466..3.9727466]	[4.3049617..4.3049617]	[3.8236094..4.3049617]	
PC 36:3:0	13.451126	13.708024	14.457192	[13.451126..14.457192]	Sum	[17.39555..17.39555]	[16.9107..16.9107]	[18.355381..18.355381]	[16.9107..18.355381]	
					PC 16:0-20:3 (0z-11z)	[7.409317..7.409317]	[7.355835..7.355835]	[8.140996..8.140996]	[7.355835..8.140996]	
					PC 18:0-18:3 (0z-9z)	[0.438415..0.438415]	[0.40294954..0.40294954]	[0.3977574..0.3977574]	[0.3977574..0.438415]	
					PC 18:1-18:2	[9.547817..9.547817]	[9.151915..9.151915]	[9.816628..9.816628]	[9.151915..9.816628]	
PC 36:4:0	16.443565	16.641184	17.47726	[16.443565..17.47726]	Sum	[12.356116..12.356116]	[14.441231..14.441231]	[13.207331..13.207331]	[12.356116..14.441231]	
