CE,FA_C,FA_DB,FA_iso,norm_Intensity
19,22,5,4,1.988548499
20,22,5,4,2.6619384
21,22,5,4,3.361832401
22,22,5,4,4.1032653
23,22,5,4,4.8549967
24,22,5,4,5.548164998
25,22,5,4,6.112908002
26,22,5,4,6.4945736
27,22,5,4,6.670653001
28,22,5,4,6.633263
29,22,5,4,6.416619299
30,22,5,4,6.065443
31,22,5,4,5.622796002
32,22,5,4,5.121225401
33,22,5,4,4.589176701
34,22,5,4,4.055088
35,22,5,4,3.547318699
36,22,5,4,3.084607101
37,22,5,4,2.666873999
38,22,5,4,2.291858201
39,22,5,4,1.9572928
40,22,5,4,1.6573629
41,22,5,4,1.3768258
42,22,5,4,1.0843654
43,22,5,4,0.8569767
44,22,5,4,0.6772708
45,22,5,4,0.5352488
19,22,6,4,3.033711
20,22,6,4,3.965250999
21,22,6,4,4.967824001
22,22,6,4,6.0112543
23,22,6,4,6.973742999
24,22,6,4,7.727124998
25,22,6,4,8.189249002
26,22,6,4,8.352199
27,22,6,4,8.226076001
28,22,6,4,7.866024997
29,22,6,4,7.338313
30,22,6,4,6.700952
31,22,6,4,5.998420699
32,22,6,4,5.273941999
33,22,6,4,4.570739
34,22,6,4,3.923891799
35,22,6,4,3.339026201
36,22,6,4,2.815107601
37,22,6,4,2.350904
38,22,6,4,1.9343894
39,22,6,4,1.5450215
40,22,6,4,1.2341692
41,22,6,4,0.98585916
42,22,6,4,0.78750813
43,22,6,4,0.62906456
44,22,6,4,0.5024992
45,22,6,4,0.40139833
19,20,3,5,0.042115875
20,20,3,5,0.07084363
21,20,3,5,0.119166955
22,20,3,5,0.20045221
23,20,3,5,0.26305777
24,20,3,5,0.32822683
25,20,3,5,0.39372838
26,20,3,5,0.45980102
27,20,3,5,0.5266833
28,20,3,5,0.5944457
29,20,3,5,0.662603
30,20,3,5,0.7305549
31,20,3,5,0.7977011
32,20,3,5,0.8634325
33,20,3,5,0.9214247
34,20,3,5,0.949857
35,20,3,5,0.9307531
36,20,3,5,0.8718772
37,20,3,5,0.78734434
38,20,3,5,0.69068855
39,20,3,5,0.595167
40,20,3,5,0.51402867
41,20,3,5,0.4552411
42,20,3,5,0.4119018
43,20,3,5,0.37451026
44,20,3,5,0.33356604
45,20,3,5,0.2795714
19,20,4,5,0.43220507
20,20,4,5,0.623710173
21,20,4,5,0.83599767
22,20,4,5,1.101076333
23,20,4,5,1.374663567
24,20,4,5,1.661170034
25,20,4,5,1.951389833
26,20,4,5,2.222948866
27,20,4,5,2.452557334
28,20,4,5,2.622055933
29,20,4,5,2.727104133
30,20,4,5,2.768095333
31,20,4,5,2.746518
32,20,4,5,2.6687348
33,20,4,5,2.545617733
34,20,4,5,2.388349233
35,20,4,5,2.205831433
36,20,4,5,2.006877734
37,20,4,5,1.800357533
38,20,4,5,1.595140766
39,20,4,5,1.3995779
40,20,4,5,1.217114333
41,20,4,5,1.048201887
42,20,4,5,0.893216347
43,20,4,5,0.752311523
44,20,4,5,0.622062287
45,20,4,5,0.506457187
19,20,5,5,1.3467687
20,20,5,5,1.841043099
21,20,5,5,2.372232
22,20,5,5,2.971280001
23,20,5,5,3.6216035
24,20,5,5,4.226354599
25,20,5,5,4.681909001
26,20,5,5,4.942247999
27,20,5,5,5.050634
28,20,5,5,5.058007201
29,20,5,5,5.003892999
30,20,5,5,4.882224002
31,20,5,5,4.675556699
32,20,5,5,4.368057001
33,20,5,5,3.972755201
34,20,5,5,3.527601201
35,20,5,5,3.0713642
36,20,5,5,2.642531401
37,20,5,5,2.263216299
38,20,5,5,1.930422301
39,20,5,5,1.6390246
40,20,5,5,1.3836249
41,20,5,5,1.1535859
42,20,5,5,0.91006607
43,20,5,5,0.72110385
44,20,5,5,0.5713769
45,20,5,5,0.45273867
20,18,3,6,0.02697953
21,18,3,6,0.052108254
22,18,3,6,0.10064186
23,18,3,6,0.17436431
24,18,3,6,0.23490036
25,18,3,6,0.29695982
26,18,3,6,0.36192203
27,18,3,6,0.43040037
28,18,3,6,0.49865842
29,18,3,6,0.5614261
30,18,3,6,0.613438
31,18,3,6,0.6511192
32,18,3,6,0.6748689
33,18,3,6,0.685657
34,18,3,6,0.6844534
35,18,3,6,0.6722279
36,18,3,6,0.6499014
37,18,3,6,0.6181996
38,18,3,6,0.57788277
39,18,3,6,0.53074026
40,18,3,6,0.47925487
41,18,3,6,0.42592242
42,18,3,6,0.37323874
43,18,3,6,0.32336882
44,18,3,6,0.27685398
45,18,3,6,0.23373838
19,24,6,6,0.8532056
20,24,6,6,1.246824
21,24,6,6,1.6819141
22,24,6,6,2.1376772
23,24,6,6,2.6282783
24,24,6,6,3.1368866
25,24,6,6,3.611196299
26,24,6,6,3.997013601
27,24,6,6,4.2533984
28,24,6,6,4.369788999
29,24,6,6,4.344624499
30,24,6,6,4.195366001
31,24,6,6,3.944222
32,24,6,6,3.61405
33,24,6,6,3.230617001
34,24,6,6,2.8205047
35,24,6,6,2.410294799
36,24,6,6,2.024056199
37,24,6,6,1.6752789
38,24,6,6,1.3746703
39,24,6,6,1.1299163
40,24,6,6,0.923275
41,24,6,6,0.7291898
42,24,6,6,0.5716615
43,24,6,6,0.44816434
44,24,6,6,0.35134652
