CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,sn_x
19,22,5,4,1,1.988548499,0
20,22,5,4,1,2.6619384,0
21,22,5,4,1,3.361832401,0
22,22,5,4,1,4.1032653,0
23,22,5,4,1,4.8549967,0
24,22,5,4,1,5.548164998,0
25,22,5,4,1,6.112908002,0
26,22,5,4,1,6.4945736,0
27,22,5,4,1,6.670653001,0
28,22,5,4,1,6.633263,0
29,22,5,4,1,6.416619299,0
30,22,5,4,1,6.065443,0
31,22,5,4,1,5.622796002,0
32,22,5,4,1,5.121225401,0
33,22,5,4,1,4.589176701,0
34,22,5,4,1,4.055088,0
35,22,5,4,1,3.547318699,0
36,22,5,4,1,3.084607101,0
37,22,5,4,1,2.666873999,0
38,22,5,4,1,2.291858201,0
39,22,5,4,1,1.9572928,0
40,22,5,4,1,1.6573629,0
41,22,5,4,1,1.3768258,0
42,22,5,4,1,1.0843654,0
43,22,5,4,1,0.8569767,0
44,22,5,4,1,0.6772708,0
45,22,5,4,1,0.5352488,0
19,22,6,4,1,3.033711,0
20,22,6,4,1,3.965250999,0
21,22,6,4,1,4.967824001,0
22,22,6,4,1,6.0112543,0
23,22,6,4,1,6.973742999,0
24,22,6,4,1,7.727124998,0
25,22,6,4,1,8.189249002,0
26,22,6,4,1,8.352199,0
27,22,6,4,1,8.226076001,0
28,22,6,4,1,7.866024997,0
29,22,6,4,1,7.338313,0
30,22,6,4,1,6.700952,0
31,22,6,4,1,5.998420699,0
32,22,6,4,1,5.273941999,0
33,22,6,4,1,4.570739,0
34,22,6,4,1,3.923891799,0
35,22,6,4,1,3.339026201,0
36,22,6,4,1,2.815107601,0
37,22,6,4,1,2.350904,0
38,22,6,4,1,1.9343894,0
39,22,6,4,1,1.5450215,0
40,22,6,4,1,1.2341692,0
41,22,6,4,1,0.98585916,0
42,22,6,4,1,0.78750813,0
43,22,6,4,1,0.62906456,0
44,22,6,4,1,0.5024992,0
45,22,6,4,1,0.40139833,0
19,20,3,5,1,0.042115875,0
20,20,3,5,1,0.07084363,0
21,20,3,5,1,0.119166955,0
22,20,3,5,1,0.20045221,0
23,20,3,5,1,0.26305777,0
24,20,3,5,1,0.32822683,0
25,20,3,5,1,0.39372838,0
26,20,3,5,1,0.45980102,0
27,20,3,5,1,0.5266833,0
28,20,3,5,1,0.5944457,0
29,20,3,5,1,0.662603,0
30,20,3,5,1,0.7305549,0
31,20,3,5,1,0.7977011,0
32,20,3,5,1,0.8634325,0
33,20,3,5,1,0.9214247,0
34,20,3,5,1,0.949857,0
35,20,3,5,1,0.9307531,0
36,20,3,5,1,0.8718772,0
37,20,3,5,1,0.78734434,0
38,20,3,5,1,0.69068855,0
39,20,3,5,1,0.595167,0
40,20,3,5,1,0.51402867,0
41,20,3,5,1,0.4552411,0
42,20,3,5,1,0.4119018,0
43,20,3,5,1,0.37451026,0
44,20,3,5,1,0.33356604,0
45,20,3,5,1,0.2795714,0
19,20,4,5,1,0.43220507,0
20,20,4,5,1,0.623710173,0
21,20,4,5,1,0.83599767,0
22,20,4,5,1,1.101076333,0
23,20,4,5,1,1.374663567,0
24,20,4,5,1,1.661170034,0
25,20,4,5,1,1.951389833,0
26,20,4,5,1,2.222948866,0
27,20,4,5,1,2.452557334,0
28,20,4,5,1,2.622055933,0
29,20,4,5,1,2.727104133,0
30,20,4,5,1,2.768095333,0
31,20,4,5,1,2.746518,0
32,20,4,5,1,2.6687348,0
33,20,4,5,1,2.545617733,0
34,20,4,5,1,2.388349233,0
35,20,4,5,1,2.205831433,0
36,20,4,5,1,2.006877734,0
37,20,4,5,1,1.800357533,0
38,20,4,5,1,1.595140766,0
39,20,4,5,1,1.3995779,0
40,20,4,5,1,1.217114333,0
41,20,4,5,1,1.048201887,0
42,20,4,5,1,0.893216347,0
43,20,4,5,1,0.752311523,0
44,20,4,5,1,0.622062287,0
45,20,4,5,1,0.506457187,0
19,20,5,5,1,1.3467687,0
20,20,5,5,1,1.841043099,0
21,20,5,5,1,2.372232,0
22,20,5,5,1,2.971280001,0
23,20,5,5,1,3.6216035,0
24,20,5,5,1,4.226354599,0
25,20,5,5,1,4.681909001,0
26,20,5,5,1,4.942247999,0
27,20,5,5,1,5.050634,0
28,20,5,5,1,5.058007201,0
29,20,5,5,1,5.003892999,0
30,20,5,5,1,4.882224002,0
31,20,5,5,1,4.675556699,0
32,20,5,5,1,4.368057001,0
33,20,5,5,1,3.972755201,0
34,20,5,5,1,3.527601201,0
35,20,5,5,1,3.0713642,0
36,20,5,5,1,2.642531401,0
37,20,5,5,1,2.263216299,0
38,20,5,5,1,1.930422301,0
39,20,5,5,1,1.6390246,0
40,20,5,5,1,1.3836249,0
