Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var
PE200200,10,20,0,0,1,20,0,0,1,2.296361898,0.048873511
PE200200,11,20,0,0,1,20,0,0,1,3.005171992,0.067001035
PE200200,12,20,0,0,1,20,0,0,1,4.008670472,0.094261088
PE200200,13,20,0,0,1,20,0,0,1,5.176146987,0.219146451
PE200200,14,20,0,0,1,20,0,0,1,7.269749364,0.322731079
PE200200,15,20,0,0,1,20,0,0,1,9.843573439,0.379824952
PE200200,16,20,0,0,1,20,0,0,1,13.37375867,0.728641915
PE200200,17,20,0,0,1,20,0,0,1,17.79001473,1.086268066
PE200200,18,20,0,0,1,20,0,0,1,23.83648502,2.900350558
PE200200,19,20,0,0,1,20,0,0,1,29.34574572,3.218944276
PE200200,20,20,0,0,1,20,0,0,1,36.89687849,2.022928303
PE200200,21,20,0,0,1,20,0,0,1,44.10379629,2.057682034
PE200200,22,20,0,0,1,20,0,0,1,50.74758428,5.506485446
PE200200,23,20,0,0,1,20,0,0,1,56.80613238,3.693365256
PE200200,24,20,0,0,1,20,0,0,1,61.34522739,5.078940598
PE200200,25,20,0,0,1,20,0,0,1,65.41392628,2.831918164
PE200200,26,20,0,0,1,20,0,0,1,66.89425669,4.937712435
PE200200,27,20,0,0,1,20,0,0,1,68.66806044,4.887613711
PE200200,28,20,0,0,1,20,0,0,1,69.69507186,7.621211737
PE200200,29,20,0,0,1,20,0,0,1,69.6120342,5.745745294
PE200200,30,20,0,0,1,20,0,0,1,69.86110868,7.828735177
PE200200,31,20,0,0,1,20,0,0,1,68.7913606,6.438665942
PE200200,32,20,0,0,1,20,0,0,1,67.00761877,5.17874605
PE200200,33,20,0,0,1,20,0,0,1,67.20124673,7.936365601
PE200200,34,20,0,0,1,20,0,0,1,66.11264188,4.970318451
PE200200,35,20,0,0,1,20,0,0,1,64.4876606,6.552117165
PE200200,36,20,0,0,1,20,0,0,1,62.44083686,6.904926809
PE200200,37,20,0,0,1,20,0,0,1,60.33606248,7.056439123
PE200200,38,20,0,0,1,20,0,0,1,58.95231136,7.928413621
PE200200,39,20,0,0,1,20,0,0,1,55.2604618,6.280466259
PE200200,40,20,0,0,1,20,0,0,1,51.80532602,3.542824181
PE200200,41,20,0,0,1,20,0,0,1,49.24065295,2.543086226
PE200200,42,20,0,0,1,20,0,0,1,46.01635952,1.394695439
PE200200,43,20,0,0,1,20,0,0,1,42.28373716,7.402228668
PE200200,44,20,0,0,1,20,0,0,1,38.4929124,2.094883632
PE200200,45,20,0,0,1,20,0,0,1,34.835851,1.957132284
PE200200,46,20,0,0,1,20,0,0,1,31.88564993,3.915712814
PE200200,47,20,0,0,1,20,0,0,1,28.40472229,1.087729271
PE200200,48,20,0,0,1,20,0,0,1,25.15805649,2.967978366
PE200200,49,20,0,0,1,20,0,0,1,21.90096206,1.978176808
PE200200,50,20,0,0,1,20,0,0,1,19.04352943,1.97377131
PE200200,51,20,0,0,1,20,0,0,1,16.54579838,0.604484055
PE200200,52,20,0,0,1,20,0,0,1,13.93557729,0.725779631
PE200200,53,20,0,0,1,20,0,0,1,11.90083969,1.106087318
PE200200,54,20,0,0,1,20,0,0,1,9.961870536,0.561836894
PE200200,55,20,0,0,1,20,0,0,1,8.225288309,0.218345292
PE200200,56,20,0,0,1,20,0,0,1,6.789128114,0.248909296
PE200200,57,20,0,0,1,20,0,0,1,5.554572477,0.120040687
PE200200,58,20,0,0,1,20,0,0,1,4.294590234,0.174473185
PE200200,59,20,0,0,1,20,0,0,1,3.70813661,0.224771104
PE200200,60,20,0,0,1,20,0,0,1,2.907081801,0.092000258
PE200200,61,20,0,0,1,20,0,0,1,2.181830265,0.031617552
